,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,MUDS,2020-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,94541,None,None,None,None,None,None,None,None,None,None,2000,None,None,None,-1251,791,None
1,MUDS,2020-03-31,USD,71853111,67014,12639,12639,None,None,71786097,None,None,None,None,None,None,71786097,None,None,71786097,10583835,3303835,None,None,None,None,7280000,None,None,600000,None,None,None,None,61269276,None,1697124,654,None
2,MUDS,2019-12-31,USD,215693534,307777,208536,208536,None,None,215385757,None,None,None,None,None,None,215385757,None,95275,215385757,7614619,334619,None,None,None,None,7280000,None,None,None,None,None,None,None,208078915,None,4288003,589,None
3,MUDS,2019-09-30,USD,215093234,351688,267248,267248,None,None,214741546,None,None,None,None,None,None,214741546,None,None,214741546,7317381,37381,None,None,None,None,7280000,None,None,None,None,None,None,None,207775853,None,3984941,592,None
4,MUDS,2019-06-30,USD,214336981,399981,335566,335566,0,None,213937000,0,0,0,0,0,None,213937000,0,0,213937000,7301741,21741,None,None,None,0,7280000,0,0,0,None,None,0,0,207035240,0,3244328,600,0
5,MUDS,2019-03-31,USD,214369098,500505,419667,419667,0,None,213868593,0,0,0,0,0,None,213868593,0,0,213868593,8157667,877667,None,None,None,0,7280000,0,0,0,None,None,808060,0,206211431,0,2420519,608,0
6,MUDS,2018-12-31,USD,213504932,588241,535946,535946,0,None,0,0,0,0,0,0,None,0,0,0,0,208504924,756841,None,None,None,0,0,0,0,0,None,None,555449,0,5000008,0,1677179,615,0
7,MUDS,2018-09-30,USD,212646226,761864,679154,679154,0,None,0,0,0,0,0,0,None,0,0,0,0,207646218,524497,None,None,None,0,0,0,0,0,None,None,348595,0,5000008,0,1050817,621,0
8,MUDS,2018-06-30,USD,211809025,838023,722428,722428,0,None,0,0,0,0,0,0,None,0,0,0,0,206809022,284868,None,None,None,0,0,0,0,0,None,None,166730,0,5000003,0,453245,627,None
9,MUDS,2018-03-31,USD,259718170.75,1147945.63,1027962.85,1027962.85,0,None,None,0,None,0,0,0,None,0,0,0,None,253567349,78121.54,None,None,None,0,None,None,0,0,None,None,16065.94,None,6150821.75,0,-11706.24,777.46,None
10,MUDS,2017-09-30,USD,90500,25000,25000,25000,None,None,None,None,None,None,None,None,None,None,None,None,None,66696,66696,None,None,None,41696,None,None,None,41696,None,None,25000,None,23804,None,-1196,575,None
