,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,AIH,2020-09-30,CNY,1428386000,207901000,66207000,66207000,36510000,None,1220485000,720240000,None,None,None,None,None,8464000,None,21447000,None,909452000,444073000,None,None,None,None,465379000,359640000,90079000,156396000,None,None,121469000,None,452557000,None,-399963000,469000,70838671
1,AIH,2020-06-30,CNY,976460000,168942000,76591000,76591000,26703000,None,807518000,485504000,None,None,None,None,None,8445000,None,None,None,489514000,319437000,None,None,None,None,170077000,186716000,4536000,178036000,None,None,24796000,None,449936000,None,-382887000,469000,70838671
2,AIH,2020-03-31,CNY,1020741000,211933000,100575000,100575000,26816000,None,808808000,504408000,None,None,None,None,None,9875000,None,None,None,491022000,313659000,None,None,None,None,177363000,194641000,6229000,140024000,None,None,23100000,None,490645000,None,-321332000,469000,70838671
3,AIH,2019-12-31,CNY,1047135000,264694000,154490000,154490000,26120000,None,782441000,519323000,0,60237000,60237000,115180000,None,10256000,0,2187000,782441000,456537000,265302000,None,None,None,0,191235000,201881000,12917000,127470000,None,0,26110000,0,547481000,0,-242232000,469000,70838671
4,AIH,2019-09-30,CNY,942077000,191690000,61623000,61623000,29706000,None,750387000,486693000,0,170460000,170460000,0,None,10563000,0,0,750387000,960079000,221068000,None,None,None,0,739011000,196707000,565794000,85206000,None,0,0.63,0,-62893000,-41000,-182964000,306000,0
5,AIH,2019-06-30,CNY,975845000,213304000,78656000,78656000,27944000,None,762541000,543093000,0,55585000,55585000,115645000,None,10627000,1.65,0.53,762541000,526744000,240670000,None,None,None,0,286074000,207642000,106452000,105405000,None,0,1.23,0,405268000,-41000,-297240000,306000,0
6,AIH,2019-03-31,CNY,35.32,7.72,2.85,2.85,1.01,None,0,497250000,0,2.01,2.01,4.19,None,0.38,1.98,0.63,0,40.87,8.71,None,None,None,0,0,0,25.66,3.81,None,0,1.48,0,-7.14,0,-256905000,306000,0
7,AIH,2018-03-31,USD,0,0,0,0,0,None,0,0,0,0,0,0,None,0,0,0,0,0,0,None,None,None,0,0,0,0,0,None,None,0,0,-7461985.51,0,0,0,0
