,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,MDJH,2020-06-30,USD,9982960,9475252,6276790,6276790,None,None,507706,401542,None,None,None,None,None,None,None,None,29320,1225480,1208784,None,None,None,None,204233,341225,None,None,None,None,34822,None,8757482,None,2343760,11641,11640820
1,MDJH,2020-03-31,USD,None,9475252,None,None,None,None,None,401542,None,None,None,None,None,None,None,None,None,None,1208784,None,None,None,None,None,None,None,None,None,None,34822,None,None,None,2343760,11641,None
2,MDJH,2019-12-31,USD,9432830,8837832,6552680,6552680,None,None,594997,462025,None,None,None,None,None,None,None,None,33440,755090,686518,None,None,None,None,247382,339119,None,None,None,None,26429,None,8677735,None,2211758,11641,11640820
3,MDJH,2019-09-30,USD,None,8837832,None,None,None,None,None,462025,None,None,None,None,None,None,None,None,None,None,686518,None,None,None,None,None,None,None,None,None,None,26429,None,None,None,2211758,11641,None
4,MDJH,2019-06-30,USD,10283980,8241330,6067940,6067940,None,None,2042650,1926504,None,None,None,None,None,None,None,3624,116150,2513750,964270,None,None,None,None,1630756,1855210,None,None,None,None,12369,None,7770229,None,1016563,11641,None
5,MDJH,2019-03-31,USD,10283983,8241333,6067936,6067936,None,None,None,1926504,None,None,None,None,None,None,None,3624,None,2595025,964269,None,None,None,None,None,None,None,None,None,None,12369,None,7770229,None,1249105,11641,None
6,MDJH,2018-12-31,USD,8895100,8738320,6692560,6692560,0,None,None,21300,None,0,0,0,None,0,0,3620,135470,690120,712780,None,None,None,0,None,None,0,0,None,None,2276,None,8204980,0,1758650,11620,None
7,MDJH,2018-09-30,USD,8895097,8738324,6692557,6692557,0,None,None,21302,None,0,0,0,None,0,0,3620,None,712782,712782,None,None,None,0,None,None,0,0,None,None,2276,None,8204981,0,1758652,11621,None
8,MDJH,2018-06-30,USD,4438970,4218660,1489610,1489610,0,None,None,28470,None,0,0,0,None,0,0,850250,191840,474170,474170,None,None,None,0,None,None,0,0,None,None,7788,None,3964800,0,1503780,10380,None
9,MDJH,2018-03-31,USD,4438965,4218663,1489607,1489607,0,None,None,28467,None,0,0,0,None,0,0,854011,None,474165,474165,None,None,None,0,None,None,0,0,None,None,7788,None,3964800,0,1503776,10380,None
10,MDJH,2017-12-31,USD,5385000,None,3117000,3117000,None,None,None,34000,None,None,None,None,None,None,None,467000,None,598000,598000,None,None,None,None,None,None,None,None,None,None,598000,None,4787000,None,2215000,10000,None
11,MDJH,2017-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3349973,None,None,None,None
12,MDJH,2016-12-31,USD,4376000,None,1662000,1662000,None,None,None,21000,None,None,None,None,None,None,None,331000,None,1026000,1023000,None,None,None,None,None,None,None,None,None,None,1023000,None,3350000,None,778000,10000,None
