,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,GHSI,2020-09-30,USD,12159112,11334084,9795441,9795441,1284173,22849,836779,305600,421423,50000,50000,0,None,None,None,254471,11751,1471085,1157176,576890,None,None,None,313909,473871,None,None,None,473871,7519,None,10688027,None,-50709238,88327,88327312
1,GHSI,2020-06-30,USD,14034003,13171331,11603459,11603459,1235052,34180,874423,304534,406567,50000,50000,0,None,None,None,332820,11751,1338363,983236,332787,None,None,None,355127,512246,None,None,None,512246,19411,None,12695640,None,-48565744,88310,88309962
2,GHSI,2020-03-31,USD,15283234,14303267,12890140,12890140,759085,31083,991718,383486,403085,50000,50000,0,None,None,None,654042,11751,1543633,1148447,249383,None,None,None,395186,549513,None,None,None,549513,459767,None,13739601,None,-47858584,85390,85389962
3,GHSI,2019-12-31,USD,12876821,11867718,11115502,11115502,310941,78337,1020854,374638,380598,50000,50000,0,None,None,None,441275,11751,844981,410234,70291,None,151568,None,434747,586315,None,151568,None,586315,13323,None,12031840,None,-45511671,74983,74982562
4,GHSI,2019-09-30,USD,8955046,6131626,5554960,5554960,320355,21927,80879,389074,358191,1858647,295127,1563520,None,None,None,256311,11751,906214,458922,None,None,129025,None,447292,576317,None,129025,None,576317,47118,None,8048832,None,-41455916,50483,50482562
5,GHSI,2019-06-30,USD,5698141,2855557,2368645,2368645,318686,35920,64482,303929,339166,1912306,348786,1563520,None,None,None,168226,11751,1010053,528916,None,None,125237,None,481137,606374,None,125237,None,606374,78440,None,4688088,None,-39070540,22734,22733762
6,GHSI,2019-03-31,USD,3970923,544364,174298,174298,303819,15086,3426559,265176,323799,1965965,402445,1563520,None,None,None,66247,11751,2082777,1569192,None,None,222094,17024,513585,635131,513585,100548,None,752703,436034,None,1888150,None,-36018460,20857,20856611
7,GHSI,2018-12-31,USD,3681100,1104921,670948,670948,357997,28203,2587930,274804,309355,2019624,456104,1563520,None,None,None,75976,11751,495337,495337,None,None,None,None,None,None,None,None,None,None,None,None,3185763,None,-34633363,20564,20564328
8,GHSI,2018-09-30,USD,3885710,1538805,1101790,1101790,381268,17011,43347,261871,290356,2073283,509763,1563520,None,None,None,None,None,398572,398572,None,None,None,None,None,None,None,None,None,None,None,None,3487138,None,-33157173,40329,40329475
9,GHSI,2018-06-30,USD,4864516,2534395,2066365,2066365,412357,29843,34298,191427,269562,2126943,563423,1563520,None,None,None,None,None,586529,586529,None,None,None,None,None,None,None,None,None,None,None,None,4277987,None,-31008981,40329,40329475
10,GHSI,2018-03-31,USD,5915789,3553372,3198349,3198349,182919,57426,12474,171345,247683,2180602,617082,1563520,None,None,None,None,None,600001,600001,None,None,None,None,None,None,None,None,None,None,None,None,5315788,None,-29199417,40329,40329475
11,GHSI,2017-12-31,USD,7370223,5079895,4735230,4735230,154730,72771,2290328,95597,228320,2184261,620741,1563520,None,None,None,None,None,499947,499947,None,None,None,None,None,None,None,30535,None,None,None,None,None,None,None,20092,40183475
12,GHSI,2017-09-30,USD,3878345,1539402,1269755,1269755,178033,53610,2338733,100813,211027,2237920,674400,1563520,None,None,None,None,None,756498,756498,None,None,None,None,None,None,None,94567,None,None,None,None,None,None,None,28961,28961058
13,GHSI,2017-06-30,USD,512735,414077,297536,297536,108303,1662,88188,88188,194490,None,None,None,None,None,None,None,None,256451,769019,None,None,None,None,None,None,None,171125,None,None,None,None,None,None,None,25635,25634751
14,GHSI,2017-03-31,USD,643464,534520,444850,444850,50024,1914,98474,98474,178705,None,None,None,None,None,None,None,None,489660,797268,None,None,None,None,None,None,None,170496,None,None,None,None,None,None,None,25269,25268259
15,GHSI,2016-12-31,USD,262045,137555,62520,62520,43999,1673,114020,114020,163159,None,None,None,None,None,None,None,None,607619,607619,None,None,None,None,None,None,None,54574,None,None,None,None,None,None,None,24684,25046438
