,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,VIST,2020-12-31,USD,1372612000,267836000,201314000,201314000,13870000,None,1104776000,1024836000,None,21081000,21081000,28484000,None,None,1633000,499000,None,864094000,333738000,None,None,None,None,530356000,23681000,349559000,190227000,None,None,2927000,None,508518000,None,-170417000,659400000,87851288
1,VIST,2020-09-30,USD,1339014000,278874000,222365000,222365000,12292000,None,1060140000,967988000,None,34909000,34909000,25047000,None,None,8523000,216000,None,818114000,287144000,None,None,None,None,530970000,26391000,332423000,189632000,None,None,2339000,None,520900000,None,-156605000,659399000,87652852
2,VIST,2020-06-30,USD,1321619000,272430000,218316000,218316000,10190000,None,1049189000,956621000,None,34012000,34012000,28484000,None,0,10166000,409000,None,775479000,198517000,None,None,None,None,576962000,12028000,381312000,120980000,None,None,4247000,None,546140000,None,-128203000,659399000,87599852
3,VIST,2020-03-31,USD,1347160000,299852000,94357000,94357000,14754000,None,1047308000,969655000,None,34437000,34437000,28484000,None,1824000,118703000,424000,1047308000,763397000,190467000,None,None,None,None,572930000,14883000,382467000,98981000,None,None,7479000,None,583763000,None,-89000000,659399000,87227549
4,VIST,2019-12-31,USD,1385133000,372571000,139931000,139931000,19106000,None,1012562000,933690000,None,34029000,34029000,28484000,None,3600000,120097000,20782000,1012562000,781417000,193036000,None,None,None,62317000,588381000,16767000,389096000,62317000,None,None,44897000,419000,603716000,None,-67668000,659399000,87303464
5,VIST,2019-09-30,USD,1358325000,367635000,145570000,145570000,16735000,None,990690000,912755000,None,33435000,33435000,28484000,None,84000,95712000,7062000,990690000,712726000,175823000,None,None,None,69964000,536903000,9568000,378183000,69964000,None,None,71522000,378183000,645599000,None,-23419000,660159000,87000000
6,VIST,2019-06-30,USD,1187617000,200793000,53452000,53452000,16765000,None,986824000,907909000,None,32000000,32000000,28484000,None,None,21034000,900000,986824000,659804000,182497000,None,None,None,85914000,477307000,9998000,280332000,85914000,None,None,5005000,None,527813000,None,-44921000,567398000,76000000
7,VIST,2019-03-31,USD,1161722000,200417000,18246000,18246000,22566000,None,961305000,881204000,None,31869000,31869000,28484000,None,None,33196000,2418000,961305000,640108000,155642000,None,None,None,55351000,484466000,9765000,279867000,55351000,None,None,22025000,39784000,521614000,None,-48623000,567646000,73000000
8,VIST,2018-12-31,USD,1086142000,185145000,66047000,66047000,18187000,None,None,820722000,None,31600000,31600000,28484000,None,None,15647000,1818000,None,606486000,134118000,None,None,None,10352000,None,None,294415000,10352000,None,None,33432000,None,479656000,None,-34946000,513255000,70000000
9,VIST,2018-09-30,USD,1012700000,208781000,123318000,123318000,3704000,None,None,762952000,None,437000,437000,28484000,None,2572000,None,2959000,None,571794000,81740000,None,None,None,4529000,None,None,294374000,4529000,None,None,20370000,None,440906000,None,-77325000,513943000,70000000
10,VIST,2018-06-30,USD,940550228,166888623,74804928,74804928,2537987,None,None,634257738,None,None,None,118325500,None,2575243,None,1457063,None,459273798,325957599,None,None,None,None,None,None,None,None,None,None,17121406,None,481276430,None,-45523021,513943030,43000000
11,VIST,2015-09-30,USD,20988000,None,9045000,9045000,None,None,None,1095000,None,None,None,None,None,None,9000000,1167000,None,17459000,12113000,None,None,None,None,None,None,4988000,None,None,None,8648000,None,3529000,None,None,2000,None
12,VIST,2014-12-31,USD,28760000,None,27588000,27588000,None,None,None,523000,None,None,None,None,None,None,None,184000,None,6618000,2049000,None,None,None,None,None,None,4453000,None,None,None,1388000,None,22142000,None,None,2000,None
13,VIST,2013-12-31,USD,9358000,None,8244000,8244000,None,None,None,542000,None,None,None,None,None,None,None,444000,None,3305000,3270000,None,None,None,None,None,None,None,None,None,None,1140000,None,6053000,None,None,1000,None
