,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,TLS,2020-09-30,USD,85834000,46069000,10326000,10326000,3898000,29116000,39765000,22173000,35771000,14916000,0,14916000,None,None,None,2717000,1054000,219639000,57401000,11400000,6353000,16919000,16919000,5513000,17059000,20111000,16919000,3192000,20111000,4725000,571000,-143311000,None,-147708000,78000,49136088
1,TLS,2020-06-30,USD,85390000,46948000,2405000,2405000,3336000,38371000,38442000,20683000,34673000,14916000,0,14916000,None,None,None,2586000,1066000,221399000,59710000,14800000,6682000,16688000,16688000,5578000,17545000,19790000,16688000,3102000,19790000,3146000,562000,-143113000,None,-147508000,78000,49136088
2,TLS,2020-03-31,USD,77336000,39463000,6383000,6383000,2758000,27138000,37873000,20072000,33503000,14916000,0,14916000,None,None,None,2548000,981000,215419000,54292000,13700000,7416000,16470000,16470000,5642000,18014000,19484000,16470000,3014000,19484000,2383000,554000,-143381000,None,-147774000,78000,49136088
3,TLS,2019-12-31,USD,77692000,40245000,6751000,6751000,1965000,27942000,37447000,19567000,32470000,14916000,0,14916000,None,None,None,2914000,985000,214314000,37303000,13500000,12674000,1826000,None,22160000,18418000,19262000,1826000,19262000,51932000,2505000,724000,-141136000,None,-145530000,78000,49181088
4,TLS,2019-09-30,USD,84211000,46633000,1796000,1796000,3322000,38319000,35489000,19568000,31546000,14916000,0,14916000,None,None,None,2151000,1005000,218933000,42713000,20800000,None,1196000,None,36257000,18863000,18991000,1196000,18991000,18991000,3216000,696000,-137645000,None,-142050000,78000,None
5,TLS,2019-06-30,USD,72558000,35879000,776000,776000,4867000,27617000,34952000,19074000,30621000,14916000,0,14916000,None,None,None,2128000,962000,210577000,40407000,19900000,None,1168000,None,31417000,None,13854000,1168000,13854000,13854000,2798000,689000,None,None,None,78000,None
6,TLS,2019-03-31,USD,69489000,32367000,221000,221000,3457000,25576000,35276000,19404000,29602000,14916000,0,14916000,None,None,None,2005000,956000,205246000,35759000,16200000,None,1142000,None,31560000,None,24753000,1142000,13715000,24753000,2721000,681000,None,None,None,78000,None
7,TLS,2018-12-31,USD,74489000,41232000,72000,72000,4389000,34542000,34386000,17426000,28665000,16045000,1129000,14916000,None,None,None,1985000,915000,206592000,39103000,18500000,None,1115000,None,26221000,None,10984000,1115000,24565000,10984000,1895000,838000,None,None,None,78000,None
8,TLS,2018-09-30,USD,70974000,38073000,415000,415000,8776000,26262000,32901000,17024000,27906000,14916000,0,14916000,None,None,None,2330000,961000,200757000,34060000,16900000,None,1089000,None,21334000,None,10931000,1089000,2518000,10931000,1909000,883000,None,None,None,78000,None
9,TLS,2018-06-30,USD,58652000,25952000,880000,880000,3145000,18816000,32700000,16796000,27148000,14916000,0,14916000,None,None,None,1982000,988000,193028000,27143000,10500000,None,1063000,None,21528000,None,10881000,1063000,2441000,10881000,1393000,881000,None,None,None,78000,None
10,TLS,2018-03-31,USD,73120000,40401000,47000,47000,4903000,30030000,32719000,16814000,26447000,14916000,0,14916000,None,None,None,1440000,989000,207030000,41969000,24700000,None,1038000,None,21708000,None,10833000,1038000,2364000,10833000,1688000,877000,None,None,None,78000,None
11,TLS,2017-12-31,USD,74421000,42150000,600000,600000,13520000,24520000,33400000,16344000,25841000,16045000,1129000,14916000,None,None,None,1439000,1011000,210458000,46225000,15400000,None,1013000,None,32668000,None,10786000,1013000,13075000,10786000,1990000,872000,None,None,None,78000,None
12,TLS,2017-09-30,USD,67096000,35013000,253000,253000,10780000,22725000,32083000,16255000,25401000,14916000,0,14916000,None,None,None,1020000,912000,206659000,40409000,11800000,None,988000,None,24900000,None,10741000,988000,2216000,10741000,1767000,864000,None,None,None,78000,None
13,TLS,2017-06-30,USD,56946000,24691000,47000,47000,8887000,13984000,32255000,16407000,24871000,14916000,0,14916000,None,None,None,1576000,932000,194349000,28981000,9500000,None,964000,None,25018000,None,10697000,964000,2143000,10697000,1302000,858000,None,None,None,78000,None
14,TLS,2017-03-31,USD,60117000,28669000,2099000,2099000,8346000,16197000,31448000,15789000,24444000,14916000,0,14916000,None,None,None,2027000,743000,194507000,28880000,6600000,None,940000,None,26274000,None,10655000,940000,3103000,10655000,1274000,968000,None,None,None,78000,None
15,TLS,2016-12-31,USD,56799000,25005000,659000,659000,3552000,19087000,32923000,16117000,24023000,16045000,1129000,14916000,None,None,None,1521000,761000,186775000,33641000,12100000,None,3947000,None,23300000,None,3029000,3947000,None,3029000,1406000,919000,None,None,None,78000,None
16,TLS,2016-09-30,USD,68870000,36801000,2281000,2281000,7818000,23353000,32069000,16302000,23730000,14916000,0,14916000,None,None,None,3236000,851000,194742000,42386000,19200000,None,3848000,None,23495000,None,2953000,3848000,None,2953000,1479000,878000,None,None,None,78000,None
17,TLS,2016-06-30,USD,61035000,28708000,38000,38000,7950000,17880000,32327000,16578000,23336000,14916000,0,14916000,None,None,None,2711000,833000,187539000,33487000,13200000,None,5697000,None,26163000,None,7300000,5697000,2500000,7300000,1730000,874000,None,None,None,78000,None
18,TLS,2016-03-31,USD,56544000,23356000,53000,53000,2033000,18165000,33188000,16898000,23102000,15480000,564000,14916000,None,None,None,2451000,810000,181079000,24144000,9400000,None,2250000,None,30019000,None,5074000,2250000,6174000,5074000,1662000,894000,None,None,None,78000,None
