,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,SXTC,2020-09-30,USD,24042871,22059206,10353474,10353474,1350299,None,1983665,1912100,None,48198,48198,None,None,None,None,1968181,None,5521668,5506455,None,None,None,None,15213,None,15213,45757,None,None,3042873,None,18521203,None,-5822742,62057,15514396
1,SXTC,2020-06-30,USD,None,22059206,None,None,1350299,None,None,1912100,None,None,None,None,None,None,None,1968181,None,None,5506455,None,None,None,None,None,None,None,None,None,None,3042873,None,None,None,-5822742,62057,None
2,SXTC,2020-03-31,USD,21702178,19636313,7287032,7287032,1046902,None,2065865,1902974,None,50052,50052,None,None,None,None,1598682,None,12300825,12264314,None,None,None,None,36511,None,36511,6687365,None,None,2826566,None,9401353,None,-7204000,34667,8666926
3,SXTC,2019-12-31,USD,None,19636313,None,None,1046902,None,None,1902974,None,None,None,None,None,None,None,1598682,None,None,12264314,None,None,None,None,None,None,None,None,None,None,2826566,None,None,None,-7204000,34667,None
4,SXTC,2019-09-30,USD,23045943,17542342,8247069,8247069,1127223,None,5503601,1939907,None,53386,53386,None,None,3497629,None,2099927,5503601,11636808,10763526,None,None,None,None,873282,None,873282,5042217,None,None,1225124,None,11409135,None,735803,23224,None
5,SXTC,2019-06-30,USD,None,17542342,None,None,1127223,None,None,1939907,None,None,None,None,None,None,None,2099927,None,None,10763526,None,None,None,None,None,None,None,None,None,None,1225124,None,None,None,735803,23224,None
6,SXTC,2019-03-31,USD,17470830,15588100,9130850,9130850,1327010,None,1882733,1808133,None,61100,61100,None,None,None,None,161080,1882733,6363080,6321370,None,None,None,261150,41706,None,None,261153,None,None,242993,None,11107760,None,3083872,22706,None
7,SXTC,2018-12-31,USD,17470833,15588100,9130849,9130849,1327006,None,None,1808133,None,61096,61096,None,None,None,None,868421,None,6363078,6321372,None,None,None,None,None,None,None,None,None,None,1320464,None,11107755,None,3083872,22706,None
8,SXTC,2018-09-30,USD,7951290,6548740,217010,217010,1394810,None,None,1350470,None,52080,52080,None,None,None,None,228710,None,3991540,3991540,None,None,None,192610,None,None,None,None,None,None,1414470,None,3959750,None,2539690,20000,None
9,SXTC,2018-06-30,USD,7934349,6479645,217009,217009,1372228,None,None,1350473,None,52077,52077,None,None,None,None,838726,None,3967809,3967809,None,None,None,None,None,None,None,None,None,None,1414470,None,3966540,None,2537009,20000,None
10,SXTC,2018-03-31,USD,7657890,6102190,560250,560250,1494080,None,None,1488860,None,60670,60670,None,None,None,98000,757170,None,4372120,4372120,None,None,None,385120,None,None,None,None,None,None,1415707,None,3285780,None,1544650,20000,None
11,SXTC,2017-12-31,USD,8122370,7519290,24230,24230,1451630,None,None,555080,None,48000,48000,None,None,None,None,176590,None,5122260,5122260,None,None,None,304210,None,None,None,None,None,None,None,None,3000110,None,1362780,20000,None
12,SXTC,2017-03-31,USD,5431000,4905116,65000,65000,891000,None,None,485000,None,41000,41000,None,None,None,None,129000,None,3579000,3579000,None,None,None,None,None,None,None,None,None,None,1718000,None,1852000,None,369000,20000,None
13,SXTC,2016-03-31,USD,6206000,None,11000,11000,1353000,None,None,430000,None,41000,41000,None,None,None,None,638000,None,5463000,5463000,None,None,None,None,None,None,None,None,None,None,2200000,None,743000,None,None,20000,None
