,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,RTP,2020-12-31,USD,692373510,2202144,1694679,1694679,None,None,None,None,None,None,None,None,None,None,None,None,None,24810733,421572,15775,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,RTP,2020-09-30,USD,693717955,3760749,2779588,2779588,None,None,None,None,None,None,None,None,None,None,None,None,None,25441293,1052132,702543,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
