,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,ALGS,2020-09-30,USD,92183000,73693000,31816000,31816000,None,None,18490000,15646000,None,None,None,None,None,0,38248000,3629000,2844000,228851000,19984000,None,None,None,None,208867000,13346000,None,None,None,13346000,None,295000,-136668000,None,-140320000,None,36890186
1,ALGS,2020-06-30,USD,148676000,91454000,63453000,63453000,None,None,16447000,16212000,None,None,None,None,None,0,65444000,3332000,235000,26718000,15364000,None,None,None,None,11354000,13711000,None,None,None,13711000,None,99000,121958000,None,-107023000,4000,36890186
2,ALGS,2020-03-31,USD,None,91454000,None,None,None,None,None,16212000,None,None,None,None,None,None,None,3332000,None,None,15364000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-107023000,4000,None
3,ALGS,2019-12-31,USD,146520000,120226000,69565000,69565000,None,None,26294000,None,None,None,None,None,None,10019000,48098000,2025000,188000,211411000,13818000,None,None,None,None,197593000,14331000,None,None,None,14331000,None,None,-64891000,None,-66197000,None,36890186
4,ALGS,2019-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
