,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,SOLY,2020-12-31,USD,33801000,32251000,31557000,31557000,353000,92000,1550000,1413000,None,114000,114000,None,None,None,None,608000,23000,2820000,2820000,1008000,None,None,None,None,None,None,None,None,None,None,None,30981000,None,-70584000,21000,21189943
1,SOLY,2020-09-30,USD,36869000,35406000,34626000,34626000,266000,107000,1429000,1300000,None,129000,129000,None,None,None,None,200000,None,2345000,2345000,655000,None,None,None,None,None,None,None,None,None,None,None,34524000,None,-66043000,21000,21189943
2,SOLY,2020-06-30,USD,39069000,38106000,37306000,37306000,171000,88000,935000,800000,None,112000,112000,None,None,None,None,200000,23000,1709000,1709000,782000,None,None,None,None,None,None,None,None,None,None,None,37360000,None,-62450000,21000,21189943
3,SOLY,2020-03-31,USD,9565265,8657695,7544526,7544526,None,419643,907570,785998,None,98289,98289,None,None,None,None,592000,23283,1850872,1849802,988721,1070,None,None,1070,None,None,None,None,None,None,None,7714393,None,-59313874,16943,16943578
4,SOLY,2019-12-31,USD,13141000,12172000,11876000,11876000,None,2360,969000,847399,None,98000,98000,None,None,None,None,200000,23283,2867000,2866000,1338000,16027,None,None,4000,None,None,None,None,None,11745,None,10273410,None,-56043371,17000,16932184
5,SOLY,2019-09-30,USD,9927026,8906913,8505960,8505960,None,26733,1020113,907309,None,89521,89521,None,None,None,None,202680,23283,2744879,2733959,887992,18413,None,None,10920,None,None,None,None,None,7493,None,7182147,None,-52768270,16405,16405062
6,SOLY,2019-06-30,USD,12755489,11662141,11187168,11187168,None,26134,1093348,980656,None,89409,89409,None,None,None,None,200000,23283,1989303,1976375,365572,None,47781,47780,12928,None,47781,47781,None,47781,7872,None,10766186,None,-48473373,15694,15693715
7,SOLY,2019-03-31,USD,6388902,5291572,4860690,4860690,None,2436,1097330,987967,None,86080,86080,None,None,None,None,200000,23283,1977162,1961912,546067,None,47781,47780,15250,None,47781,47781,None,47781,7106,None,4411740,None,-45499840,14613,14613000
8,SOLY,2018-12-31,USD,1542993,143968,133435,133435,None,1080,1122465,1014240,None,84942,84942,None,None,None,None,None,None,21100878,21084622,2737836,None,2078544,None,16256,None,2078544,2078544,None,2078544,4620366,None,-19560420,None,-42131275,1998,None
9,SOLY,2018-09-30,USD,861388,213364,197975,197975,None,1141,369812,262789,None,83740,83740,None,None,None,None,None,None,18453146,18434728,1767713,None,1756155,None,18418,None,None,1756155,None,None,4299210,None,-17594293,None,-39391713,1898,2000000
