,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,HAPP,2020-09-30,USD,93564269,75415297,43803330,43803330,2126986,None,18148972,9074646,None,740712,740712,None,None,None,None,7433779,8333614,5883957,5883957,None,None,None,None,0,None,None,2361798,None,None,2006333,None,87637160,None,71496603,12950,25900000
1,HAPP,2020-06-30,USD,None,75415297,None,None,2126986,None,None,9074646,None,None,None,None,None,None,None,7433779,None,None,5883957,None,None,None,None,None,None,None,None,None,None,2006333,None,None,None,71496603,12950,None
2,HAPP,2020-03-31,USD,85097470,69984749,33654770,33654770,2029406,None,15112724,7896501,None,719720,719720,None,None,None,None,4264130,6496500,5507480,5507484,None,None,None,2032434,0,None,None,2032434,None,2877150,1907387,None,79589989,None,68687300,12500,25000000
3,HAPP,2019-12-31,USD,None,69984749,None,None,2029406,None,None,7896501,None,None,None,None,None,None,None,4264130,None,None,5507484,None,None,None,None,None,None,None,None,None,None,1907387,None,None,None,68687300,12500,None
4,HAPP,2019-09-30,USD,71315500,59502260,23832050,23832050,1904460,None,11813235,7163077,None,729090,729090,None,None,None,None,None,3921070,5076310,5076310,None,None,None,2035940,0,None,None,2035940,None,2035940,1319613,None,66239193,None,64422562,11500,None
5,HAPP,2019-06-30,USD,71315498,59502263,23832048,23832048,1904463,None,None,7163077,None,729089,729089,None,None,None,None,None,None,5076305,5076305,None,None,None,None,None,None,None,None,None,None,1319613,None,66239193,None,64422562,11500,None
6,HAPP,2019-03-31,USD,65679050,54840260,14800770,14800770,1970740,None,10838789,7807050,None,774370,774370,None,None,None,None,5940447,2257370,4763400,4763400,None,None,None,1039578,0,None,None,1039578,None,1039580,1991166,None,60915650,None,55999270,11500,None
7,HAPP,2018-12-31,USD,65679048,54840259,14800772,14800772,1970735,None,None,7807045,None,774374,774374,None,None,None,None,5940447,None,4763401,4763401,None,None,None,None,None,None,None,None,None,None,1991166,None,60915647,None,55999265,11500,None
8,HAPP,2018-09-30,USD,54278610,45572030,13394970,13394970,1941390,None,None,7940250,None,766330,766330,None,None,None,None,None,None,4464190,4464190,None,None,None,1366438,None,None,None,None,None,1366440,955153,None,49814420,None,46082110,11500,None
9,HAPP,2018-06-30,USD,54278605,45572025,13394966,13394966,1941386,None,None,7940252,None,766328,766328,None,None,None,None,None,None,4464188,4464188,None,None,None,None,None,None,None,None,None,None,955153,None,49814417,None,46082106,25,None
