,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,ADCT,2020-12-31,USD,513692000,450450000,439195000,439195000,None,None,63242000,4758000,None,None,None,None,None,47908000,None,1401000,48305000,178187000,40436000,None,None,None,None,137751000,3467000,107983000,3631000,None,None,3128000,221000,335505000,None,-694859000,6314000,76721543
1,ADCT,2020-09-30,USD,521526000,506419000,494416000,494416000,None,None,15107000,4904000,None,None,None,None,None,None,None,12003000,389000,145467000,32563000,None,None,None,None,112904000,3656000,106978000,2642000,None,None,22724000,208000,376059000,None,-638930000,6314000,76718648
2,ADCT,2020-06-30,USD,373842000,359125000,348593000,348593000,None,None,14717000,5508000,None,None,None,None,None,None,None,10532000,384000,177540000,31368000,None,None,None,None,146172000,4433000,139913000,3113000,None,None,20359000,None,196302000,None,-618602000,5795000,70715852
3,ADCT,2020-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,ADCT,2019-12-31,USD,137682000,122606000,115551000,115551000,None,None,15076000,6274000,None,8434000,8434000,None,None,None,None,1743000,368000,26526000,19943000,None,None,None,None,6583000,5031000,None,None,None,None,834000,None,111156000,None,-448569000,4361000,73252000
5,ADCT,2019-09-30,USD,None,122606000,None,None,None,None,None,6274000,None,None,None,None,None,None,None,1478000,None,None,19943000,None,None,None,None,None,None,None,None,None,None,834000,None,None,None,-448569000,4361000,None
6,ADCT,2019-06-30,USD,200839000,185396000,182156000,182156000,None,None,15443000,6760000,None,8419000,8419000,None,None,None,None,3237000,264000,22850000,17005000,None,None,None,None,5845000,5376000,None,None,None,None,14752000,None,177989000,None,-381943000,424000,None
7,ADCT,2019-03-31,USD,200839000,185396000,182156000,182156000,None,None,None,6760000,None,8419000,8419000,None,None,None,None,3237000,None,22850000,17005000,None,None,None,None,None,None,None,None,None,None,14752000,None,177989000,None,-381943000,424000,None
8,ADCT,2018-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,249166000,None,None,None,None
9,ADCT,2010-09-30,USD,1474500000,None,518100000,518100000,106400000,None,None,146500000,None,81900000,81900000,6100000,None,None,178800000,51900000,None,1040100000,288700000,None,None,None,None,None,None,650800000,None,None,None,186500000,None,429600000,None,None,23700000,None
10,ADCT,2010-06-30,USD,1415000000,None,449200000,449200000,116300000,None,None,147900000,None,85400000,85400000,6000000,None,None,181000000,36600000,None,985600000,255900000,None,None,None,None,None,None,650900000,None,None,None,170300000,None,424600000,None,None,23700000,None
11,ADCT,2010-03-31,USD,1345100000,None,446200000,446200000,122800000,None,None,153800000,None,89800000,89800000,5900000,None,None,111300000,38800000,None,989800000,251900000,None,None,None,None,None,None,650900000,None,None,None,172100000,None,350400000,None,None,19000000,None
12,ADCT,2009-12-31,USD,1336100000,None,558500000,558500000,123900000,None,None,158300000,None,94600000,94600000,5600000,None,None,51000000,30100000,None,977000000,230700000,None,None,None,None,None,None,650900000,None,None,None,153200000,None,354300000,None,None,19000000,None
13,ADCT,2009-06-30,USD,1322700000,None,511600000,511600000,140000000,None,None,166900000,None,94900000,94900000,None,None,None,None,33000000,None,943300000,210800000,None,None,None,None,None,None,651000000,None,None,None,132400000,None,379400000,None,None,19000000,None
14,ADCT,2009-03-31,USD,1307500000,None,462300000,462300000,149400000,None,None,168900000,None,99800000,99800000,None,None,None,None,42900000,None,940800000,207200000,None,None,None,None,None,None,650400000,None,None,None,132400000,None,366700000,None,None,19000000,None
15,ADCT,2008-12-31,USD,1316900000,None,515800000,515800000,167200000,None,None,169300000,None,105800000,105800000,None,None,None,None,45800000,None,947400000,212900000,None,None,None,None,None,None,650500000,None,None,None,133100000,None,369500000,None,None,19000000,None
16,ADCT,2008-09-30,USD,1921000000,None,631400000,631400000,162700000,None,None,177100000,None,520400000,520400000,359300000,None,None,100000,42600000,None,1006800000,278000000,None,None,None,None,None,None,650700000,None,None,None,173900000,None,914200000,None,None,23500000,None
17,ADCT,2008-06-30,USD,2051800000,None,656500000,656500000,190500000,None,None,200800000,None,525500000,525500000,353900000,None,None,200000,33700000,None,1015900000,264200000,None,None,None,None,None,None,650800000,None,None,None,159800000,None,1035900000,None,None,23500000,None
18,ADCT,2008-03-31,USD,2234500000,None,813300000,813300000,197900000,None,None,202700000,None,528200000,528200000,349000000,None,None,200000,33400000,None,1223400000,471700000,None,None,None,None,None,None,651000000,None,None,None,159700000,None,1011100000,None,None,23500000,None
19,ADCT,2007-12-31,USD,2205100000,None,792600000,792600000,197500000,None,None,201000000,None,537800000,537800000,349600000,None,None,3300000,37400000,None,1218300000,470200000,None,None,None,None,None,None,651300000,None,None,None,139900000,None,986800000,None,None,23500000,None
20,ADCT,2007-09-30,USD,1764800000,None,520200000,520200000,170200000,None,None,199200000,None,360300000,360300000,238400000,None,None,61600000,32500000,None,757200000,474100000,None,None,None,None,None,None,200600000,None,None,None,165500000,None,1007600000,None,None,23500000,None
