,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,AREC,2020-12-31,USD,38415395,11215889,11201203,11201203,150504,None,27199506,22498659,None,None,None,None,None,4117139,None,175000,34236741,58420895,23261101,None,None,None,10997.69,35159794,None,14300907,11071692,5330752,14300907,17175642,15528135,-20005500,None,-133289247,4256,40522762
1,AREC,2020-09-30,USD,29368559,1359803,1391716,1391716,150503,None,28008756,23253811,11971657,None,None,None,None,None,None,None,637806,62945490,26076804,None,None,12469374,12469374,36868686,None,4326093,12469374,4734639,4326093,3380315,None,-33576931,None,-124977659,2839,28400512
2,AREC,2020-06-30,USD,32284328,2215726,2154223,2154223,150504,None,30068602,25415822,12715725,None,None,None,None,None,None,None,535641,66772215,32541270,11456102,None,16601920,16601920,34230945,None,4308819,16601920,4731760,4308819,3212198,None,-34487887,None,-125101641,2603,26040512
3,AREC,2020-03-31,USD,32023079,640889,459232,459232,150504,None,31382190,27265051,11981983,None,None,None,None,None,None,None,415487,67436526,35335268,11763906,None,17944572,17944572,32101258,None,5415271,17944572,5415271,5415271,3120987,None,-35413447,None,-126409878,2740,27410512
4,AREC,2019-12-31,USD,35229650,3178099,268811,268811,515630,None,32051551,27668855,11162622,None,None,None,None,None,None,None,265487,67934291,45006407,11044479,None,7419612,28046840,22927884,None,12283404,20494589,5415271,33746655,3045325,None,-32704641,None,-123033485,2740,27410512
5,AREC,2019-09-30,USD,1312814,1014827,1014827,1014827,1004326,None,65223188,60808062,11320116,None,None,None,None,None,None,None,297987,23752266,34470517,None,None,14691696,21911308,23752266,None,4829330,14691696,4829330,4829330,2966349,None,7110790,None,-82985942,2726,27267197
6,AREC,2019-06-30,USD,1859760,1494775,1494775,1494775,121026,None,61728352,57246228,9652446,None,None,None,None,None,None,None,364985,19180605,33360346,None,None,15528199,22347831,19180605,None,4826451,15528199,4826451,4826451,19955,None,10727983,None,-75641410,2340,23367197
7,AREC,2019-03-31,USD,943287,471647,471647,471647,738054,None,63428436,58839657,8044966,None,None,None,None,None,None,None,471640,18859710,25666168,None,None,14934884,14934884,18859710,None,9803829,14934884,9803829,9803829,139864,16532541,13563610,None,-62180800,2330,21000000
8,AREC,2018-12-31,USD,41363712,4262961,2704799,2704799,163800,None,37100751,32571920,6691259,None,None,None,None,None,None,None,411692,50563534,26433022,None,None,14169139,14169139,24130512,None,7918872,14169139,7918872,22088011,2881485,None,-9199875,None,-52115183,1776,4000000
9,AREC,2018-09-30,USD,20058236,3536324,57739,57739,426725,None,16521912,12118730,6600108,None,None,None,None,None,None,None,286043,50505402,25143382,None,None,14625099,14625099,25362020,None,5072493,14625099,5072493,19697592,3080150,None,-30448498,None,-50265183,118,1000000
