,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,BHAT,2020-06-30,USD,57185959,39292682,11372626,11372626,249563,None,17893277,4918331,None,6423487,6423487,None,None,1702098,None,277376,None,11755306,11500116,None,None,None,2015330,255190,520093,None,2015330,None,2535423,7546188,None,45430653,None,26681722,35141,35141114
1,BHAT,2020-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,BHAT,2019-12-31,USD,58815689,42717316,10478587,10478587,125264,None,None,3004673,None,6758316,6758316,None,None,None,None,17710167,None,14065407,13680028,None,None,None,313460,None,None,None,None,None,313460,4068341,None,None,None,25421959,35141,None
3,BHAT,2019-09-30,USD,None,42717316,None,None,125264,None,None,3004673,None,None,None,None,None,None,None,17710167,None,None,13680028,None,None,None,None,None,None,None,None,None,None,4068341,None,None,None,25421959,35141,None
4,BHAT,2019-06-30,USD,38171082,9610286,81231,81231,381919,None,28560796,209342,None,4757824,4757824,None,None,1754820,0,1324249,28560796,6842551,6787699,None,None,None,1167810,54852,None,54852,1167810,None,1222662,3812553,None,31328531,None,18229790,33000,33000000
5,BHAT,2019-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28256045,None,None,None,None
6,BHAT,2018-12-31,USD,35470864,25659179,11829509,11829509,273271,None,0,208870,0,4265537,4265537,0,None,1751835,0,1433935,0,7214819,7122833,None,None,None,3201150,0,0,91990,75469,None,3293136,902722,0,28256050,0,16348010,33000,0
7,BHAT,2018-09-30,USD,31983431,25594519,11794477,11794477,221184,None,None,225610,None,4367681,4367681,None,None,None,2330142,None,None,8221523,8110189,None,None,None,2113713,None,None,111330,None,None,2225047,None,None,23761910,None,11688030,33000,None
8,BHAT,2018-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,33000000
9,BHAT,2017-12-31,USD,33582177,29243641,2370283,2370283,598199,None,0,278894,0,4002687,4002687,0,None,7684,17390432,2302595,0,11771414,11594387,None,None,None,3675332,0,0,177027,64053,None,3852359,1770107,0,21810763,0,8428597,33000,0
10,BHAT,2017-09-30,USD,221503109,192910158,128590660,128590660,3892712,None,0,1814873,0,14205901,14205901,0,None,50000,0,456691,0,75522269,75522269,None,None,None,0,0,0,0,0,None,None,15097549,0,145980842,0,60247488,31054000,0
11,BHAT,2017-06-30,USD,118940075,102432346,50746511,50746511,4926434,None,0,225743,0,8594676,8594676,0,None,0,0,4685,0,57308671,57308671,None,None,None,0,0,0,0,0,None,None,10795959,0,61631406,0,34878003,25894000,0
