,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,FUBO,2020-12-31,USD,116646000,156714000,134942000,134942000,None,None,116646000,6410000,None,116646000,116646000,0,None,None,None,None,1370000,236401000,227314000,None,None,None,None,9087000,4658000,None,28848000,None,None,40114000,146000,634042000,None,-626456000,9000,92490768
1,FUBO,2020-09-30,USD,799313000,58016000,38864000,38864000,None,6975000,740022000,1840000,1845,732287000,238440000,493847000,None,None,None,None,1009000,290376000,247078000,None,15424000,15580000,9696000,43298000,4900000,45453000,15580000,29873000,45453000,46393000,3968000,492527000,None,-458632000,5000,47531170
2,FUBO,2020-06-30,USD,1110366000,49801000,7356000,7356000,None,4112000,710962000,1933000,131000,1051747000,340785000,710962000,None,None,None,35494000,403000,422289000,144125000,None,8855000,8154000,12561000,90794000,5159000,19182000,8154000,19197000,19182000,123068000,1000,671667000,None,-184389000,4000,38684514
3,FUBO,2020-03-31,USD,176595000,10211000,81000,81000,None,10000000,176595000,37000,None,176595000,111459000,176595000,None,4339000,None,None,None,154415000,13644000,None,None,5207000,1962000,28679000,37000,3563000,5207000,55130000,3563000,26193000,1000,130729000,None,-111593000,3000,32307663
4,FUBO,2019-12-31,USD,368225000,17973000,7624000,7624000,49000,8904000,348287000,3854000,None,344409000,116646000,227763000,None,1965000,None,None,None,145049000,67442000,None,None,5448000,1358000,77607000,3520000,48606000,5448000,43982000,648000,3963000,41000,120865000,None,-56123000,3000,28912500
5,FUBO,2019-09-30,USD,373159000,20215000,5896000,5896000,61000,12989000,350824000,3896000,None,341254000,130459000,210795000,None,5650000,None,None,352944000,138621000,69431000,None,None,33626000,5995000,35629000,3673000,4520000,32791000,32791000,4520000,2131000,194000,204540000,None,-37557000,2000,None
6,FUBO,2019-06-30,USD,275128000,166000,151000,151000,None,None,274962000,112000,None,273827000,125772000,148055000,None,1000000,None,None,274962000,46415000,13606000,None,None,4007000,100000,15000,99000,4023000,3923000,None,4023000,1582000,None,199190000,None,-30776000,2000,None
7,FUBO,2019-03-31,USD,280453000,329000,306000,306000,None,None,280124000,128000,None,278980000,130925000,148055000,None,1000000,None,None,280124000,48797000,14929000,None,None,4734000,1354000,37000,119000,5784000,4652000,None,5784000,2263000,None,204315000,None,-25229000,2000,None
8,FUBO,2018-12-31,USD,286101000,31000,31000,31000,None,None,286070000,14000,None,286053000,136078000,149975000,None,None,None,None,None,53551000,18551000,None,None,4531000,1451000,35000000,None,5526000,4531000,None,5526000,None,None,None,None,-21763000,1000,None
9,FUBO,2018-09-30,USD,290114832,847823,36551,36551,None,None,289021833,None,None,288944846,140890000,148054846,None,None,None,None,None,41101111,3594742,None,None,484365,None,36944000,None,484365,484365,None,484365,None,None,None,None,None,None,None
10,FUBO,2018-06-30,USD,378000,369000,369000,369000,None,None,19516,None,None,None,None,None,None,None,None,None,None,4119615,4100000,None,None,235000,None,None,None,233200,235000,None,233200,None,None,None,None,None,None,None
11,FUBO,2018-03-31,USD,437000,428000,419000,419000,None,None,3000,None,None,None,None,None,None,None,None,None,None,3201295,3191000,None,None,131000,None,None,None,130874,131000,None,130874,None,None,None,None,None,None,None
12,FUBO,2017-12-31,USD,86000,77000,77000,77000,None,None,9000,None,None,None,None,None,None,None,None,None,None,3185000,3185000,None,None,2503000,None,None,None,4716000,2503000,None,154707,None,None,None,None,None,None,None
13,FUBO,2017-09-30,USD,172000,169000,101000,101000,None,None,None,None,None,None,None,None,None,None,None,None,None,2792000,2774000,None,None,13000,None,None,None,13000,13000,None,13000,None,None,None,None,None,None,None
14,FUBO,2017-06-30,USD,40000,37000,20000,20000,None,None,None,None,None,None,None,None,None,None,None,None,None,1919000,1919000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,FUBO,2017-03-31,USD,34000,34000,18000,18000,None,None,None,None,None,None,None,None,None,None,None,None,None,5084000,5084000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
16,FUBO,2016-12-31,USD,115000,115000,77000,77000,None,None,None,None,None,None,None,None,None,None,None,None,None,14554000,14554000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
17,FUBO,2016-09-30,USD,1384000,251000,200000,200000,None,None,None,None,None,None,None,None,None,None,None,None,None,9480000,9480000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
18,FUBO,2016-06-30,USD,279000,28000,7000,7000,None,None,None,None,None,None,None,None,None,None,None,None,None,9493000,9493000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
19,FUBO,2016-03-31,USD,273000,22000,7000,7000,None,None,None,None,None,None,None,None,None,None,None,None,None,1043876,8060000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
