,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,BWAY,2020-09-30,USD,34381000,24075000,15792000,15792000,None,None,10306000,10143000,None,None,None,None,None,None,None,None,None,14469000,6972000,None,None,None,None,7497000,None,None,None,None,None,6061000,5319000,19912000,None,-76888000,233000,22482630
1,BWAY,2020-06-30,USD,35195000,24183000,17613000,17613000,None,None,11012000,10851000,None,None,None,None,None,None,None,None,None,14551000,7525000,None,None,None,None,7026000,None,None,None,None,None,5470000,5067000,20644000,None,-75922000,233000,22250534
2,BWAY,2020-03-31,USD,35032000,24735000,17969000,17969000,None,None,10297000,10139000,None,None,None,None,None,None,221000,None,None,13946000,6931000,None,None,None,None,7015000,None,None,None,None,None,5838000,4818000,21086000,None,-75351000,233000,22236368
3,BWAY,2019-12-31,USD,38736000,28829000,21674000,21674000,306000,None,9907000,9739000,None,None,None,None,None,None,221000,None,9907000,14516000,6718000,None,None,None,None,7798000,414000,0,0,None,None,2148000,5367000,24220000,None,-71909000,233000,22236368
4,BWAY,2019-09-30,USD,40843000,30616000,23741000,23741000,None,None,10227000,10067000,None,None,None,None,None,None,171000,None,10227000,14588000,7253000,None,None,None,0,7335000,None,0,0,None,None,1045000,5246000,26255000,None,-69593000,202000,11000000
5,BWAY,2019-06-30,USD,43493000,33639000,27413000,27413000,None,None,9854000,9698000,None,None,None,None,None,None,151000,None,9854000,14895000,7119000,None,None,None,0,7776000,None,0,0,None,None,909000,5328000,28598000,None,-66961000,202000,10000000
6,BWAY,2019-03-31,USD,24299000,12593000,7541000,7541000,None,None,11706000,9203000,None,None,None,None,None,None,151000,None,11706000,18893000,9441000,None,None,None,1125000,9452000,None,1737000,1125000,None,None,565000,5068000,5406000,None,-59886000,171000,9000000
7,BWAY,2018-12-31,USD,23602000,13478000,8968000,8968000,0,None,None,7626000,None,0,0,0,None,0,101000,0,None,16650000,8339000,None,None,None,750000,None,None,2083000,750000,None,None,2118000,None,6952000,0,-61581000,171000,8000000
8,BWAY,2018-09-30,USD,23260000,14699000,9502000,9502000,0,None,None,7386000,None,0,0,0,None,0,1118000,0,None,14408000,6709000,None,None,None,375000,None,None,2431000,375000,None,None,5094000,None,8852000,0,-59432000,171000,8000000
9,BWAY,2018-06-30,USD,23817000,15576000,10491000,10491000,0,None,None,7059000,None,14000,14000,0,None,0,1114000,0,None,13646000,5798000,None,None,None,0,None,None,2779000,0,None,None,4371000,None,10171000,0,-57955000,171000,8000000
10,BWAY,2018-03-31,USD,25683000,17370000,13310000,13310000,0,None,None,7261000,None,16000,16000,0,None,0,1109000,0,None,13754000,6247000,None,None,None,0,None,None,2753000,0,None,None,4571000,None,11929000,0,-56129000,171000,9000000
11,BWAY,2000-12-31,USD,77272000,None,None,None,662000,None,None,42173000,None,None,None,None,None,None,None,4869000,None,34880000,29830000,None,None,None,None,None,None,4265000,None,None,None,14599000,None,42392000,None,None,6000,None
12,BWAY,2000-09-30,USD,438981000,None,None,None,1450000,None,None,36459000,None,None,None,None,None,None,None,4208000,None,58835000,27416000,None,None,None,None,None,None,1801000,None,None,None,8788000,None,380146000,None,None,6000,None
13,BWAY,2000-06-30,USD,427326000,None,None,None,1948000,None,None,26892000,None,None,None,None,None,None,None,5176000,None,50012000,19001000,None,None,None,None,None,None,1921000,None,None,None,10601000,None,377314000,None,None,6000,None
14,BWAY,2000-03-31,USD,86575000,None,None,None,1832000,None,None,14727000,None,None,None,None,None,None,None,3899000,None,14305000,10887000,None,None,None,None,None,None,254000,None,None,None,7106000,None,72270000,None,None,4000,None
