feature,weight,std
gross_profit_margin,0.02777777777777781,0.021516574145596726
industry,0.013888888888888928,0.008784104611578835
cashflow_frominvestment,0.01111111111111116,0.013608276348795427
OCF_ratio,0.002777777777777812,0.010393492741038736
debt_equity_ratio,0.00277777777777779,0.01842569327975224
sector_Utilities,0.00277777777777779,0.005555555555555581
industry,2.2204460492503132e-17,0.008784104611578835
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
sector_Real Estate,0.0,0.0
sector_Industrials,0.0,0.0
sector_Healthcare,0.0,0.0
sector_Energy,0.0,0.0
sector_Consumer Defensive,0.0,0.0
sector_Communication Services,0.0,0.0
sector_Basic Materials,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,0.0,0.0
industry,-0.002777777777777768,0.005555555555555536
sector_Consumer Cyclical,-0.002777777777777768,0.005555555555555536
EBIT_margin,-0.005555555555555513,0.01666666666666669
sector_Other,-0.005555555555555536,0.014163943093313307
sector_Financial Services,-0.008333333333333304,0.006804138174397694
sector_Technology,-0.008333333333333304,0.006804138174397694
debt_asset_ratio,-0.008333333333333304,0.006804138174397694
industry,-0.011111111111111072,0.005555555555555536
current_ratio,-0.011111111111111094,0.010393492741038726
net_profit_margin,-0.013888888888888862,0.03513641844631531
