symbol,fiscaldate_end,reported_currency,gross_profit,total_revenue,costof_revenue,costof_goodservices_sold,operating_income,selling_gen_admin,research_dev,operating_expenses,investment_income_net,netInterestIncome,interest_income,interest_expense,noninterest_income,othernon_operatingincome,depreciation,dpr_and_amort,income_beforetax,incometax_expense,interest_debt_expense,netincome_cont_operations,comprehensive_income_netoftax,ebit,ebitda,netincome
ABCM,2020-09-30,GBP,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,1050000,0,0.0,0,0.0,0,0.0
ABNB,2020-12-31,USD,649517000,859264000.0,209747000,209747000,-3085794000.0,1343584000.0,2062195000.0,3945058000.0,0,-60853000,3287000,64140000.0,0,0,0,0,-3992502000.0,-104651000,0,-3887851000.0,0,-3895924000.0,0,-3887851000.0
ABST,2020-09-30,USD,25380150,28495557.0,3115407,3115407,4198883.0,16119574.0,5061693.0,24296674.0,0,-116713,21936,138649.0,0,0,0,0,3895944.0,1294000,0,2601944.0,0,5390617.0,0,2601944.0
ACCD,2020-05-31,USD,22493000,44441000.0,21948000,21948000,-12625000.0,12877000.0,11370000.0,48519000.0,0,-1282000,0,1282000.0,0,0,0,0,-13922000.0,38000,0,-13960000.0,0,896000.0,0,-13960000.0
ACI,2020-06-20,USD,6771500000,22751600000.0,15980100000,0,971800000.0,5769400000.0,0.0,5769400000.0,0,-180600000,0,0.0,0,-3100000,0,0,788100000.0,201900000,0,586200000.0,587900000,971800000.0,0,586200000.0
ADCT,2020-03-31,USD,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,102000,0,0.0,0,0.0,0,0.0
ADTX,2020-06-30,USD,0,0.0,0,0,-398480.0,370186.0,28294.0,398480.0,0,-135837,0,135837.0,0,0,0,0,-534317.0,0,0,-534317.0,0,-398480.0,0,-534317.0
AFYA,2019-06-30,BRL,96210000.0,178493000.0,82283000.0,82283000.0,37202000.0,59584000.0,0.0,59008000.0,0,-16755000,1410000,15721000.0,0,0,0,0,23051000.0,1725000.0,0,21326000.0,0,28287000.0,0,16317000.0
AGBA,2019-03-31,USD,0,0.0,0,0,-10020.0,10020.0,0.0,10020.0,0,5,5,0.0,0,0,0,0,-10015.0,0,0,-10015.0,0,-10020.0,0,-10015.0
AIH,2019-09-30,CNY,164348000.0,237892000.0,73544000.0,73544000.0,7493000.0,156855000.0,0.0,230399000.0,0,-6222000,115308000,6222000.0,0,0,0,0,123314000.0,4551000.0,0,118763000.0,0,129536000.0,0,115674000.0
AI,2020-10-31,USD,31260000,41341000.0,10081000,10081000,-14524000.0,29650000.0,16134000.0,55865000.0,0,288000,288000,0.0,0,0,0,0,-14814000.0,130000,0,-14944000.0,0,-13454000.0,0,-14944000.0
AKRO,2019-06-30,USD,0,0.0,0,0,-7609000.0,1649000.0,5960000.0,7609000.0,0,0,0,0.0,0,0,0,0,-7228000.0,0,0,-7228000.0,0,-7609000.0,0,-7228000.0
AKUS,2020-06-30,USD,0,0.0,0,0,-12601000.0,2664000.0,9937000.0,12601000.0,0,80000,80000,0.0,0,0,0,0,-12523000.0,0,0,-12523000.0,0,-12072000.0,0,-12523000.0
ALEC,2018-12-31,USD,-14952000,9145000.0,24097000,24097000,-19017000.0,4065000.0,24097000.0,28162000.0,0,0,0,0.0,0,1644000,0,276000,-17373000.0,0,0,-17373000.0,-17275000,-19017000.0,-18741000,-17373000.0
ALGM,2020-09-30,USD,55701000,115001000.0,59300000,59300000,12402000.0,26789000.0,25130000.0,124247000.0,0,350000,0,0.0,0,0,0,0,11700000.0,2082000,0,9618000.0,0,15939000.0,0,9584000.0
ALGS,2020-09-30,USD,0,0.0,0,0,-21557000.0,4225000.0,17332000.0,21557000.0,0,234000,234000,0.0,0,0,0,0,-33297000.0,0,0,-33297000.0,0,-20672000.0,0,-33297000.0
ALUS,2019-12-31,USD,0,0.0,0,0,-114583.0,114583.0,0.0,114583.0,0,0,0,0.0,0,0,0,0,216198.0,0,0,216198.0,0,-114583.0,0,216198.0
ALVR,2020-06-30,USD,0,0.0,0,0,-12153000.0,3268000.0,8885000.0,12153000.0,0,166000,166000,0.0,0,0,0,0,-11632000.0,0,0,-11632000.0,0,-12134000.0,0,-11632000.0
AMHC,2019-12-31,USD,0,0.0,0,0,-135300.0,136300.0,0.0,0.0,0,0,154570,0.0,0,0,0,0,19270.0,16230,0,0.0,0,0.0,0,3040.0
