SYMBOL,IPO_DATE,NAME,IPO_PRICE,CURRENT,RETURN,THREE_MTH_DATE,THREE_MTH_RETURN
DCBO,2020-12-03,Docebo,52.21,42.75,-0.1812,2021-03-03,42.4
SPFR,2020-12-03,Jaws Spitfire Acquisition,10.0,10.39,0.039,2021-03-03,10.43
RSVA,2020-12-02,Rodgers Silicon Valley Acquisition,10.0,15.13,0.513,2021-03-02,18.14
TACA,2020-12-02,Trepont Acquisition I,10.0,9.98,-0.002,2021-03-02,10.06
CAP,2020-12-02,Capitol Investment V,10.0,10.2,0.02,2021-03-02,9.97
SGAM,2020-11-30,Seaport Global Acquisition,10.0,9.87,-0.013000000000000001,2021-02-28,0
FRX,2020-11-25,Forest Road Acquisition,10.0,10.94,0.094,2021-02-25,12.64
SPRQ,2020-11-25,Spartan Acquisition II,10.0,10.5,0.05,2021-02-25,11.14
HFEN,2020-11-24,HF Enterprises,7.0,6.15,-0.1214,2021-02-24,17.75
OZON,2020-11-24,Ozon Holdings,30.0,56.52,0.884,2021-02-24,61.77
SV,2020-11-24,Spring Valley Acquisition,10.0,10.03,0.003,2021-02-24,10.8
VMAR,2020-11-24,Vision Marine Technologies,10.0,9.56,-0.044000000000000004,2021-02-24,11.91
GNPK,2020-11-24,Genesis Park Acquisition,10.0,9.93,-0.006999999999999999,2021-02-24,10.75
VCVC,2020-11-24,10X Capital Venture Acquisition,10.0,10.72,0.07200000000000001,2021-02-24,11.67
TINV,2020-11-24,Tiga Acquisition,10.0,10.15,0.015,2021-02-24,10.77
BREZ,2020-11-23,Breeze Holdings Acquisition,10.0,10.01,0.001,2021-02-23,10.31
LSAQ,2020-11-20,LifeSci Acquisition II,10.0,10.38,0.038,2021-02-20,0
ARBG,2020-11-20,Aequi Acquisition,10.0,9.93,-0.006999999999999999,2021-02-20,0
MRVI,2020-11-20,Maravai LifeSciences,27.0,37.48,0.3881,2021-02-20,0
CAS,2020-11-20,Cascade Acquisition,10.0,9.9,-0.01,2021-02-20,0
SHC,2020-11-20,Sotera Health,23.0,27.74,0.2061,2021-02-20,0
KWAC,2020-11-20,Kingswood Acquisition,10.0,9.97,-0.003,2021-02-20,0
OCA,2020-11-20,Omnichannel Acquisition,10.0,9.9,-0.01,2021-02-20,0
IIAC,2020-11-19,Investindustrial Acquisition,10.0,9.88,-0.012,2021-02-19,10.71
NGMS,2020-11-19,NeoGames,17.0,39.85,1.3441,2021-02-19,30.85
LNFA,2020-11-19,L&F Acquisition,10.0,9.99,-0.001,2021-02-19,10.34
RTPZ,2020-11-19,Reinvent Technology Partners Z,10.0,10.39,0.039,2021-02-19,14.07
TLS,2020-11-19,Telos,17.0,35.84,1.1082,2021-02-19,35.59
YSG,2020-11-19,Yatsen Holding,10.5,14.95,0.4238,2021-02-19,21.72
OLMA,2020-11-19,Olema Pharmaceuticals,19.0,49.67,1.6142,2021-02-19,53.64
JYAC,2020-11-19,Jiya Acquisition,10.0,10.01,0.001,2021-02-19,11.22
CHFW,2020-11-19,Consonance-HFW Acquisition,10.0,9.88,-0.012,2021-02-19,10.61
PHIC,2020-11-18,Population Health Investment,10.0,9.85,-0.015,2021-02-18,10.45
DGNS,2020-11-17,Dragoneer Growth Opportunities II,10.0,10.85,0.085,2021-02-17,12.65
PIPP,2020-11-17,Pine Island Acquisition,10.0,10.18,0.018000000000000002,2021-02-17,12.36
OTRA,2020-11-17,OTR Acquisition,10.0,9.98,-0.002,2021-02-17,10.4
ZNTE,2020-11-17,Zanite Acquisition,10.0,10.24,0.024,2021-02-17,12.52
HAAC,2020-11-13,Health Assurance Acquisition,10.0,11.04,0.10400000000000001,2021-02-13,0
CFAC,2020-11-13,CF Finance Acquisition III,10.0,10.1,0.01,2021-02-13,0
BWAC,2020-11-13,Better World Acquisition,10.0,9.97,-0.003,2021-02-13,0
DMYI,2020-11-13,dMY Technology Group III,10.0,11.0,0.1,2021-02-13,0
STIC,2020-11-11,Northern Star Acquisition,10.0,11.62,0.162,2021-02-11,14.74
NOAC,2020-11-11,Natural Order Acquisition,10.0,10.23,0.023,2021-02-11,11.17
TSIA,2020-11-10,TS Innovation Acquisitions,10.0,13.02,0.302,2021-02-10,16.67
ADOC,2020-11-10,Edoc Acquisition,10.0,10.01,0.001,2021-02-10,10.3
DBDR,2020-11-06,Roman DBDR Tech Acquisition,10.0,10.03,0.003,2021-02-06,0
NBA,2020-10-30,New Beginnings Acquisition,10.0,10.0,0.0,2021-01-30,0
LU,2020-10-30,Lufax Holding,13.5,14.95,0.1074,2021-01-30,0
CONX,2020-10-30,CONX Corp.,10.0,10.08,0.008,2021-01-30,0
SQZ,2020-10-30,SQZ Biotechnologies,16.0,15.46,-0.0337,2021-01-30,0
JUPW,2020-10-30,Jupiter Wellness,7.5,5.58,-0.256,2021-01-30,0
BHSE,2020-10-30,Bull Horn Holdings,10.0,9.99,-0.001,2021-01-30,0
AVIR,2020-10-30,Atea Pharmaceuticals,24.0,77.41,2.2254,2021-01-30,0
ALGM,2020-10-29,Allegro MicroSystems,14.0,26.92,0.9229,2021-01-29,27.92
LESL,2020-10-29,Leslie's,17.0,23.05,0.3559,2021-01-29,28.6
GLTO,2020-10-29,Galecto,15.0,8.0,-0.4667,2021-01-29,12.39
DSAC,2020-10-29,Duddell Street Acquisition,10.0,9.95,-0.005,2021-01-29,10.08
ROOT,2020-10-28,"Root, Inc.",27.0,11.29,-0.5819,2021-01-28,20.53
GATO,2020-10-28,Gatos Silver,7.0,15.63,1.2329,2021-01-28,13.06
BOAC,2020-10-28,Bluescape Opportunities Acquisition,10.0,9.98,-0.002,2021-01-28,10.65
ACIC,2020-10-28,Atlas Crest Investment,10.0,10.44,0.044000000000000004,2021-01-28,10.44
AJAX,2020-10-28,Ajax I,10.0,10.45,0.045,2021-01-28,11.66
BDSX,2020-10-28,Biodesix,18.0,23.73,0.3183,2021-01-28,24.75
ABST,2020-10-28,Absolute Software,11.0,15.05,0.3682,2021-01-28,12.94
MAX,2020-10-28,MediaAlpha,19.0,55.79,1.9363,2021-01-28,52.6
MACU,2020-10-27,Mallard Acquisition,10.0,9.89,-0.011000000000000001,2021-01-27,10.12
LUXA,2020-10-27,Lux Health Tech Acquisition,10.0,10.49,0.049,2021-01-27,10.96
ATAC,2020-10-23,Altimar Acquisition,10.0,9.95,-0.005,2021-01-23,0
FHTX,2020-10-23,Foghorn Therapeutics,16.0,12.12,-0.2425,2021-01-23,0
EUCR,2020-10-23,Eucrates Biomedical Acquisition,10.0,10.09,0.009000000000000001,2021-01-23,0
ACAC,2020-10-23,Acies Acquisition,10.0,10.07,0.006999999999999999,2021-01-23,0
MCFE,2020-10-22,McAfee,20.0,23.93,0.1965,2021-01-22,19.19
TEKK,2020-10-22,Tekkorp Digital Acquisition,10.0,10.08,0.008,2021-01-22,10.5
ABCM,2020-10-22,Abcam PLC,17.5,21.24,0.2137,2021-01-22,23.59
GHLD,2020-10-22,Guild Holdings Company,15.0,14.75,-0.0167,2021-01-22,16.1
YSAC,2020-10-22,Yellowstone Acquisition,10.0,10.01,0.001,2021-01-22,10.33
RICE,2020-10-22,Rice Acquisition,10.0,10.28,0.027999999999999997,2021-01-22,12.32
CTAC,2020-10-22,Cerberus Telecom Acquisition,10.0,9.99,-0.001,2021-01-22,10.45
BLSA,2020-10-22,BCLS Acquisition,10.0,10.85,0.085,2021-01-22,10.86
HIGA,2020-10-21,H.I.G. Acquisition,10.0,10.03,0.003,2021-01-21,10.34
SRSA,2020-10-21,Sarissa Capital Acquisition,10.0,10.16,0.016,2021-01-21,10.38
MSP,2020-10-21,Datto,27.0,26.72,-0.0104,2021-01-21,26.45
SPNV,2020-10-21,Supernova Partners Acquisition,10.0,10.67,0.067,2021-01-21,11.33
XPOA,2020-10-21,DPCM Capital,10.0,10.1,0.01,2021-01-21,10.84
YGMZ,2020-10-21,MingZhu Logistics,4.0,5.77,0.4425,2021-01-21,12.77
LFTR,2020-10-21,Lefteris Acquisition,10.0,10.08,0.008,2021-01-21,10.91
DCRB,2020-10-20,Decarbonization Plus Acquisition,10.0,11.16,0.11599999999999999,2021-01-20,12.26
GWAC,2020-10-20,Good Works Acquisition,10.0,11.24,0.124,2021-01-20,10.24
HLXA,2020-10-20,Helix Acquisition,10.0,10.51,0.051,2021-01-20,11.0
HZON,2020-10-20,Horizon Acquisition II,10.0,10.84,0.084,2021-01-20,10.58
BTWN,2020-10-16,Bridgetown Holdings,10.0,12.25,0.225,2021-01-16,0
EAR,2020-10-16,Eargo,18.0,55.14,2.0633,2021-01-16,0
TARS,2020-10-16,Tarsus Pharmaceuticals,16.0,32.82,1.0513,2021-01-16,0
KRBP,2020-10-16,Kiromic BioPharma,12.0,10.07,-0.1608,2021-01-16,0
OPT,2020-10-16,Opthea,13.5,10.13,-0.2496,2021-01-16,0
PRAX,2020-10-16,Praxis Precision Medicines,19.0,42.51,1.2374,2021-01-16,0
TMPM,2020-10-16,Turmeric Acquisition,10.0,9.97,-0.003,2021-01-16,0
ALGS,2020-10-16,Aligos Therapeutics,15.0,25.33,0.6887,2021-01-16,0
TMTS,2020-10-15,Spartacus Acquisition,10.0,9.91,-0.009000000000000001,2021-01-15,10.29
EBC,2020-10-15,Eastern Bankshares,10.0,19.34,0.934,2021-01-15,16.39
