SYMBOL,IPO_DATE,NAME,IPO_PRICE,CURRENT,RETURN,THREE_MTH_DATE,THREE_MTH_RETURN
NGA,2020-08-18,Northern Genesis Acquisition,10.0,19.08,0.9079999999999999,2020-11-18,10.3
LCAP,2020-08-14,Lionheart Acquisition II,10.0,9.87,-0.013000000000000001,2020-11-14,0
CVAC,2020-08-14,CureVac,16.0,94.29,4.8931,2020-11-14,0
DGNR,2020-08-14,Dragoneer Growth Opportunities,10.0,11.07,0.107,2020-11-14,0
DMYD,2020-08-14,dMY Technology Group II,10.0,16.79,0.679,2020-11-14,0
DCT,2020-08-14,Duck Creek Technologies,27.0,46.64,0.7274,2020-11-14,0
NTST,2020-08-13,NetSTREIT,18.0,18.47,0.0261,2020-11-13,18.3
BEKE,2020-08-13,KE Holdings,20.0,67.0,2.35,2020-11-13,72.53
RBAC,2020-08-13,Redball Acquisition,10.0,10.2,0.02,2020-11-13,10.22
FAII,2020-08-12,Fortress Value Acquisition II,10.0,10.04,0.004,2020-11-12,9.91
KBNT,2020-08-12,Kubient,5.0,7.9,0.58,2020-11-12,2.96
FSDC,2020-08-12,FS Development,10.0,12.66,0.266,2020-11-12,10.025
VMAC,2020-08-07,Vistas Media Acquisition,10.0,9.97,-0.003,2020-11-07,0
ARYA,2020-08-07,Arya Sciences Acquisition III,10.0,13.74,0.374,2020-11-07,0
CMPI,2020-08-07,Checkmate Pharmaceuticals,15.0,14.98,-0.0013,2020-11-07,0
FRLN,2020-08-07,Freeline Therapeutics,18.0,13.39,-0.2561,2020-11-07,0
IBEX,2020-08-07,IBEX Holdings,19.0,21.29,0.1205,2020-11-07,0
KSMT,2020-08-06,Kismet Acquisition One,10.0,9.9,-0.01,2020-11-06,9.74
GRSV,2020-08-06,Gores Holdings V,10.0,10.07,0.006999999999999999,2020-11-06,9.8
AFIB,2020-08-06,Acutus Medical,18.0,19.06,0.0589,2020-11-06,23.03
RKT,2020-08-06,Rocket Companies,18.0,24.5,0.3611,2020-11-06,21.31
OSH,2020-08-06,Oak Street Health,21.0,57.35,1.7309999999999999,2020-11-06,52.04
RXT,2020-08-05,Rackspace Technology,21.0,23.64,0.1257,2020-11-05,17.08
BOWX,2020-08-05,BowX Acquisition,10.0,9.95,-0.005,2020-11-05,9.8
BIGC,2020-08-05,BigCommerce,24.0,55.71,1.3213,2020-11-05,85.34
HOL,2020-08-05,Holicity,10.0,13.1,0.31,2020-11-05,9.75
GOAC,2020-08-05,GO Acquisition,10.0,10.0,0.0,2020-11-05,9.7
YAC,2020-08-04,Yucaipa Acquisition,10.0,9.96,-0.004,2020-11-04,9.65
HSAQ,2020-08-04,Health Sciences Acquisitions 2,10.0,10.98,0.098,2020-11-04,10.61
VITL,2020-07-31,Vital Farms,22.0,28.68,0.3036,2020-10-31,0
FTHM,2020-07-31,Fathom Holdings,10.0,42.94,3.2939999999999996,2020-10-31,0
ETAC,2020-07-31,E.merge Technology Acquisition,10.0,9.93,-0.006999999999999999,2020-10-31,0
NHIC,2020-07-31,NewHold Investment Corp.,10.0,10.5,0.05,2020-10-31,0
VSTA,2020-07-31,Vasta Platform,19.0,12.08,-0.3642,2020-10-31,0
PRPB,2020-07-31,CC Neuberger Principal Holdings II,10.0,10.15,0.015,2020-10-31,0
GOED,2020-07-31,1847 Goedeker,9.0,10.61,0.1789,2020-10-31,0
CCIV,2020-07-30,Churchill Capital Corp. IV,10.0,29.5,1.95,2020-10-30,9.63
LI,2020-07-30,Li Auto,11.5,25.43,1.2113,2020-10-30,20.17
ALVR,2020-07-30,AlloVir,17.0,27.78,0.6341,2020-10-30,26.43
VERX,2020-07-29,Vertex,19.0,25.67,0.3511,2020-10-29,24.46
ACEV,2020-07-28,ACE Convergence Acquisition,10.0,10.49,0.049,2020-10-28,9.65
ITOS,2020-07-24,iTeos Therapeutics,19.0,34.95,0.8395,2020-10-24,0
INZY,2020-07-24,Inozyme Pharma,16.0,22.14,0.3838,2020-10-24,0
ACND,2020-07-24,Ascendant Digital Acquisition,10.0,9.93,-0.006999999999999999,2020-10-24,0
ANNX,2020-07-24,Annexon Biosciences,17.0,31.54,0.8553,2020-10-24,0
GRCY,2020-07-24,Greencity Acquisition,10.0,10.06,0.006,2020-10-24,0
NRIX,2020-07-24,Nurix Therapeutics,19.0,45.96,1.4189,2020-10-24,0
EDTK,2020-07-23,Skillful Craftsman,5.0,3.6,-0.28,2020-10-23,3.31
ERES,2020-07-23,East Resources Acquisition,10.0,9.99,-0.001,2020-10-23,9.71
MEG,2020-07-23,Montrose Environmental Group,15.0,49.78,2.3187,2020-10-23,27.67
PSAC,2020-07-22,Property Solutions Acquisition,10.0,13.14,0.314,2020-10-22,9.72
PSTH,2020-07-22,Pershing Square Tontine Holdings,20.0,27.23,0.3615,2020-10-22,23.44
JAMF,2020-07-22,Jamf Holding,26.0,38.55,0.4827,2020-10-22,33.07
ALXO,2020-07-17,ALX Oncology Holdings,19.0,80.76,3.2505,2020-10-17,0
RNLX,2020-07-17,Renalytix AI,13.5,29.82,1.2089,2020-10-17,0
DFHT,2020-07-17,Deerfield Healthcare Technology Acquisitions,10.0,14.19,0.419,2020-10-17,0
BLI,2020-07-17,Berkeley Lights,22.0,54.87,1.4941,2020-10-17,0
PAND,2020-07-17,Pandion Therapeutics,18.0,59.95,2.3306,2020-10-17,0
TIG,2020-07-16,Trean Insurance Group,15.0,16.96,0.1307,2020-10-16,13.7
RLAY,2020-07-16,Relay Therapeutics,20.0,40.26,1.013,2020-10-16,40.57
GOCO,2020-07-15,GoHealth,21.0,11.65,-0.4452,2020-10-15,12.25
MLAC,2020-07-15,Malacca Straits Acquisition,10.0,9.94,-0.006,2020-10-15,9.745
DEH,2020-07-15,D8 Holdings,10.0,9.96,-0.004,2020-10-15,9.69
HPX,2020-07-15,HPX Corp.,10.0,10.0,0.0,2020-10-15,9.67
AACQ,2020-07-14,Artius Acquisition,10.0,10.35,0.035,2020-10-14,9.8
NCNO,2020-07-14,"nCino, Inc.",31.0,70.61,1.2777,2020-10-14,76.49
PTK,2020-07-13,PTK Acquisition,10.0,9.98,-0.002,2020-10-13,9.764
PSTX,2020-07-10,Poseida Therapeutics,16.0,11.4,-0.2875,2020-10-10,0
NKTX,2020-07-10,Nkarta,18.0,45.13,1.5072,2020-10-10,0
QH,2020-07-10,Quhuo,10.0,6.55,-0.345,2020-10-10,0
IVA,2020-07-10,Inventiva,14.4,13.8,-0.0417,2020-10-10,0
BLCT,2020-07-08,BlueCity Holdings,16.0,12.55,-0.2156,2020-10-08,9.79
TXAC,2020-07-08,Therapeutics Acquisition,10.0,12.96,0.29600000000000004,2020-10-08,14.25
RACA,2020-07-08,Therapeutics Acquisition,10.0,12.0,0.2,2020-10-08,14.25
LMND,2020-07-02,Lemonade,29.0,104.77,2.6128,2020-10-02,51.58
CPSR,2020-07-02,Capstar Special Purpose Acquisition,10.0,9.86,-0.013999999999999999,2020-10-02,9.855
ACCD,2020-07-02,Accolade,22.0,47.24,1.1473,2020-10-02,38.74
PANA,2020-07-01,Panacea Acquisition,10.0,10.42,0.042,2020-10-01,11.125
DNB,2020-07-01,Dun & Bradstreet,22.0,24.49,0.1132,2020-10-01,25.39
GSAH,2020-06-30,GS Acquisition Holdings II,10.0,11.28,0.128,2020-09-30,10.76
ADTX,2020-06-30,Aditx Therapeutics,9.0,3.46,-0.6156,2020-09-30,1.95
API,2020-06-26,Agora,20.0,59.63,1.9815,2020-09-26,0
ACI,2020-06-26,Albertsons Companies,16.0,18.72,0.17,2020-09-26,0
FUSE,2020-06-26,Fusion Acquisition,10.0,10.39,0.039,2020-09-26,0
KCAC,2020-06-26,Kensington Capital Acquisition,10.0,23.5,1.35,2020-09-26,0
PYPD,2020-06-26,PolyPid,16.0,10.48,-0.345,2020-09-26,0
EBON,2020-06-26,Ebang International,5.23,11.78,1.2524,2020-09-26,0
FUSN,2020-06-26,Fusion Pharmaceuticals,17.0,11.51,-0.3229,2020-09-26,0
AKUS,2020-06-26,Akouos,17.0,20.76,0.2212,2020-09-26,0
BRLI,2020-06-24,Brilliant Acquisition,10.0,9.93,-0.006999999999999999,2020-09-24,9.76
GTH,2020-06-19,Genetron Holdings,16.0,23.64,0.4775,2020-09-19,0
NUZE,2020-06-19,"NuZee, Inc.",9.0,5.5,-0.3889,2020-09-19,0
RPTX,2020-06-19,Repare Therapeutics,20.0,29.25,0.4625,2020-09-19,0
PROG,2020-06-19,Progenity,15.0,4.98,-0.6679999999999999,2020-09-19,0
FMTX,2020-06-19,Forma Therapeutics,20.0,35.49,0.7745,2020-09-19,0
TREB,2020-06-17,Trebia Acquisition,10.0,10.54,0.054000000000000006,2020-09-17,10.3
RPRX,2020-06-16,Royalty Pharma,28.0,48.62,0.7364,2020-09-16,40.61
BNR,2020-06-12,Burning Rock Biotech,16.5,25.06,0.5188,2020-09-12,0
AZEK,2020-06-12,AZEK Company,23.0,44.4,0.9304,2020-09-12,0
PCVX,2020-06-12,Vaxcyte,16.0,27.25,0.7031,2020-09-12,0
RNA,2020-06-12,Avidity Biosciences,18.0,26.52,0.4733,2020-09-12,0
GBIO,2020-06-12,Generation Bio,19.0,34.4,0.8105,2020-09-12,0
LTRN,2020-06-11,Lantern Pharma,15.0,21.92,0.4613,2020-09-11,19.24
UCL,2020-06-10,uCloudlink Group,18.0,10.59,-0.4117,2020-09-10,13.5829
HEC,2020-06-09,Hudson Executive Investment Corp.,10.0,10.13,0.013000000000000001,2020-09-09,9.8
VRM,2020-06-09,Vroom,22.0,37.23,0.6923,2020-09-09,57.2
LEGN,2020-06-05,Legend Biotech,23.0,28.31,0.2309,2020-09-05,0
MCAC,2020-06-05,Mountain Crest Acquisition,10.0,13.34,0.33399999999999996,2020-09-05,0
AMTI,2020-06-05,Applied Molecular Transport,14.0,67.66,3.8329,2020-09-05,0
CALT,2020-06-05,Calliditas Therapeutics,19.5,29.82,0.5292,2020-09-05,0
FOUR,2020-06-05,Shift4 Payments,23.0,89.25,2.8804,2020-09-05,0
ARYB,2020-06-05,ARYA Sciences Acquisition II,10.0,10.1,0.01,2020-09-05,0
DADA,2020-06-05,Dada Nexus,16.0,31.14,0.9463,2020-09-05,0
ZI,2020-06-04,ZoomInfo Technologies,21.0,48.53,1.311,2020-09-04,32.61
WMG,2020-06-03,Warner Music Group,25.0,34.55,0.382,2020-09-03,28.6
PLRX,2020-06-03,Pliant Therapeutics,16.0,40.0,1.5,2020-09-03,24.31
WPF,2020-05-27,Foley Trasimene Acquisition,10.0,10.29,0.028999999999999998,2020-08-27,10.18
NARI,2020-05-22,Inari Medical,19.0,108.34,4.7021,2020-08-22,0
LGVW,2020-05-21,Longview Acquisition,10.0,23.05,1.305,2020-08-21,9.8
SLQT,2020-05-21,SelectQuote,20.0,29.39,0.4695,2020-08-21,19.78
BMRG,2020-05-20,B. Riley Principal Merger II,10.0,10.68,0.068,2020-08-20,10.09
NOVS,2020-05-15,Novus Capital,10.0,24.95,1.495,2020-08-15,0
ADCT,2020-05-15,ADC Therapeutics SA,19.0,29.4,0.5474,2020-08-15,0
GIK,2020-05-14,GigCapital3,10.0,12.02,0.20199999999999999,2020-08-14,9.93
JWS,2020-05-14,Jaws Acquisition,10.0,13.13,0.313,2020-08-14,10.18
CLEU,2020-05-08,China Liberal Education Holdings,6.0,4.06,-0.3233,2020-08-08,0
KC,2020-05-08,Kingsoft Cloud Holdings,17.0,47.43,1.79,2020-08-08,0
AYLA,2020-05-08,Ayala Pharmaceuticals,15.0,13.6,-0.0933,2020-08-08,0
LOAK,2020-05-06,Live Oak Acquisition,10.0,24.2,1.42,2020-08-06,9.98
SOAC,2020-05-06,Sustainable Opportunities Acquisition,10.0,10.18,0.018000000000000002,2020-08-06,9.95
GAN,2020-05-05,GAN Limited,8.5,28.29,2.3282,2020-08-05,20.3
ROCH,2020-05-05,Roth CH Acquisition I,10.0,28.9,1.89,2020-08-05,9.88
CGRO,2020-05-01,Collective Growth,10.0,11.3,0.13,2020-08-01,0
LYRA,2020-05-01,Lyra Therapeutics,16.0,14.02,-0.1238,2020-08-01,0
FVAC,2020-04-30,Fortress Value Acquisition,10.0,14.39,0.439,2020-07-30,12.12
IPOB,2020-04-28,Social Capital Hedosophia II,10.0,29.5,1.95,2020-07-28,11.87
ORIC,2020-04-24,Oric Pharmaceuticals,16.0,28.81,0.8006,2020-07-24,22.1
PCPL,2020-04-24,CC Neuberger Principal Holdings I,10.0,10.98,0.098,2020-07-24,10.55
CHAQ,2020-04-24,Chardan Healthcare Acquisition 2,10.0,10.02,0.002,2020-07-24,10.1843
IPOC,2020-04-22,Social Capital Hedosophia III,10.0,16.02,0.602,2020-07-22,0
KROS,2020-04-08,Keros Therapeutics,16.0,59.75,2.7344,2020-07-08,34.4
ZNTL,2020-04-03,Zentalis Pharmaceuticals,18.0,46.15,1.5639,2020-07-03,0
WIMI,2020-04-01,WiMi Hologram Cloud,5.5,8.96,0.6291,2020-07-01,3.44
IMRA,2020-03-12,IMARA Inc.,16.0,10.4,-0.35,2020-06-12,45.75
DFPH,2020-03-11,DFP Healthcare Acquisitions,10.0,10.05,0.005,2020-06-11,9.76
LSAC,2020-03-06,LifeSci Acquisition,10.0,19.0,0.9,2020-06-06,0
FEAC,2020-03-06,Flying Eagle Acquisition,10.0,17.68,0.768,2020-06-06,0
GFL,2020-03-03,GFL Environmental,19.0,33.07,0.7405,2020-06-03,19.13
PASG,2020-02-28,Passage Bio,18.0,20.65,0.1472,2020-05-28,23.0
ZCMD,2020-02-24,Zhongchao,4.0,2.66,-0.335,2020-05-24,0
DMYT,2020-02-21,dMY Technology Group,10.0,22.76,1.276,2020-05-21,9.75
ESSC,2020-02-20,East Stone Acquisition,10.0,9.98,-0.002,2020-05-20,9.72
CCXX,2020-02-14,Churchill Capital III,10.0,9.84,-0.016,2020-05-14,10.09
NBAC,2020-02-14,Newborn Acquisition,10.0,15.66,0.5660000000000001,2020-05-14,9.84
MEDS,2020-02-13,Trxade Group,6.5,6.49,-0.0015,2020-05-13,5.97
ZGYH,2020-02-13,Yunhong International,10.0,9.99,-0.001,2020-05-13,9.74
RVMD,2020-02-13,Revolution Medicines,17.0,49.54,1.9141,2020-05-13,34.39
GRIL,2020-02-13,Muscle Maker,5.0,2.4,-0.52,2020-05-13,1.8332
HUIZ,2020-02-12,Huize Holding,10.5,10.56,0.0057,2020-05-12,6.9
CCAC,2020-02-11,CITIC Capital Acquisition,10.0,10.44,0.044000000000000004,2020-05-11,9.75
GNRS,2020-02-11,Greenrose Acquisition,10.0,9.95,-0.005,2020-05-11,0
PFHD,2020-02-07,Professional Holding,18.5,17.11,-0.0751,2020-05-07,15.28
ONEW,2020-02-07,OneWater Marine,12.0,42.48,2.54,2020-05-07,12.3
NREF,2020-02-07,NexPoint Real Estate Finance,19.0,18.74,-0.0137,2020-05-07,12.0
SDGR,2020-02-06,Schrodinger,17.0,81.25,3.7794,2020-05-06,47.89
BEAM,2020-02-06,Beam Therapeutics,17.0,97.8,4.7529,2020-05-06,16.08
CSPR,2020-02-06,Casper Sleep,12.0,8.25,-0.3125,2020-05-06,6.33
PPD,2020-02-06,"PPD, Inc.",27.0,38.06,0.4096,2020-05-06,24.43
ONEM,2020-01-31,1Life Healthcare,14.0,42.17,2.0121,2020-04-30,24.67
REYN,2020-01-31,Reynolds Consumer Products,26.0,30.01,0.1542,2020-04-30,32.43
ARQT,2020-01-31,Arcutis Biotherapeutics,17.0,32.34,0.9024,2020-04-30,29.72
ANPC,2020-01-30,AnPac Bio-Medical Science,12.0,7.15,-0.4042,2020-04-30,7.5
BDTX,2020-01-30,Black Diamond Therapeutics,19.0,25.85,0.3605,2020-04-30,37.04
ANVS,2020-01-29,Annovis Bio,6.0,38.44,5.4067,2020-04-29,3.66
SCVX,2020-01-24,SCVX Corp.,10.0,9.95,-0.005,2020-04-24,9.8
GHIV,2020-01-24,Gores Holdings IV,10.0,11.54,0.154,2020-04-24,9.77
VEL,2020-01-17,Velocity Financial,13.0,9.01,-0.3069,2020-04-17,3.1
IMAB,2020-01-17,I-Mab,14.0,56.69,3.0493,2020-04-17,13.8
LIZI,2020-01-17,Lizhi Inc.,11.0,12.35,0.1227,2020-04-17,4.8
DNK,2020-01-17,Phoenix Tree Holdings,13.5,2.37,-0.8247,2020-04-17,7.16
MKD,2019-12-30,Molecular Data,5.38,1.25,-0.7677,2020-03-30,1.9772
MNPR,2019-12-19,Monopar Therapeutics,8.0,7.05,-0.1188,2020-03-19,7.0
INDO,2019-12-19,Indonesia Energy,11.0,7.01,-0.3627,2020-03-19,2.0
CIIC,2019-12-13,CIIG Merger,10.0,24.35,1.435,2020-03-13,9.75
HCCO,2019-12-13,Healthcare Merger Corp,10.0,8.97,-0.10300000000000001,2020-03-13,9.94
SPT,2019-12-13,Sprout Social,17.0,61.0,2.5882,2020-03-13,15.33
OCFT,2019-12-13,OneConnect Financial Technology,10.0,15.78,0.578,2020-03-13,11.73
BILL,2019-12-12,Bill.com,22.0,146.34,5.6518,2020-03-12,40.12
EH,2019-12-12,EHang Holdings,12.5,46.31,2.7048,2020-03-12,10.84
XP,2019-12-11,XP Inc.,27.0,39.64,0.4681,2020-03-11,23.24
LIVK,2019-12-11,LIV Capital Acquisition,10.0,9.98,-0.002,2020-03-11,9.92
LMPX,2019-12-05,LMP Automotive Holdings,5.0,19.78,2.9560000000000004,2020-03-05,10.12
ALUS,2019-11-26,Alussa Energy Acquisition,10.0,10.34,0.034,2020-02-26,9.91
CHPM,2019-11-22,CHP Merger,10.0,10.0,0.0,2020-02-22,0
PINE,2019-11-22,Alpine Income Property Trust,19.0,17.27,-0.0911,2020-02-22,0
PTAC,2019-11-22,PropTech Acquisition,10.0,14.81,0.48100000000000004,2020-02-22,0
SITM,2019-11-21,SiTime,13.0,102.9,6.9154,2020-02-21,30.43
CAN,2019-11-21,Canaan,9.0,27.62,2.0689,2020-02-21,5.86
SAQN,2019-11-20,Software Acquisition Group,10.0,10.1,0.01,2020-02-20,9.96
AMHC,2019-11-20,Amplitude Healthcare Acquisition,10.0,9.9,-0.01,2020-02-20,9.9324
GRNV,2019-11-19,Greenvision Acquisition,10.0,10.16,0.016,2020-02-19,10.01
YAYO,2019-11-13,Rideshare Rental,4.0,3.7,-0.0763,2020-02-13,0.3452
ETNB,2019-11-11,89bio,16.0,25.09,0.5681,2020-02-11,28.6
SRAC,2019-11-08,Stable Road Acquisition,10.0,15.08,0.508,2020-02-08,0
KRKR,2019-11-08,36Kr Holdings,14.5,3.95,-0.7276,2020-02-08,0
JIH,2019-11-08,Juniper Industrial Holdings,10.0,12.25,0.225,2020-02-08,0
TELA,2019-11-08,TELA Bio,13.0,15.74,0.2108,2020-02-08,0
CNSP,2019-11-08,CNS Pharmaceuticals,4.0,2.7,-0.325,2020-02-08,0
MOHO,2019-11-08,ECMOHO Limited,10.0,2.46,-0.754,2020-02-08,0
CNTG,2019-11-07,Centogene,14.0,13.0,-0.0714,2020-02-07,10.13
DFNS,2019-11-07,LGL Systems Acquisition,10.0,9.98,-0.002,2020-02-07,0
GRTX,2019-11-07,Galera Therapeutics,12.0,11.67,-0.0275,2020-02-07,13.53
SI,2019-11-07,Silvergate Capital,12.0,160.36,12.36,2020-02-07,16.25
MCMJ,2019-11-05,Merida Merger Corp. I,10.0,10.0,0.0,2020-02-05,0
QK,2019-11-05,Q&K International Group,17.0,3.07,-0.8194,2020-02-05,12.49
DUO,2019-11-01,Fangdd Network Group,13.0,7.37,-0.4331,2020-02-01,0
FSRV,2019-11-01,Finserv Acquisition,10.0,13.8,0.38,2020-02-01,0
SFTW,2019-11-01,Osprey Technology Acquisition,10.0,10.54,0.054000000000000006,2020-02-01,0
RAPT,2019-10-31,Rapt Therapeutics,12.0,23.46,0.955,2020-01-31,44.29
OYST,2019-10-31,Oyster Point Pharma,16.0,22.43,0.4019,2020-01-31,31.5
PHAT,2019-10-25,Phathom Pharmaceuticals,19.0,43.46,1.2874,2020-01-25,0
PGNY,2019-10-25,Progyny,13.0,47.13,2.6254,2020-01-25,0
TFFP,2019-10-25,TFF Pharmaceuticals,5.0,15.83,2.166,2020-01-25,0
DAO,2019-10-25,Youdao,17.0,33.29,0.9582,2020-01-25,0
AIH,2019-10-25,Aesthetic Medical International,12.0,7.7,-0.3583,2020-01-25,0
CABA,2019-10-25,Cabaletta Bio,11.0,11.31,0.0282,2020-01-25,0
HAPP,2019-10-25,Happiness Biotech Group,5.5,2.13,-0.6127,2020-01-25,0
BRP,2019-10-24,BRP Group,14.0,27.18,0.9414,2020-01-24,16.25
GLEO,2019-10-18,Galileo Acquisition,10.0,9.99,-0.001,2020-01-18,0
LATN,2019-10-18,Union Acquisition Corp. II,10.0,10.01,0.001,2020-01-18,0
IPHA,2019-10-17,Innate Pharma,5.5,4.5,-0.1818,2020-01-17,7.605
BRBR,2019-10-17,Bellring Brands,14.0,24.98,0.7843,2020-01-17,22.56
VIR,2019-10-11,Vir Biotechnology,20.0,53.67,1.6835,2020-01-11,0
HBT,2019-10-11,HBT Financial,16.0,17.83,0.1144,2020-01-11,0
BNTX,2019-10-10,BioNTech SE,15.0,107.59,6.1727,2020-01-10,39.68
VIE,2019-10-03,Viela Bio,19.0,53.01,1.79,2020-01-03,25.71
MCBS,2019-10-03,MetroCity Bankshares,13.5,16.16,0.19699999999999998,2020-01-03,17.73
FREQ,2019-10-03,Frequency Therapeutics,14.0,34.25,1.4464,2020-01-03,16.67
APRE,2019-10-03,Aprea Therapeutics,15.0,5.7,-0.62,2020-01-03,41.0
PTON,2019-09-26,Peloton Interactive,29.0,108.31,2.7348,2019-12-26,27.0
OPRT,2019-09-26,Oportun Financial,15.0,21.1,0.4067,2019-12-26,24.75
PING,2019-09-19,Ping Identity,15.0,23.11,0.5407,2019-12-19,23.32
DDOG,2019-09-19,Datadog,27.0,84.03,2.1122,2019-12-19,38.1
XGN,2019-09-19,Exagen,14.0,20.0,0.4286,2019-12-19,21.64
IGMS,2019-09-18,IGM Biosciences,16.0,91.1,4.6938,2019-12-18,34.39
NVST,2019-09-18,Envista Holdings,22.0,41.44,0.8836,2019-12-18,28.67
APXT,2019-09-17,Apex Technology Acquisition,10.0,12.42,0.242,2019-12-17,10.43
SWTX,2019-09-13,Springworks Therapeutics,18.0,68.2,2.7889,2019-12-13,28.9
NET,2019-09-13,Cloudflare,15.0,71.69,3.7793,2019-12-13,17.95
STSA,2019-09-13,Satsuma Pharmaceuticals,15.0,6.25,-0.5833,2019-12-13,13.93
EXPC,2019-09-13,Experience Investment,10.0,11.92,0.192,2019-12-13,9.82
ALRS,2019-09-13,Alerus Financial,21.0,34.25,0.631,2019-12-13,22.83
TXG,2019-09-12,10X Genomics,39.0,177.76,3.5579,2019-12-12,61.54
SDC,2019-09-12,SmileDirectClub,23.0,11.15,-0.5152,2019-12-12,7.8
NPA,2019-09-11,New Providence Acquisition,10.0,12.48,0.248,2019-12-11,9.83
JFU,2019-08-15,9F Inc.,9.5,2.09,-0.78,2019-11-15,11.02
CFB,2019-08-15,CrossFirst Bankshares,14.5,14.47,-0.0021,2019-11-15,13.15
PLIN,2019-08-14,China Xiangtai Food,5.0,1.13,-0.774,2019-11-14,4.11
THBR,2019-08-09,Thunder Bridge Acquisition II,10.0,10.48,0.048,2019-11-09,0
SSPK,2019-08-08,Silver Spike Acquisition,10.0,19.64,0.9640000000000001,2019-11-08,9.86
INMD,2019-08-08,InMode,14.0,71.06,4.0757,2019-11-08,40.44
HKIB,2019-08-05,AMTD International,8.38,7.06,-0.1575,2019-11-05,8.3
ORSN,2019-08-02,Orisun Acquisition,10.0,8.17,-0.183,2019-11-02,0
KRUS,2019-08-01,Kura Sushi USA,14.0,36.25,1.5893,2019-11-01,18.58
SNDL,2019-08-01,Sundial Growers,13.0,1.49,-0.8854,2019-11-01,3.19
DT,2019-08-01,Dynatrace,16.0,50.9,2.1813,2019-11-01,21.15
NFIN,2019-07-31,Netfin Acquisition,10.0,11.4,0.14,2019-10-31,9.85
BORR,2019-07-31,Borr Drilling,9.3,1.14,-0.8774,2019-10-31,6.55
VIST,2019-07-26,Vista Oil & Gas,9.0,2.83,-0.6856,2019-10-26,0
CCX,2019-07-26,Churchill Capital Corp II,10.0,10.03,0.003,2019-10-26,0
BHAT,2019-07-26,Blue Hat Interactive,4.0,1.52,-0.62,2019-10-26,0
SBE,2019-07-26,Switchback Energy Acquisition,10.0,30.83,2.083,2019-10-26,0
WSG,2019-07-26,Wanda Sports Group,8.0,2.5,-0.6881,2019-10-26,0
HCAT,2019-07-25,Health Catalyst,26.0,46.96,0.8062,2019-10-25,29.77
NOVA,2019-07-25,Sunnova Energy,12.0,35.53,1.9608,2019-10-25,10.81
LVGO,2019-07-25,Livongo Health,28.0,139.77,3.9918,2019-10-25,21.17
CSTL,2019-07-25,Castle Biosciences,16.0,66.53,3.1581,2019-10-25,18.11
PROS,2019-07-25,ProSight Global,14.0,12.6,-0.1,2019-10-25,15.6
EIC,2019-07-24,Eagle Point Income,19.0,15.35,-0.1921,2019-10-24,19.08
MDLA,2019-07-19,Medallia,21.0,28.32,0.3486,2019-10-19,0
IFS,2019-07-19,Intercorp Financial Services,46.0,29.44,-0.36,2019-10-19,0
AFYA,2019-07-19,Afya,19.0,20.64,0.0863,2019-10-19,0
PHR,2019-07-18,Phreesia,17.0,55.18,2.2459,2019-10-18,28.03
MIRM,2019-07-18,Mirum Pharmaceuticals,15.0,19.64,0.3093,2019-10-18,7.97
CPAA,2019-07-18,Conyers Park II Acquisition,10.0,8.86,-0.114,2019-10-18,10.1
ORCC,2019-07-18,Owl Rock Capital,15.3,14.24,-0.0693,2019-10-18,16.96
AMK,2019-07-18,AssetMark Financial,22.0,23.13,0.0514,2019-10-18,27.16
OAC,2019-07-18,Oaktree Acquisition,10.0,16.38,0.638,2019-10-18,9.85
FULC,2019-07-18,Fulcrum Therapeutics,16.0,11.36,-0.29,2019-10-18,4.57
IHRT,2019-07-18,iHeartMedia,17.0,18.09,0.0641,2019-10-18,14.5
DOYU,2019-07-17,DouYu,11.5,13.17,0.1452,2019-10-17,7.37
SCPE,2019-07-12,SC Health,10.0,10.11,0.011000000000000001,2019-10-12,0
PIC,2019-07-12,Pivotal Investment II,10.0,19.54,0.9540000000000001,2019-10-12,0
THCA,2019-07-12,Tuscan Holdings Corp. II,10.0,10.12,0.012,2019-10-12,0
RMBI,2019-07-02,Richmond Mutual Bancorporation,10.0,14.35,0.435,2019-10-02,13.77
KRTX,2019-06-28,Karuna Therapeutics,16.0,116.69,6.2931,2019-09-28,0
REAL,2019-06-28,"RealReal, Inc",20.0,23.32,0.166,2019-09-28,0
MORF,2019-06-27,Morphic Holding,15.0,64.51,3.3007,2019-09-27,17.9
ADPT,2019-06-27,Adaptive Biotechnologies,20.0,41.89,1.0945,2019-09-27,30.31
CHNG,2019-06-27,Change Healthcare,13.0,22.75,0.75,2019-09-27,11.78
BBIO,2019-06-27,BridgeBio Pharma,17.0,67.66,2.98,2019-09-27,20.13
LINX,2019-06-26,Linx S.A.,9.4,6.7,-0.2872,2019-09-26,7.92
CMBM,2019-06-26,Cambium Networks,12.0,49.48,3.1233,2019-09-26,9.75
AKRO,2019-06-20,Akero Therapeutics,16.0,31.73,0.9831,2019-09-20,18.88
PSNL,2019-06-20,Personalis,17.0,25.01,0.4712,2019-09-20,16.41
GO,2019-06-20,Grocery Outlet,22.0,36.26,0.6482,2019-09-20,38.08
BCEL,2019-06-20,Atreca,17.0,15.99,-0.0594,2019-09-20,11.66
WORK,2019-06-20,Slack Technologies,26.0,40.8,0.5692,2019-09-20,25.37
PRVL,2019-06-20,Prevail Therapeutics,17.0,23.0,0.3529,2019-09-20,13.56
SMMC,2019-06-20,South Mountain Merger,10.0,16.8,0.68,2019-09-20,9.76
