SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
NET,2020-12-31,USD,-8813000,2158000,None,4608000,23583000,14358000,10413000,15290000,None,-34021000,-579000,6732000,None,44000,44000,None,None,None,None,None,None,None,7165000,None,-2660000,None,-34021000
NET,2020-09-30,USD,1973000,0,None,6355000,11296000,12916000,15357000,5438000,None,-26468000,-205153000,1156000,None,12000,12000,None,None,None,None,None,None,None,1377000,None,-202024000,None,-26468000
NET,2020-06-30,USD,3987000,0,None,9949000,3918000,11550000,19200000,4152000,None,-26135000,-300769000,501702000,None,31000,31000,None,None,None,None,None,None,None,7076000,None,-15335000,None,-26135000
NET,2020-03-31,USD,-14276000,34000,None,6359000,9580000,10563000,11405000,8120000,None,-32746000,-8772000,-4678000,None,70000,70000,None,None,None,None,None,None,None,2605000,None,-27726000,None,-32746000
NET,2019-12-31,USD,-8574000,213000,None,-972000,3867000,8556000,12308000,3289000,None,-28146000,-352659000,-1497000,None,128000,128000,None,None,None,None,None,None,None,31000,None,-362730000,None,-28155000
