,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,GP,2020-12-31,USD,-5814843,None,None,None,None,122881,192375,None,-3670256,None,-192375,-839285,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-2133106
1,GP,2020-09-30,USD,-2073354,None,None,None,None,117471,25233,None,471857,None,-25233,29791358,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1486160
2,GP,2020-06-30,USD,-2064160,None,None,None,None,114761,21953,None,421504,None,339547,1554226,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1429337
3,GP,2020-03-31,USD,-41972,None,None,None,None,116338,0,None,-2997574,None,145738,603465,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-2114027
4,GP,2019-12-31,USD,-1728948,None,None,None,None,157970,222272,None,2104012,None,-222272,1400423,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1056087
5,GP,2019-09-30,USD,606852,None,None,None,None,160661,48308,None,957383,None,-48308,41669,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-712368
