,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,TUFN,2020-12-31,USD,-1747000,None,None,None,None,455000,110000,None,None,None,-16240000,815000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-4402000
1,TUFN,2020-09-30,USD,-4480000,None,None,None,None,374000,362000,None,None,None,-15906000,121000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-5147000
2,TUFN,2020-06-30,USD,-11672000,None,None,None,None,362000,580000,None,None,None,-11218000,94000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-8813000
3,TUFN,2020-03-31,USD,460000,None,None,None,None,332000,1018000,None,None,None,-1018000,-367000,None,None,None,None,None,None,None,None,None,None,711000,None,None,None,-17044000
4,TUFN,2019-12-31,USD,-6613000,None,None,None,None,324000,380000,None,None,None,-381000,2496000,None,None,None,None,None,None,None,None,None,None,118628000,None,None,None,-7175000
5,TUFN,2019-09-30,USD,-4543000,None,None,None,None,294000,584000,None,None,None,-735000,316000,None,None,None,None,None,None,None,None,None,None,116132000,None,None,None,-8282000
6,TUFN,2019-06-30,USD,-10370000,None,None,None,None,220000,740000,None,None,None,-751000,113168000,None,None,None,None,None,None,None,None,None,None,115493000,None,None,None,-8214000
7,TUFN,2019-03-31,USD,11905000,None,None,None,None,367000,844000,None,None,None,-854000,-219000,None,None,None,None,None,None,None,None,None,None,50000,None,None,None,-4448000
8,TUFN,2018-09-30,USD,-7669000,None,None,None,None,358000,258000,None,None,None,-262000,-129000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3278000
9,TUFN,2018-06-30,USD,-10132000,None,None,None,None,140000,472000,None,None,None,-468000,-128000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3059000
10,TUFN,2018-03-31,USD,15843000,None,None,None,None,132000,157000,None,None,None,-154000,-86000,None,None,None,None,None,None,None,None,None,None,81000,None,None,None,-726000
