,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,INTZ,2020-12-31,USD,-2810000,205000,None,-350000,280000,67000,167000,203000,None,-3924000,-167000,18176000,None,None,None,None,0,None,None,None,None,None,18187000,None,15199000,None,-3928000
1,INTZ,2020-09-30,USD,-1341000,-2000,None,-259000,243000,57000,91000,-37000,None,-1416000,-91000,65000,None,None,None,None,32000,-32000,None,None,None,None,108000,None,-1367000,None,-1409000
2,INTZ,2020-06-30,USD,-884000,91000,None,32000,252000,55000,22000,35000,None,-713000,-22000,561000,None,None,None,None,-67000,-67000,None,None,None,None,10000,None,-345000,None,-715000
3,INTZ,2020-03-31,USD,-142000,88000,None,-96000,-517000,52000,40000,-534000,None,-464000,-40000,65000,None,None,None,None,None,None,None,None,None,None,75000,None,-117000,None,-465000
4,INTZ,2019-12-31,USD,1355000,540000,None,486000,-721000,48000,77000,-1138000,None,251000,-77000,-55000,None,None,None,None,-47000,-47000,None,None,None,None,3000,None,1223000,None,296000
5,INTZ,2019-09-30,USD,678000,183000,None,-916000,-190000,50000,15000,-1000,None,1464000,-15000,-29000,None,None,None,None,-23000,-23000,None,None,None,None,10000,None,634000,None,1464000
6,INTZ,2019-06-30,USD,1470000,None,None,241000,1828000,47000,72000,1213000,None,1767000,-72000,-872000,None,None,None,None,-47000,-47000,None,None,None,None,6000,None,526000,None,1758000
7,INTZ,2019-03-31,USD,787000,None,None,-307000,-381000,39000,96000,-475000,None,982000,-96000,-1392000,None,None,None,None,-597000,-597000,None,None,None,None,220000,None,-701000,None,947000
8,INTZ,2018-12-31,USD,786000,None,None,230000,1582000,37000,29000,850000,0,706000,-29000,42000,None,None,None,None,-597000,-597000,None,None,None,None,57000,None,799000,None,850000
9,INTZ,2018-09-30,USD,552000,None,None,-10000,-111000,31000,98000,49000,0,660000,-98000,23000,None,None,None,None,-597000,-597000,None,None,None,None,40000,None,477000,None,617000
10,INTZ,2018-06-30,USD,1446000,None,None,114000,-175000,32000,38000,-176000,0,522000,-38000,-1165000,None,None,None,None,-597000,-597000,None,None,None,None,1000,None,243000,None,474000
11,INTZ,2018-03-31,USD,-206000,None,None,87000,359000,33000,37000,282000,-15000,399000,-37000,152000,None,None,None,None,None,None,None,None,None,None,70000,None,-91000,None,346000
12,INTZ,2017-12-31,USD,-2000,None,None,-129000,122000,47000,7000,83000,-15000,34000,-7000,-30000,None,None,None,None,None,None,None,None,None,None,0,None,-39000,None,191000
13,INTZ,2017-09-30,USD,-349000,None,None,-247000,321000,50000,4000,390000,15000,617000,52000,-195000,None,None,None,None,None,None,None,None,None,None,0,None,-825000,None,568000
14,INTZ,2017-06-30,USD,-380000,None,None,991000,-62000,54000,0,-34000,15000,-380000,0,-478000,None,None,None,None,None,None,None,None,None,None,0,None,-380000,None,-438000
15,INTZ,2017-03-31,USD,-791000,None,None,-313000,-180000,55000,9000,-222000,15000,-301000,-9000,555000,None,None,None,None,None,None,None,None,None,None,11000,None,-116000,None,-351000
16,INTZ,2016-12-31,USD,-1388000,None,None,-208000,186000,73000,6000,157000,7000,-443000,-6000,498000,None,None,None,None,None,None,None,None,None,None,1000,None,-1042000,None,-341000
17,INTZ,2016-09-30,USD,-1113000,None,None,-376000,13000,72000,14000,29000,1000,-244000,-14000,230000,None,None,None,None,None,None,None,None,None,None,0,None,-1253000,None,-280000
18,INTZ,2016-06-30,USD,-352000,None,None,829000,-222000,72000,27000,-184000,-8000,-352000,-27000,-413000,None,None,None,None,None,None,None,None,None,None,0,None,-352000,None,-387000
19,INTZ,2016-03-31,USD,-1561000,None,None,-176000,194000,74000,None,163000,None,-513000,None,938000,None,None,None,None,None,None,None,None,None,None,99000,None,-479000,None,-544000
