,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,LATN,2020-12-31,USD,-281837,None,None,-112579,-49250,None,None,None,None,-4231008,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-281837,None,-201872
1,LATN,2020-09-30,USD,-108601,None,None,33348,-82550,None,None,None,None,-5554455,0,0,None,None,None,None,None,None,None,None,None,None,None,None,-108601,None,-186174
2,LATN,2020-06-30,USD,-91717,None,None,43693,-25169,None,None,None,None,-77000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,-91717,None,-77423
3,LATN,2020-03-31,USD,-213664,None,None,None,None,None,None,None,None,-214140,0,-5150,None,None,None,None,None,None,None,None,None,None,6250000,None,-218814,None,420028
