,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,GHSI,2020-09-30,USD,-1819951,None,None,264239,-4729,-1067,0,-11331,49121,-2159846,6000,5933,None,None,None,None,None,None,None,None,None,None,5933,None,-1808018,None,-2143494
1,GHSI,2020-06-30,USD,-2285321,None,None,None,None,23505,0,None,475967,-709292,0,998640,None,None,None,None,None,None,None,None,None,None,None,None,-709292,None,-707160
2,GHSI,2020-03-31,USD,-1735410,None,None,726511,-484259,23114,40733,-47255,131195,-2325531,-40733,3550781,None,None,None,None,None,None,None,None,None,None,3550781,None,1774638,None,-2346913
3,GHSI,2019-12-31,USD,-1840954,None,None,-37436,175550,22406,7971,56410,-9414,-4118299,-7971,7409467,0,None,None,None,None,None,None,None,None,None,12353807,None,5560542,None,-4055755
4,GHSI,2019-09-30,USD,-1695354,None,None,-42460,89754,19026,104171,-13993,1669,-2439610,-104171,4985840,0,None,None,None,None,None,None,None,None,None,22500,None,3186315,None,-2385371
5,GHSI,2019-06-30,USD,-1907611,None,None,-298255,116846,15366,54119,20834,14867,-2576040,-54119,4156077,0,None,None,None,None,None,None,None,None,None,43625,None,2194347,None,-3048348
6,GHSI,2019-03-31,USD,-586085,None,None,404755,-63906,14444,4815,-13116,-54178,-977887,-4815,94250,100000,None,None,None,None,None,None,None,None,None,3976250,None,-496650,None,-1385099
7,GHSI,2018-12-31,USD,-885891,None,None,204785,-3041,0,31932,11193,-23270,-1476190,-31932,486981,0,None,None,None,None,None,None,None,None,0,865000,None,-430842,None,-1476190
8,GHSI,2018-09-30,USD,-863882,None,None,-178504,-31017,0,91238,-12833,-31090,-2148192,-91238,-9455,0,None,None,None,None,None,None,None,None,0,0,None,-964575,None,-2148193
9,GHSI,2018-06-30,USD,-1070528,None,None,6024,114289,75538,41962,-27583,229439,-1810083,-41962,-19494,0,None,None,None,None,None,None,None,None,0,0,None,-1131984,None,-1810083
10,GHSI,2018-03-31,USD,-1353530,None,None,139753,10357,54000,95111,-15345,28188,-2332626,-145111,-38240,-30535,None,None,None,None,None,None,None,None,0,1460,None,-1536881,None,-2333461
11,GHSI,2017-12-31,USD,-1488951,None,None,-186242,85280,None,12077,19162,-23302,-2216924,-12077,4966503,-1860,None,None,None,None,None,None,None,None,0,5000001,None,3465475,None,-2196107
12,GHSI,2017-09-30,USD,285025,None,None,4258,-1103,None,19703,1842,-23564,-1563566,-14808,1878451,0,None,None,None,None,None,None,None,None,2005000,2005000,None,972219,None,-1584383
13,GHSI,2017-06-30,USD,-855661,None,None,None,None,None,None,None,58280,-855661,-5500,435931,None,None,None,None,None,None,None,None,None,None,None,None,-147314,None,-855661
14,GHSI,2017-03-31,USD,-976971,None,None,48627,14634,None,None,240,6025,-669011,0,827906,100000,None,None,None,None,None,None,None,None,700000,700000,None,382330,None,-669011
