,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,WTRE,2020-12-31,USD,48106000,None,None,None,None,2000,10000,None,None,None,140169000,-179592000,None,None,None,None,-1038000,-1038000,None,None,None,None,0,None,None,None,62431000
1,WTRE,2020-09-30,USD,55251000,None,None,None,None,2000,1000,None,None,None,112219000,-83179000,None,None,None,None,-1038000,-1038000,None,None,None,None,0,None,None,None,79154000
2,WTRE,2020-06-30,USD,62768000,None,None,None,None,2000,0,None,None,None,52910000,-105236000,None,None,None,None,-1085000,-1085000,None,None,None,None,0,None,None,None,189937000
3,WTRE,2020-03-31,USD,24575000,None,None,None,None,1000,2000,None,None,None,-111627000,88184000,None,None,None,None,-1148000,-1148000,None,None,None,None,-2867000,None,None,None,-266608000
4,WTRE,2019-12-31,USD,62102000,None,None,None,None,2000,0,None,None,None,69074000,-112158000,None,None,None,None,-1186000,-1186000,None,None,None,None,-75056000,None,None,None,-15655000
5,WTRE,2019-09-30,USD,61295000,None,None,None,None,12000,0,None,None,None,-6659000,-42195000,None,None,None,None,-2584000,-2584000,None,None,None,None,-173081000,None,None,None,6924000
6,WTRE,2019-06-30,USD,45581000,None,None,None,None,34000,0,None,None,None,35144000,-99340000,None,None,None,None,-4816000,-4816000,None,None,None,None,None,None,None,None,18733000
7,WTRE,2019-03-31,USD,70306000,None,None,None,None,38000,0,None,None,None,-31877000,-45918000,None,None,None,None,-4816000,-4816000,None,None,None,None,None,None,None,None,52539000
8,WTRE,2018-12-31,USD,55027000,None,None,None,None,38000,0,None,None,None,-121041000,65851000,None,None,None,None,-4816000,-4816000,None,None,None,None,None,None,None,None,-90350000
9,WTRE,2018-09-30,USD,81852000,None,None,None,None,37000,10000,None,None,None,-67306000,4844000,None,None,None,None,-4816000,-4816000,None,None,None,None,None,None,None,None,23746000
10,WTRE,2018-06-30,USD,81852000,None,None,None,None,37000,10000,None,None,None,-67306000,4844000,None,None,None,None,-4816000,-4816000,None,None,None,None,None,None,None,None,14032000
11,WTRE,2018-03-31,USD,30235000,None,None,None,None,42000,7000,None,None,None,22923000,-54443000,None,None,None,None,-4816000,-4816000,None,None,None,None,None,None,None,None,17689000
