,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,BCOW,2020-09-30,USD,1666000,55270000,55947000,None,-1372000,165000,68000,101000,None,412000,4006000,4507000,None,None,793000,None,None,None,None,None,0,None,-793000,None,10179000,None,412000
1,BCOW,2020-06-30,USD,-3066000,None,None,None,None,162000,23000,-181000,None,194000,-14631000,44508000,None,None,None,None,None,None,None,None,None,None,-231000,None,212000,None,194000
2,BCOW,2020-03-31,USD,-1254000,28317000,27580000,None,-116000,167000,135000,99000,None,287000,10097000,21358000,None,None,None,None,None,None,None,None,38000000,None,None,None,30201000,None,287000
3,BCOW,2019-12-31,USD,3680000,47508000,50044000,None,-3366000,183000,-740000,200000,None,493000,11449000,-13778000,None,None,None,None,None,None,None,0,None,None,-1755000,None,1351000,None,493000
4,BCOW,2019-09-30,USD,333000,34920000,33637000,None,-36000,170000,1408000,98000,None,436000,16679000,-42816000,None,None,None,None,None,None,None,0,None,None,-1755000,None,-25804000,None,436000
5,BCOW,2019-06-30,USD,-1929000,16189000,12328000,None,2598000,170000,1408000,1000,None,-9000,21051000,-17645000,None,None,None,None,None,None,None,1755000,None,None,1755000,None,8000,None,-9000
6,BCOW,2019-03-31,USD,-1138000,18373000,16863000,None,438000,172000,1408000,100000,None,-471000,8872000,19026000,None,None,None,None,None,None,None,18274000,None,None,18274000,None,26760000,None,-471000
7,BCOW,2018-12-31,USD,-1234000,12865000,11961000,None,630000,506000,501000,834000,None,59000,2349000,-2148000,None,None,None,None,None,None,None,None,None,None,None,None,-1033000,None,59000
8,BCOW,2018-09-30,USD,1382000,None,None,None,None,246000,420000,None,None,245000,-352000,-69000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,245000
9,BCOW,2018-06-30,USD,1815000,None,None,None,None,253000,133000,None,None,-453000,-2142000,132000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-453000
10,BCOW,2018-03-31,USD,-2646000,None,None,None,None,273000,103000,None,None,130000,-16764000,15103000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,130000
11,BCOW,2017-12-31,USD,-991000,None,None,None,None,None,522000,None,1034000,-3553000,-5408000,2099000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3553000
