,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,PUYI,2020-06-30,USD,-19570000,None,None,None,None,None,0,None,None,None,-12084500,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,PUYI,2020-03-31,USD,-19570000,None,None,None,None,None,0,None,None,None,-12084500,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,PUYI,2019-12-31,USD,-24804500,None,None,None,None,None,0,None,None,None,-14456000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-11017500
3,PUYI,2019-09-30,USD,-24804500,None,None,None,None,None,0,None,None,None,-14456000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-11017500
4,PUYI,2019-06-30,USD,25891500,None,None,None,None,561000,2125500,None,None,None,5037500,76930000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3518000
5,PUYI,2019-03-31,USD,25891500,None,None,None,None,561000,2125500,None,None,None,5037500,76930000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3518000
6,PUYI,2018-12-31,USD,23128500,None,None,None,None,561000,2125500,None,None,None,26232000,701000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23247500
7,PUYI,2018-09-30,USD,23128500,None,None,None,None,561000,2125500,None,None,None,26232000,701000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23247500
8,PUYI,2018-06-30,USD,6786000,None,None,None,None,None,71000,None,None,None,1518000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9759000
9,PUYI,2017-12-31,USD,26422000,None,None,None,None,None,0,None,None,None,4486500,701000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17242500
10,PUYI,2017-09-30,USD,26422000,None,None,None,None,None,0,None,None,None,4486500,701000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17242500
11,PUYI,2017-06-30,USD,None,None,None,None,None,None,100000,None,None,None,3109000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5578000
