,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,PROG,2020-12-31,USD,-70057000,162000,None,1076000,1301000,3454000,1835000,-743000,1900000,-75528000,-1835000,103955000,None,None,None,None,None,None,None,26091000,84813000,None,26091000,None,32063000,None,-75528000
1,PROG,2020-09-30,USD,-51284000,1864000,None,2012000,-13249000,1372000,1482000,-16553000,210000,-47065000,-1482000,-834000,None,None,None,None,None,None,None,-593000,None,None,-593000,None,-53600000,None,-47065000
