,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,HOOK,2020-12-31,USD,-11301000,48000,None,4695000,3324000,2627000,505000,2333000,None,-12474000,-505000,75076000,None,None,None,None,None,None,None,42606000,None,None,75064000,None,63270000,None,-12475000
1,HOOK,2020-09-30,USD,-10365000,2000,None,-4111000,-1512000,636000,625000,-1728000,None,-13590000,-625000,-222000,None,None,None,None,None,None,None,16000,None,None,32000,None,-11212000,None,-13589000
2,HOOK,2020-06-30,USD,-10545000,45000,None,561000,1597000,478000,1042000,1679000,None,-7092000,-1042000,-150000,None,None,None,None,None,None,None,7000,None,None,14000,None,-4941000,None,-7092000
3,HOOK,2020-03-31,USD,-7128000,2000,None,5664000,1247000,409000,199000,1292000,None,-10926000,-199000,-1284000,None,None,None,None,None,None,None,8000,None,None,16000,None,-8611000,None,-10926000
4,HOOK,2019-12-31,USD,-8793000,32000,None,1606000,4831000,1203000,1046000,5118000,None,-10244000,-1046000,-883000,None,None,None,None,None,None,None,13000,None,None,29000,None,-10722000,None,-10244000
5,HOOK,2019-09-30,USD,-9485000,2116000,None,-494000,15000,370000,362000,393000,None,-11385000,-362000,-532000,None,None,None,None,None,None,None,-555000,None,None,-555000,None,-10379000,None,-11385000
6,HOOK,2019-06-30,USD,-17680000,None,None,None,None,839000,191000,None,None,-17680000,-191000,76009000,None,None,None,None,None,None,None,None,None,None,112572000,None,-17680000,None,-12079000
7,HOOK,2019-03-31,USD,-12890000,None,None,None,None,297000,400000,None,None,-12890000,-400000,35157000,None,None,None,None,None,None,None,None,None,None,37274000,None,22701000,-773000,-9329000
8,HOOK,2018-12-31,USD,-6376000,None,None,None,None,178000,250000,None,None,-1892000,-250000,6000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1892000
9,HOOK,2018-09-30,USD,-7167000,None,None,None,None,462000,280000,None,None,-3953000,-280000,-5000,None,None,None,None,None,None,None,None,None,None,6439000,None,None,None,-3953000
10,HOOK,2018-06-30,USD,3517000,None,None,None,None,151000,1358000,None,None,-5819000,-1358000,-7000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-5819000
11,HOOK,2018-03-31,USD,-4972000,None,None,None,None,140000,262000,None,None,-4573000,-262000,6879000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-4573000
