,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,PROS,2020-12-31,USD,-4320000,113806000,None,6429000,29610000,43937000,1849000,None,None,-3920000,-10539000,301000,1909000,None,None,None,None,None,None,None,-2338000,None,None,None,-14558000,None,-3920000
1,PROS,2020-09-30,USD,26763000,95879000,None,41191000,14956000,42019000,1530000,None,None,1518000,-86549000,34120000,10003000,None,None,None,None,None,None,None,None,None,None,None,-25666000,None,1518000
2,PROS,2020-06-30,USD,35091000,104897000,None,5867000,-15129000,42033000,1509000,None,None,17562000,-50710000,24997000,None,None,None,None,None,None,None,None,None,None,None,None,17283000,None,17562000
3,PROS,2020-03-31,USD,58856000,66320000,None,-2801000,-43143000,47669000,1125000,None,None,7068000,-32068000,-2312000,None,None,None,None,None,None,None,None,None,None,None,None,24476000,None,7068000
4,PROS,2019-12-31,USD,41235000,108014000,None,5964000,-13606000,45734000,1632000,None,None,8520000,-44586000,-1312000,None,None,None,None,None,None,None,-721000,None,None,50878000,None,-4663000,None,8520000
5,PROS,2019-09-30,USD,52720000,99805000,None,9266000,-24304000,46704000,1643000,None,None,8312000,-97336000,33450000,None,None,None,None,None,None,None,None,None,None,51599000,None,-11166000,None,8312000
6,PROS,2019-06-30,USD,74532000,None,None,None,None,2031000,1606000,None,None,8618000,-74599000,33450000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8618000
7,PROS,2019-03-31,USD,84809000,None,None,None,None,2100000,1654000,None,None,13440000,-72095000,33450000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13440000
8,PROS,2018-12-31,USD,23617000,None,None,None,None,7351000,8489000,None,None,14120000,-65432000,18000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14120000
9,PROS,2018-09-30,USD,74628000,None,None,None,None,2015000,1357000,None,None,15174000,-76578000,5000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15174000
