,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,MEG,2020-09-30,USD,-2293000,None,None,None,None,27084000,5736000,None,None,None,-2871000,212167000,None,None,None,None,-2870000,-2870000,None,None,None,None,203327000,None,None,None,-58761000
1,MEG,2020-06-30,USD,7394000,None,None,None,None,17344000,3315000,None,None,None,-172309000,213412000,None,None,None,None,None,None,None,None,None,None,173685000,None,None,None,-28024000
2,MEG,2020-03-31,USD,-8978000,None,None,None,None,7560000,1660000,None,None,None,-1660000,5238000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-41248000
3,MEG,2019-12-31,USD,17042000,None,None,None,None,27705000,4713000,None,None,None,-86983000,74452000,None,None,None,None,None,None,None,None,None,None,1509000,None,None,None,-23557000
4,MEG,2019-09-30,USD,8156000,None,None,None,None,7412000,1529000,None,None,None,-56200000,54511000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-6683000
5,MEG,2019-06-30,USD,4291000,None,None,None,None,6401000,1169000,None,None,None,-26368000,22066000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-322000
6,MEG,2019-03-31,USD,100000,None,None,None,None,6449000,73000,None,None,None,-1573000,676000,None,None,None,None,None,None,None,None,None,None,6000,None,None,None,-5242000
7,MEG,2016-09-30,USD,102950000,None,None,None,None,42075000,9625000,-5275000,0,None,-9581000,-60925000,None,None,None,None,0,0,None,None,None,None,221000,None,32444000,None,-67554000
8,MEG,2016-06-30,USD,43505000,None,None,None,None,42545000,17551000,-16004000,0,None,-15559000,-36161000,None,None,None,None,35305000,35305000,None,None,None,None,306000,None,-8215000,None,19228000
9,MEG,2016-03-31,USD,-4799000,None,None,None,None,42154000,6763000,6330000,0,None,-2797000,98000,None,None,None,None,0,0,None,None,None,None,1408000,None,-7498000,None,-25713000
10,MEG,2015-12-31,USD,21452000,None,None,None,None,50835000,99709000,-26347000,0,None,-17712000,-451000,None,None,None,None,0,0,None,None,None,None,0,None,3289000,None,15957000
11,MEG,2015-09-30,USD,39108000,None,None,None,None,40846000,16533000,-13156000,0,None,-15954000,-57430000,None,None,None,None,1654000,1654000,None,None,None,None,14977000,None,-34276000,None,-55887000
12,MEG,2015-06-30,USD,39969000,None,None,None,None,43253000,16841000,-11226000,0,None,105927000,-132129000,None,None,None,None,9218000,9218000,None,None,None,None,18747000,None,13767000,None,4743000
13,MEG,2015-03-31,USD,56419000,None,None,None,None,40591000,7209000,31080000,0,None,-6332000,-35696000,None,None,None,None,0,0,None,None,None,None,0,None,14391000,None,-4542000
14,MEG,2014-12-31,USD,25160000,None,None,None,None,21434000,17994000,-6619000,0,None,-610688000,602573000,None,None,None,None,0,0,None,None,None,None,0,None,17045000,None,30340000
15,MEG,2014-09-30,USD,40543000,None,None,None,None,15966000,10249000,3010000,0,None,-85009000,53175000,None,None,None,None,0,0,None,None,None,None,0,None,8709000,None,13849000
16,MEG,2014-06-30,USD,24355000,None,None,None,None,16559000,5862000,-765000,0,None,10432000,-30876000,None,None,None,None,0,0,None,None,None,None,0,None,3911000,None,6892000
17,MEG,2014-03-31,USD,-21536000,None,None,None,None,16319000,2510000,1716000,0,None,-557000,-35270000,None,None,None,None,0,0,None,None,None,None,0,None,-57363000,None,5439000
18,MEG,2013-12-31,USD,35623000,None,None,None,None,1584000,3378000,-9846000,0,None,951000,32187000,None,None,None,None,0,0,None,None,None,None,0,None,68761000,None,52811000
19,MEG,2013-09-30,USD,-21549000,None,None,None,None,8302000,4411000,1484000,0,None,-4391000,16111000,None,None,None,None,0,0,None,None,None,None,0,None,-9829000,None,-14616000
20,MEG,2013-06-30,USD,9216000,None,None,None,None,8423000,4087000,-5006000,0,None,-3961000,602000,None,None,None,None,0,0,None,None,None,None,0,None,5857000,None,-16146000
