,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,GAN,2020-09-30,USD,-4623000,None,None,None,None,None,1672000,None,None,None,-1668000,-442000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-4078000
1,GAN,2020-06-30,USD,-4623000,None,None,None,None,None,0,None,None,None,-1668000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-8786000
2,GAN,2020-03-31,USD,-4623000,None,None,None,None,None,0,None,None,None,-1668000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,533000
3,GAN,2019-12-31,USD,1882000,None,None,None,None,None,256000,None,None,None,-251000,15000,None,None,None,None,0,0,None,None,None,None,None,None,None,None,3333000
4,GAN,2019-09-30,USD,-2268000,None,None,None,None,None,717000,None,None,None,-707000,-267000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1834000
5,GAN,2019-06-30,GBP,5313000,None,None,None,None,315000,1493000,None,None,None,-1487000,-273000,None,None,None,None,None,None,None,None,None,None,61000,None,None,None,712000
6,GAN,2019-03-31,USD,-140867,None,None,None,None,None,0,None,None,None,-535531,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2192000
7,GAN,2018-12-31,GBP,1690000,None,None,None,None,805000,3413000,None,None,None,-3407000,4417000,None,None,None,None,None,None,None,None,None,None,7541000,None,None,None,-6028000
8,GAN,2018-06-30,GBP,-704000,None,None,None,None,411000,1550000,None,None,None,-1550000,4559000,None,None,None,None,None,None,None,None,None,None,7500000,None,None,None,-3020000
9,GAN,2017-12-31,GBP,865000,None,None,None,None,379000,3520000,None,None,None,-3212000,2001000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3478000
10,GAN,2017-06-30,GBP,-137000,None,None,None,None,132000,1687000,None,None,None,-1683000,2001000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1992000
