,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,NBTX,2020-06-30,EUR,-6439500,None,None,None,None,None,0,None,None,None,-41500,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,NBTX,2020-03-31,EUR,-6439500,None,None,None,None,None,0,None,None,None,-41500,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,NBTX,2019-12-31,EUR,-9922500,None,None,None,None,None,0,None,None,None,2200000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,NBTX,2019-09-30,EUR,-9922500,None,None,None,None,None,0,None,None,None,2200000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
