,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,ADTX,2020-09-30,USD,-3669277,None,None,None,None,None,0,None,None,None,-160534,17495421,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-2744422
1,ADTX,2020-06-30,USD,-154673,None,None,None,None,None,0,None,None,None,-160534,158021,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-534317
2,ADTX,2020-03-31,USD,-250917,None,None,None,None,None,0,None,None,None,-160534,293404,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1189363
3,ADTX,2019-12-31,USD,-48945,None,None,None,None,None,0,None,None,None,-160534,20058,None,None,None,None,None,None,None,None,None,None,470180,None,None,None,-991084
4,ADTX,2019-09-30,USD,-106200,None,None,None,None,None,0,None,None,None,None,134713,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-1080403
5,ADTX,2019-06-30,USD,-73210,None,None,None,None,None,0,None,None,None,None,36810,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-2555973
6,ADTX,2019-03-31,USD,-235997,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,ADTX,2018-12-31,USD,47900,None,None,None,None,None,0,None,None,None,None,476970,None,None,None,None,None,None,None,None,None,None,631220,None,None,None,-5689240
