,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,ADPT,2020-12-31,USD,-39844000,1400000,None,-8643000,-1008000,3609000,9370000,-1811000,3327000,-44570000,-340049000,6253000,None,None,None,None,None,None,None,None,None,None,6253000,None,-373640000,None,-44570000
1,ADPT,2020-09-30,USD,-47156000,900000,None,-8195000,12236000,2311000,4207000,3944000,200000,-36719000,-97246000,276038000,None,None,None,None,None,None,None,None,None,None,276359000,None,131636000,None,-36719000
2,ADPT,2020-06-30,USD,-31077000,None,None,-7527000,-2130000,423000,2263000,-1468000,18000,-33535000,177492000,6337000,None,None,None,None,None,None,None,None,None,None,6337000,None,-35428000,None,-33535000
3,ADPT,2020-03-31,USD,-31606000,None,None,-11529000,-5355000,1422000,2963000,-3278000,1449000,-31403000,142759000,4959000,None,None,None,None,None,None,None,None,None,None,4959000,None,116112000,None,-31403000
4,ADPT,2019-12-31,USD,-26791000,None,None,-6264000,5557000,1145000,2416000,3419000,402000,-20611000,46680000,1746000,None,None,None,None,None,None,None,None,None,None,1748000,None,21635000,None,-20611000
5,ADPT,2019-09-30,USD,-30138000,None,None,-10688000,8573000,426000,3430000,1953000,663000,-13950000,-260852000,319550000,None,None,None,None,None,None,None,None,None,None,321168000,None,28560000,None,-13950000
6,ADPT,2019-06-30,USD,-15970000,None,None,None,None,1870000,1523000,None,149000,-15659000,-45349000,-1504000,None,None,None,None,None,None,None,None,None,None,1989000,None,None,None,-15659000
7,ADPT,2019-03-31,USD,278303000,None,None,None,None,1364000,3831000,None,17000,-18386000,-222176000,124000,None,None,None,None,None,None,None,None,None,None,130000,None,None,None,-18386000
8,ADPT,2018-12-31,USD,-5410000,None,None,None,None,4301000,2514000,None,733000,-13271000,27629000,278000,None,None,None,None,None,None,None,None,None,None,1268000,None,None,None,-13271000
9,ADPT,2018-09-30,USD,-11686000,None,None,None,None,1465000,2190000,None,-608000,-8292000,5133000,57000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-8292000
