,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,UBER,2020-12-31,USD,-805000000,384000000,None,-99000000,303000000,180000000,123000000,238000000,None,-962000000,-192000000,896000000,None,None,None,None,None,None,None,None,1136000000,247000000,None,None,-101000000,None,-969000000
1,UBER,2020-09-30,USD,-406000000,184000000,None,-24000000,119000000,138000000,131000000,137000000,None,-1108000000,-365000000,428000000,None,None,None,None,None,None,None,None,500000000,None,None,None,-343000000,None,-1089000000
2,UBER,2020-06-30,USD,-1071000000,262000000,None,36000000,-185000000,129000000,164000000,-73000000,None,-1772000000,-456000000,118000000,None,None,None,None,None,None,None,None,None,None,None,None,-1643000000,None,-1775000000
3,UBER,2020-03-31,USD,-463000000,91000000,None,-46000000,-473000000,128000000,198000000,-444000000,None,-2946000000,-1856000000,-63000000,None,None,None,None,None,None,None,None,None,None,None,None,-2382000000,None,-2936000000
4,UBER,2019-12-31,USD,-1799000000,406000000,None,66000000,76000000,101000000,182000000,65000000,None,-1091000000,-711000000,-83000000,None,None,None,None,None,None,None,None,None,None,-74000000,None,-2593000000,None,-1096000000
5,UBER,2019-09-30,USD,-878000000,47000000,None,-32000000,106000000,102000000,129000000,-94000000,None,-1159000000,-129000000,1993000000,None,None,None,None,None,None,None,None,None,None,None,None,986000000,None,-1162000000
6,UBER,2019-06-30,USD,-922000000,None,None,None,None,123000000,148000000,None,None,-5246000000,-154000000,7075000000,None,None,None,None,None,None,None,None,None,None,None,None,-5123000000,None,-5236000000
7,UBER,2019-03-31,USD,-722000000,None,None,None,None,146000000,129000000,None,None,-1016000000,204000000,-46000000,None,None,None,None,None,None,None,None,None,None,2000000,None,None,None,-1012000000
8,UBER,2018-12-31,USD,-681000000,None,None,None,None,109000000,196000000,None,None,-889000000,-156000000,2477000000,None,None,0,None,None,None,None,None,None,None,None,None,None,None,-887000000
9,UBER,2018-09-30,USD,-410000000,None,None,None,None,131000000,153000000,None,None,-994000000,-73000000,-313000000,None,None,1000000,None,None,None,None,None,None,None,None,None,None,None,-986000000
10,UBER,2018-06-30,USD,-153000000,None,None,None,None,98000000,119000000,None,None,-878000000,-91000000,1362000000,None,None,2000000,None,None,None,None,None,None,None,None,None,None,None,-878000000
11,UBER,2018-03-31,USD,-297000000,None,None,None,None,88000000,90000000,None,None,3748000000,-375000000,1114000000,None,None,7000000,None,None,None,None,None,None,None,None,None,None,None,3748000000
