,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,MDWT,2020-12-31,USD,-19101153,7190184,None,3612725,-848016,12928,25070,None,None,-11914245,-165229996,199578638,None,25022,25022,None,None,None,None,None,None,None,64345250,None,15247489,None,-11914245
1,MDWT,2020-09-30,USD,376332,2666046,None,2471220,4320120,-759798,-1250,None,None,-5537242,-69827930,130841481,None,None,None,None,None,None,None,None,None,None,-150311,None,61389883,None,-5537242
2,MDWT,2020-06-30,USD,164485,None,None,2258967,7829065,788968,36515,None,None,-16599839,-64269728,113640289,None,None,None,None,None,None,None,None,None,None,None,None,-2031748,None,-16599839
3,MDWT,2020-03-31,USD,2316449,None,None,1699134,-1570765,15321,8998,None,None,21610958,-68154008,47628210,None,None,None,None,None,None,None,None,None,None,None,None,-18209349,None,21548458
4,MDWT,2019-12-31,USD,-81340704,None,None,-74760237,7241911,13941,28285,None,None,-1666311,-56534250,157221550,None,None,None,None,None,None,None,None,None,None,None,None,19346596,None,-1743974
5,MDWT,2019-09-30,USD,83795131,None,None,76205095,883283,12566,1,None,None,-1616000,-35452230,-34247516,None,None,None,None,None,None,None,None,None,None,None,None,14095385,None,-1662814
6,MDWT,2019-06-30,USD,-4662159,None,None,970472,4556269,14241,13530,None,None,-831852,-18815150,29936994,None,None,None,None,None,None,None,None,None,None,None,None,1218183,None,-831852
7,MDWT,2019-03-31,USD,-249444,None,None,547889,293037,18013,3818,None,None,-1495018,-7089222,8320638,None,None,None,None,None,None,None,None,None,None,None,None,981972,None,-1495018
8,MDWT,2018-12-31,USD,-15651758,None,None,-737389,330954,-80977,6040,None,None,2698456,-70463,17999345,18338705,None,None,None,None,None,None,None,None,None,None,None,2277124,None,-1423731
9,MDWT,2018-09-30,USD,-3817213,None,None,319182,32291,74356,3818,None,None,-1223947,1545485,166508,None,None,None,None,None,None,None,None,None,None,None,None,-2105220,None,-1963279
10,MDWT,2018-06-30,USD,-362905,None,None,274081,148380,34642,6707,None,None,-6111104,394974,2123374,None,None,None,None,None,None,None,None,None,None,None,None,2155443,None,-918639
11,MDWT,2018-03-31,USD,-538316,None,None,398740,151829,33328,6707,None,None,-428939,-7387,99396,None,None,None,None,None,None,None,None,None,None,None,None,-446307,None,-759885
12,MDWT,2017-12-31,USD,-537718,None,None,1545605,2496340,33894,1728.11,None,None,-1052281,368240,-407551,None,None,None,None,-1.20,-1.20,None,None,None,None,None,None,-1251493,None,-215363
13,MDWT,2017-09-30,USD,-9428410,None,None,283855,8790435,84073,10460,None,None,-2255735,5631497,301855,None,None,None,None,-1,-1,None,None,None,None,None,None,-1605066,None,-669782
14,MDWT,2017-06-30,USD,942913,None,None,328175,-176751,84416,17423,None,None,925655,10669580,257810,None,None,None,None,-8983,-8983,None,None,None,None,None,None,1060992,None,-790475
15,MDWT,2017-03-31,USD,-949000,None,None,132237,-100850,85647,24165,None,None,-337163,815218,522350,None,None,None,None,-21560,-21560,None,None,None,None,None,None,559965,None,-1043904
16,MDWT,2016-12-31,USD,-3447051,None,None,366983,66568,83846,2569,None,None,-3307095,-1631700,427697,None,None,None,None,-2100,-2100,None,None,None,None,None,None,-1728486,None,-2337064
17,MDWT,2016-09-30,USD,2300505,None,None,297063,43607,89501,None,None,None,43473,-1573576,-20342,None,None,None,None,None,None,None,None,None,None,None,None,-824055,None,178137
18,MDWT,2016-06-30,USD,-104773,None,None,200065,-84348,98228,None,None,None,-360783,3897138,426571,None,None,None,None,None,None,None,None,None,None,None,None,-426377,None,-920075
19,MDWT,2016-03-31,USD,109555,None,None,74984,-277830,110007,None,None,None,-223517,2124191,470072,None,None,None,None,None,None,None,None,None,None,None,None,2448127,None,-768920
