,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,TCRR,2020-12-31,USD,-13499000,None,None,-159000,-1348000,478000,4641000,None,None,-18451000,5819000,387000,None,None,None,None,None,None,None,1000,None,None,448000,None,-7293000,None,-18451000
1,TCRR,2020-09-30,USD,-10819000,None,None,581000,-1455000,441000,1294000,None,None,-16922000,-71495000,134233000,None,None,None,None,None,None,None,None,None,None,134002000,None,51919000,None,-16922000
2,TCRR,2020-06-30,USD,-16011000,None,None,-574000,2315000,367000,725000,None,None,-16245000,34584000,29000,None,None,None,None,None,None,None,None,None,None,125000,None,-16245000,None,-16245000
3,TCRR,2020-03-31,USD,-16410000,None,None,603000,1589000,306000,504000,None,None,-15506000,-17843000,50000,None,None,None,None,None,None,None,None,None,None,185000,None,-34203000,None,-15506000
4,TCRR,2019-12-31,USD,-10313000,None,None,-668000,-558000,304000,819000,None,None,-12827000,26189000,103000,None,None,None,None,None,None,None,None,None,None,103000,None,15979000,None,-12827000
5,TCRR,2019-09-30,USD,-10056000,None,None,309000,-120000,258000,2119000,None,None,-13806000,18284000,236000,None,None,None,None,None,None,None,None,None,None,-811000,None,8464000,None,-13806000
6,TCRR,2019-06-30,USD,-11063000,None,None,None,None,165000,753000,-168000,None,-11063000,5107000,-375000,None,None,None,None,None,None,None,None,None,None,18000,None,-11063000,None,-11063000
