,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,SLGG,2020-12-31,USD,-2202000,None,None,1102000,-759000,-903000,2000,-384000,None,-4740000,-202000,0,None,None,None,None,None,None,None,0,None,None,0,None,-2404000,None,-4740000
1,SLGG,2020-09-30,USD,-4089000,None,None,-120000,421000,218000,1000,475000,None,-4298000,-219000,8413000,None,None,None,None,None,None,None,8403000,None,None,8413000,None,4105000,None,-4298000
2,SLGG,2020-06-30,USD,-5197000,None,None,-1247000,52000,302000,2000,128000,None,-4560000,-486000,7153000,None,None,None,None,None,None,None,None,None,None,5953000,None,1470000,None,-4560000
3,SLGG,2020-03-31,USD,-3388000,None,None,1242000,636000,493000,4000,76000,None,-5134000,-283000,None,None,None,None,None,None,None,None,None,None,None,None,None,-3671000,None,-5134000
4,SLGG,2019-12-31,USD,-3504000,None,None,-561000,-551000,35000,17000,-28000,None,-4688000,-640000,None,None,None,None,None,None,None,None,None,None,None,22478000,None,-4144000,None,-4688000
5,SLGG,2019-09-30,USD,-3259000,None,None,317000,116000,38000,23000,-138000,None,-4417000,-335000,None,None,None,None,None,None,None,None,None,None,None,22478000,None,-3594000,None,-4417000
6,SLGG,2019-06-30,USD,-3561000,None,None,None,-8000,107000,15000,-8000,None,-5505000,-1765000,20000,None,None,None,None,None,None,None,None,None,None,20000,None,-5306000,None,-5505000
7,SLGG,2019-03-31,USD,-3322000,None,None,None,None,2769000,18000,173000,None,-16069000,-424000,22458000,None,None,None,None,None,None,None,None,None,None,22458000,None,18712000,None,-16069000
8,SLGG,2018-12-31,USD,-2800000,None,None,None,None,241214,65000,None,None,-7484000,-417000,22458000,None,None,None,None,None,None,None,None,None,None,None,None,-3217000,None,-7484000
9,SLGG,2018-09-30,USD,-2386000,None,None,None,None,190000,55000,None,None,-5009000,-207000,7798391,None,None,None,None,None,None,None,None,None,None,None,None,5206000,None,-5009000
10,SLGG,2018-06-30,USD,-2754000,None,None,None,None,221000,42000,None,None,-3963000,-128000,2406149,None,None,None,None,None,None,None,None,None,None,None,None,-885000,None,-3963000
11,SLGG,2018-03-31,USD,-2740000,None,None,None,None,209000,93000,None,None,-4171000,-114000,2815000,None,None,None,None,None,None,None,None,None,None,None,None,-39000,None,-4171000
