,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,ESSC,2020-12-31,USD,-226864,None,None,None,None,None,None,None,None,-293936,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-226864,None,-290436
1,ESSC,2020-09-30,USD,-139011,None,None,28752,-40105,None,None,None,None,-2622868,None,138000000,None,None,None,None,None,None,None,None,None,None,138000000,None,-139011,None,-204368
2,ESSC,2020-06-30,USD,-90751,None,None,None,-44479,None,None,None,None,3070387,None,0,None,None,None,None,None,None,None,None,None,None,None,None,-90751,None,-136994
3,ESSC,2020-03-31,USD,-364838,None,None,None,None,None,None,None,None,697557,-138000000,138819683,None,None,None,None,None,None,None,None,None,None,None,None,454845,None,697557
4,ESSC,2019-12-31,USD,-9099,None,None,None,None,None,None,None,None,-9099,-138000000,15571,None,None,None,None,None,None,None,None,None,None,None,None,6472,None,-9009
5,ESSC,2019-09-30,USD,-418,None,None,None,None,None,None,None,None,-418,-138000000,-28509,None,None,None,None,None,None,None,None,None,None,None,None,-28927,None,-418
6,ESSC,2019-06-30,USD,62499,None,None,None,None,None,None,None,None,-2,None,37500,None,None,None,None,None,None,None,None,None,None,25000,None,None,None,-2
7,ESSC,2019-03-31,USD,-62488,None,None,None,None,None,None,None,None,13,-138000000,125000,None,None,None,None,None,None,None,None,None,None,25000,None,None,None,13
8,ESSC,2018-12-31,USD,-14720,None,None,None,None,None,None,None,None,-14776,None,2500,None,None,None,None,None,None,None,None,None,None,25000,None,None,None,-14776
9,ESSC,2018-09-30,USD,-69,None,None,None,None,None,None,None,None,-63,None,60000,None,None,None,None,None,None,None,None,None,None,25000,None,None,None,-69
