,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,VIRI,2020-12-31,USD,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-6501228
1,VIRI,2020-09-30,USD,-558890,None,None,None,None,None,0,None,None,None,None,9480,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-2724029
2,VIRI,2020-06-30,USD,-524972,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-654585
3,VIRI,2020-03-31,USD,-524972,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,VIRI,2019-12-31,USD,-471714,None,None,None,None,None,0,None,None,None,None,574430,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-638589
5,VIRI,2019-09-30,USD,-508708,None,None,None,None,None,0,None,None,None,None,-10825,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-811819
