,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,STOK,2020-12-31,USD,-10931000,None,None,4370000,2823000,237000,90000,None,None,-14561000,-90000,106868000,None,None,None,None,None,None,None,None,None,None,106993000,None,95847000,None,-14561000
1,STOK,2020-09-30,USD,-10873000,None,None,610000,80000,234000,269000,None,None,-13684000,-269000,673000,None,None,None,None,None,None,None,None,None,None,1033000,None,-10469000,None,-13684000
2,STOK,2020-06-30,USD,-9646000,None,None,234000,-949000,224000,81000,None,None,-12959000,-81000,369000,None,None,None,None,None,None,None,None,None,None,368000,None,-12959000,None,-12959000
3,STOK,2020-03-31,USD,-10771000,None,None,-11000,924000,193000,610000,None,None,-11039000,-610000,198000,None,None,None,None,None,None,None,None,None,None,199000,None,-11183000,None,-11039000
4,STOK,2019-12-31,USD,-10201000,None,None,-1755000,-863000,139000,568000,None,None,-10160000,-569000,192000,None,None,None,None,None,None,None,None,None,None,194000,None,-10578000,None,-10160000
5,STOK,2019-09-30,USD,-8048000,None,None,1565000,1866000,126000,583000,None,None,-8604000,-583000,-1000000,None,None,None,None,None,None,None,None,None,None,19000,None,-9631000,None,-8604000
6,STOK,2019-06-30,USD,-6274000,None,None,None,None,105000,392000,None,None,-7819000,-392000,150638000,None,None,None,None,None,None,None,None,None,None,152014000,None,None,None,-7819000
7,STOK,2019-03-31,USD,-6532000,None,None,None,None,80000,92000,None,None,-5742000,-90000,-68000,None,None,None,None,None,None,None,None,None,None,74000,None,None,None,-5742000
8,STOK,2018-12-31,USD,-3515000,None,None,None,None,214000,93000,None,None,-4282000,-83000,89779000,None,None,None,None,None,None,None,None,None,None,116019000,None,None,None,-4282000
9,STOK,2018-09-30,USD,-3041000,None,None,None,None,64000,516000,None,None,-3317000,-516000,13378000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3317000
