,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,ALEC,2020-12-31,USD,-47658000,None,None,-3552000,305000,576000,788000,None,None,-52179000,11552000,1096000,None,None,None,None,None,None,None,None,None,None,1096000,None,-35010000,None,-52179000
1,ALEC,2020-09-30,USD,-40821000,None,None,-9248000,2981000,258000,381000,None,None,-52704000,33013000,286000,None,None,None,None,None,None,None,None,None,None,286000,None,-7522000,None,-52704000
2,ALEC,2020-06-30,USD,-45942000,None,None,-1874000,-538000,-10000,297000,None,None,-45326000,-24744000,2270000,None,None,None,None,None,None,None,None,None,None,2911000,None,-45326000,None,-45326000
3,ALEC,2020-03-31,USD,-32313000,None,None,-4036000,3589000,-240000,3566000,None,None,-40019000,-124872000,228461000,None,None,None,None,None,None,None,None,None,None,3217000,None,71276000,None,-40019000
4,ALEC,2019-12-31,USD,-28827000,None,None,-5584000,297000,-674000,1573000,None,None,-30527000,30057000,1437000,None,None,None,None,None,None,None,None,None,None,-168599000,None,2667000,None,-30527000
5,ALEC,2019-09-30,USD,-28863000,None,None,-2978000,462000,-1170000,2299000,None,None,-31738000,45909000,720000,None,None,None,None,None,None,None,None,None,None,720000,None,17766000,None,-31738000
6,ALEC,2019-06-30,USD,-18052000,None,None,None,None,-715000,9363000,None,None,-24560000,26422000,-116000,None,None,None,None,None,None,None,None,None,None,-116000,None,-24560000,None,-24560000
7,ALEC,2019-03-31,USD,-23566000,None,None,None,None,-1023000,2030000,None,None,-18560000,-151262000,170312000,None,None,None,None,None,None,None,None,None,None,170312000,None,-4516000,None,-18560000
8,ALEC,2018-12-31,USD,-17654000,None,None,None,None,276000,417000,None,None,-17373000,42465000,-1280000,None,None,None,None,None,None,None,None,None,None,133050000,None,None,None,-17373000
9,ALEC,2018-09-30,USD,-22359000,None,None,None,None,279000,157000,None,None,-15317000,-46946000,62334000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-15317000
10,ALEC,2018-06-30,USD,-17048000,None,None,None,None,232000,697000,None,None,-11121000,-40123000,70154000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-11121000
11,ALEC,2018-03-31,USD,184525000,None,None,None,None,212000,613000,None,None,-8437000,-179515000,-62000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-8437000
