,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,KRTX,2020-12-31,USD,-22945000,242000,None,1737000,5946000,48000,82000,None,None,-24009000,29661000,1545000,None,None,None,None,None,None,None,None,None,None,1545000,None,8261000,None,-24009000
1,KRTX,2020-09-30,USD,-22781000,183000,None,1024000,8985000,43000,104000,None,None,-18841000,-66830000,525000,None,None,None,None,None,None,None,None,None,None,680000,None,-89086000,None,-18841000
2,KRTX,2020-06-30,USD,-15789000,None,None,1375000,3756000,33000,157000,None,None,-17046000,-42055000,1072000,None,None,None,None,None,None,None,None,None,None,1356000,None,-17046000,None,-17046000
3,KRTX,2020-03-31,USD,-8341000,None,None,-1027000,-132000,21000,76000,None,None,-8658000,-10426000,517000,None,None,None,None,None,None,None,None,None,None,517000,None,-18250000,None,-8658000
4,KRTX,2019-12-31,USD,-6820000,None,None,1411000,986000,21000,40000,None,None,-7774000,-72619000,234224000,None,None,None,None,None,None,None,None,None,None,404964000,None,154785000,None,-7774000
5,KRTX,2019-09-30,USD,-8416000,None,None,76000,606000,15000,5000,None,None,-9038000,-42178000,94243000,None,None,None,None,None,None,None,None,None,None,170340000,None,43649000,None,-9038000
6,KRTX,2019-06-30,USD,-9573000,None,None,None,None,12000,53000,None,None,-15140000,-64521000,314000,None,None,None,None,None,None,None,None,None,None,74887000,None,None,None,-15140000
7,KRTX,2019-03-31,USD,-6114000,None,None,None,None,10000,17000,None,None,-12005000,4983000,76502000,None,None,None,None,None,None,None,None,None,None,75035000,None,None,None,-12005000
8,KRTX,2018-12-31,USD,-6864000,None,None,None,None,4000,132000,None,None,-8327000,-5115000,2700000,None,None,None,None,None,None,None,None,None,None,15877000,None,None,None,-8327000
9,KRTX,2018-09-30,USD,-2131000,None,None,None,None,10000,17000,None,None,-6238000,4983000,17877000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-6238000
