,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,AREC,2020-12-31,USD,-11745039,119085,None,-3528416,7500,-3979429,None,7500,0,-14618217,0,21554526,None,None,None,None,None,None,None,None,0,None,None,None,9809487,None,-8426614
1,AREC,2020-09-30,USD,-1037692,0,None,-1223688,-8750,945267,None,-8750,0,123982,0,275185,None,None,None,None,None,None,None,None,-2621800,None,None,None,-762507,None,123982
2,AREC,2020-06-30,USD,-1916916,42426,None,-1425249,0,612728,None,0,0,1308237,826772,2785135,None,None,None,None,None,None,None,None,2621800,None,None,None,1694991,None,1308237
3,AREC,2020-03-31,USD,852392,166228,None,49133,2577631,1228276,408915,2387505,365126,-3261368,-408915,-253056,None,None,None,None,None,None,None,None,28000,None,552562,None,190421,None,-3261368
4,AREC,2019-12-31,USD,-7518290,-2379885,None,4223331,-1250213,25439301,654500,-2301571,488696,-40047543,0,6772274,None,None,None,None,None,None,None,None,3521128,None,4098,None,-746016,None,-40047543
5,AREC,2019-09-30,USD,-4309330,2655716,None,-315682,994414,-13557505,408245,1897669,-883300,-7345032,1058245,2771137,None,None,None,None,None,None,None,None,839419,None,3409600,None,-479948,None,-7344532
6,AREC,2019-06-30,USD,-1636060,150804,None,509725,-772368,4476597,-1456939,-1389396,617028,-8961042,-14051,2673239,None,None,None,None,None,None,None,None,2299980,None,4354000,None,1023128,None,-8961042
7,AREC,2019-03-31,USD,-5743426,557663,None,-1610219,-117047,1353707,721444,792381,-574254,-10065620,-721444,4231718,None,None,None,None,None,None,None,None,2000000,None,4254000,None,-2233152,None,-10065620
8,AREC,2018-12-31,USD,710613,-1558076,None,2015219,1725285,-408284,5406,1462360,262925,-2626847,-5406,1655810,None,None,None,None,None,None,None,None,3133488,None,50000,None,2361017,None,-4767159
9,AREC,2018-09-30,USD,-1594716,3040922,None,1375432,-1216895,-3788159,127957,-1032612,-360381,-4181513,-97808,1097141,-979058,None,None,None,None,None,None,None,1035012,None,None,None,-595383,None,-3611226
10,AREC,2018-06-30,USD,-1422156,-1042692,None,-1297422,871517,649985,148925.74,501181,250778,-2224802,20354,2246175,None,None,None,None,None,None,None,None,3281965,None,None,None,844373,None,-1837915
11,AREC,2018-03-31,USD,-1059285,66672,None,1182686,-544555,-441730,127957,-399047,297974,-2541012,72219,696193,None,None,None,None,None,None,None,None,1000000,None,None,None,-290873,None,-2541012
12,AREC,2017-12-31,USD,-4452340,151583,None,432066,-1856340,-795678,3165,-1241244,-615096,-5333161,111855,4185166,None,None,None,None,None,None,None,None,2770000,None,None,None,-155319,None,-5322763
13,AREC,2017-09-30,USD,-512432,83998,None,615949,-277810,-168469,145795,-196477,-615096,-1584557,347457,133826,None,None,None,None,None,None,None,None,1470000,None,None,None,-31149,None,-1741799
14,AREC,2017-06-30,USD,-654087,63874,None,1092853,1036228,-699644,3064.68,994895,-473041.61,-3928035,-15309,286426,None,None,None,None,None,None,None,None,None,None,461431.98,None,-382970,None,-4076276
15,AREC,2017-03-31,USD,-25715,45692,None,955483,1365463,-406803,34787,1325463,-615096,-3089055,-62245,59595,None,None,None,None,None,None,None,None,None,None,600000,None,-28365,None,-3040610
16,AREC,2016-12-31,USD,-2477667,-17977,None,-736651,-2036011,-249640,None,-2036931,None,-623336,6330467,1525265,None,None,None,None,None,None,None,None,None,None,None,None,15759,None,-15279
17,AREC,2016-09-30,USD,-1400270,3681,None,1953517,-751393,-762238,None,None,None,-3669189,938483,-23431,None,None,None,None,None,None,None,None,None,None,None,None,-485218,None,-3718188
18,AREC,2016-06-30,USD,77354,22603,None,None,-65,-760263,None,None,None,24808,1737021,55,None,None,None,None,None,None,None,None,None,None,None,None,15582,None,47253
19,AREC,2016-03-31,USD,-27369,26345,None,None,None,-484188,None,None,None,-27471,-3690271,4667863,None,None,None,None,None,None,None,None,None,None,None,None,-158842,None,-1353
