,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,AKRO,2020-12-31,USD,-23395000,75000,None,1097000,-3161000,135000,5000,None,None,-29711000,17899000,59000,None,None,None,None,None,None,None,0,None,None,19000,None,-5437000,None,-29711000
1,AKRO,2020-09-30,USD,-13508000,17000,None,1387000,-4880000,27000,None,None,None,-21403000,-59844000,202784000,None,None,None,None,None,None,None,202396000,None,None,202559000,None,129432000,None,-21403000
2,AKRO,2020-06-30,USD,-22584000,59000,None,2460000,10143000,None,None,None,None,-16207000,38465000,100000,None,None,None,None,None,None,None,None,None,None,167000,None,-16019000,None,-16207000
3,AKRO,2020-03-31,USD,-11317000,None,None,-1343000,-724000,-103000,None,None,None,-11886000,-6281000,164000,None,None,None,None,None,None,None,None,None,None,112000,None,-17434000,None,-11886000
4,AKRO,2019-12-31,USD,-11649000,None,None,-4589000,-590000,None,None,None,None,-15611000,-71513000,115000,None,None,None,None,None,None,None,None,None,None,115000,None,-83047000,None,-15611000
5,AKRO,2019-09-30,USD,-13212000,None,None,3653000,1794000,None,None,None,None,-15554000,-71513000,-1607000,None,None,None,None,None,None,None,None,None,None,-1628000,None,-14819000,None,-15554000
6,AKRO,2019-06-30,USD,-5322000,None,None,None,None,None,None,None,None,-7228000,-71513000,98200000,None,None,None,None,None,None,None,None,None,None,97480000,None,None,None,-7228000
7,AKRO,2019-03-31,USD,-5444000,None,None,None,None,None,None,None,None,-5362000,-71513000,-720000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-5362000
8,AKRO,2018-12-31,USD,-2075000,None,None,None,None,None,None,None,None,-61472000,-5000000,70223000,None,None,None,None,None,None,None,None,None,None,85508000,None,None,None,-61472000
9,AKRO,2018-09-30,USD,-1961000,None,None,None,None,None,None,None,None,-11148000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-11148000
