,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,GO,2021-12-31,USD,81976000,None,None,22897000,-7363000,21412000,39073000,1134000,-7620000,24264000,-40879000,5147000,None,None,None,None,29000,None,None,None,None,None,5471000,None,46244000,None,24264000
1,GO,2020-09-30,USD,9205000,None,None,-12747000,28511000,13837000,35875000,-3435000,23503000,40474000,-40737000,10811000,None,None,None,None,161000,-161000,None,None,None,None,11255000,None,-20721000,None,40474000
2,GO,2020-06-30,USD,22236000,None,None,11224000,44861000,791000,21799000,4025000,40927000,29333000,-22377000,-80992000,None,None,None,None,97000,-97000,None,None,None,None,9845000,None,29333000,None,29333000
3,GO,2020-03-31,USD,67820000,None,None,-13690000,-28701000,12510000,28173000,3219000,-31073000,12642000,-29793000,94808000,None,None,None,None,147000,-147000,None,None,None,None,6033000,None,132835000,None,12642000
4,GO,2019-12-31,USD,28345000,None,None,-2172000,14694000,18176000,25770000,6462000,13001000,9832000,-28086000,-16178000,None,None,None,None,3266000,-3266000,None,None,None,None,3474000,None,-15919000,None,9832000
