,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,NPA,2020-12-31,USD,-225862,None,None,374445,7461,None,None,None,None,-714995,0,None,None,None,None,None,None,None,None,None,None,None,None,None,-225862,None,-549049
1,NPA,2020-09-30,USD,-56882,None,None,55233,-27107,None,None,None,None,-55049,14635,None,None,None,None,None,None,None,None,None,None,None,None,None,-42247,None,-55049
2,NPA,2020-06-30,USD,-389206,None,None,-215627,-42879,None,None,None,None,-51977,268839,None,None,None,None,None,None,None,None,None,None,None,None,None,-120367,None,-51977
3,NPA,2020-03-31,USD,-190647,None,None,154413,9016,None,None,None,None,847252,217146,None,None,None,None,None,None,None,None,None,None,None,None,None,26499,None,847252
