,SYMBOL,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
0,OZON,2020-08-31,RUB,443000000,None,None,None,None,None,0,None,None,None,-1631000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-3879000000
1,OZON,2020-05-31,RUB,-2258500000,None,None,None,None,None,0,None,None,None,-1491500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,OZON,2020-02-29,RUB,-2258500000,None,None,None,None,None,0,None,None,None,-1491500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,OZON,2019-11-30,RUB,-2722000000,None,None,None,None,877000000,1622000000,None,-3037000000,None,-1590000000,4989000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-6330000000
4,OZON,2019-08-31,RUB,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-4570000000
5,OZON,2002-02-28,USD,-139040,None,None,None,None,18155,3357,0,24302,None,4183,101905,None,None,None,None,0,0,None,None,None,None,0.79,None,0,0,-220799
6,OZON,2001-11-30,USD,-252673,None,None,None,None,21450,2506,0,-24302,None,199146,148135,None,None,None,None,0,0,None,None,None,None,12.69,None,0,0,30311
7,OZON,2001-08-31,USD,-252673,None,None,None,None,21450,2506,0,-24302,None,199146,148135,None,None,None,None,0,0,None,None,None,None,141.20,None,0,0,-515417
8,OZON,2001-05-31,USD,-49065,None,None,None,None,25904,6456,0,-24302,None,-87038,160000,None,None,None,None,0,0,None,None,None,None,0.04,None,0,0,-144320
9,OZON,2001-02-28,USD,None,None,None,None,None,None,6000,None,None,None,None,1151000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,OZON,2000-11-30,USD,None,None,None,None,None,None,0,None,None,None,None,1102000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,OZON,2000-08-31,USD,None,None,None,None,None,None,12000,None,None,None,None,949000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,OZON,2000-05-31,USD,None,None,None,None,None,None,7000,None,None,None,None,451000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13,OZON,2000-02-29,USD,None,None,None,None,None,None,5000,None,47000,None,None,478000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
