SYMBOL
BSN.U
LEAP.U
SNPR.U
NSH.U
PIAI.U
CRHCU
CNLFU
TWND.U
CLA.U
FST.U
BFT.U
FIII.U
HZAC.U
IBNX
NGA.U
AONE.U
STPK.U
RBAC.U
DYM.U
DGNR.U
FSDC
FAII.U
KBNT/KBnth
GOAC.U
"YAC,U"
PRPB.U
CCIV.U
ACND.U
PTH.U
HPX.U
DEH.U
MLCU
PTK.U
TXAC
CPSR.U
PANA.U
GSAH.U
FUSE.U
KCAC.U
TRE.U
WPF.U
NRAI
LGVW.U
BMRG.U
ADCI
GIK.U
JWS.U
LOAK.U
SOAC.U
ROCHU
FVAC.U
IPOB.U
PCPL.U
CHAQ.U
IPOC.U
FEAC.U
LSACU
DMYT.U
CCXX.U
CCAC.U
IPV.U
OWEM
ALUS.U
YAYO
JIH.U
DFNSU
SFTW.U
GLEO.U
NFINU
SBE.U
CPAA.U
OAC.U
PIC.U
SCPE.U
CCX.U
GIX.U
LK
HSACU
BRPM.U
RPLA.U
AVDR
IMAC/IMACW
RMG.U
PVT.U
NRGX
CHACU
GRAF.U
CCH.U
REMED
CCC.U
MFACU
SPAQ.U
NFC.U
FPAC.U
UMRX
LTN.U
LHC.U
HMI
MNLO
GIG.U
RWGE.U
LGCU
PPDF
MOSC.U
HAIR
RYTH
PGQ
BSTI
IPOA.U
CIC.U
YOGA
TPGH.U
HCAC.U
SBGX
GDI
TPGEU
XRF
TOCA
MESM
FRAC
STRU
ATMR
SBPH
PTI
XCOM
PMTS
EDGE
MIRN
VTV
NK
DNAI
RTTR
FENX
WOWO
CHEKU
BHACU
FLKS
LENS
CNLMU
HSGX
CAPN/CAPNW
FSAM
PRTO
MOLG
ECC
AUMAU
OTIO
AAVL
ORPN
VBLX
CFRXU
THQ
GBIM
 SERV
MRKT
ZFGN
QTNTU
VTL
CCAQU
PIH
CSBSO
RTGN
AQXP
SMLR
AMDA
ARGS
CMFN
EBIO
CLDN
CAMBU
TLOG
LEVYU
QTETU
GDEF
VMEN
OPHT
BNFY
TPRE
LIQD
FISH
CNAT
JONE
TRMR
BIOAU
EMES
NVEE.U
HTWO
HIIQ
ZFC
KBIO
CISAU
SPPP
CACGU
SCTY
WGP
YY
AQUUU
LGP
MEILU
JACQU
ANFI
SUSP
HPAC
DGRG
INXBU
ROYT
MPO
SDR
WHZ
BGSCU
FX
NRGM
KORS
SN
VNGEU
BUI
DDMG
CHKR
NLNK
SWCAU
CCACU
UBNT
PER
FRAN
MNGLU
NMAR.U
AZTAU
AWAY
TMRGU
EPAQU
GSJK
CGEIU
LPR
ACTV
REAGLU
FFN
UBPSU
SGMEU
GCRSF
STIR
TEU
SCGQU
SDT
TZYM
LOKAF
CHVF
RLJAU
ZA
KIPS
CDM
BGMD
TRNX
DMD
NSLN
FTWAU
LAS
FXCM
LLACQU
LZEN
CTE
XRS
HKACU
CAZAU
CCIH
ELT
