trade_date,issuer,symbol,lead_jointlead_managers,offer_price,opening_price,firstday_close,firstday_percent_pxchng,dollar_change_opening,dollar_change_close,star_ratings,performed
2020-09-11,Broadstone Acquisition,BSN.U,Citigroup,10,9.84,9.6,-0.04,-0.16,-0.4,1,
2020-09-11,Ribbit LEAP,LEAP.U,JPMorgan,10,11.2,11.55,0.16,1.2,1.55,1,Missed
2020-09-11,Tortoise Acquisition Corp. II,SNPR.U,Barclays/ Goldman Sachs,10,10.35,10.51,0.05,0.35,0.51,1,
2020-09-11,TWC Tech Holdings II,TWCTU,Citigroup/ Deutsche Bank Securities,10,10.08,10.07,0.01,0.08,0.07,1,
2020-09-10,NavSight Holdings,NSH.U,Credit Suisse,10,10,10,0,0,0,1,
2020-09-10,Prime Impact Acquisition I,PIAI.U,Goldman Sachs/ BofA Securities,10,10,10,0,0,0,1,
2020-09-10,Starboard Value Acquisition,SVACU,UBS Investment Bank/ Stifel/ Cowen,10,10,10,0,0,0,1,
2020-09-09,Cohn Robbins Holdings,CRHCU,Credit Suisse,10,10.1,10.01,0,0.1,0.01,1,
2020-09-09,Industrial Tech Acquisitions,ITACU,Maxim Group,10,9.92,9.97,0,-0.08,-0.03,1,
2020-09-03,BCTG Acquisition,BCTG,SVB Leerink,10,9.85,10.28,0.03,-0.15,0.28,1,
2020-09-02,CM Life Sciences,CNLFU,Jefferies,10,10.07,10.25,0.03,0.07,0.25,1,
2020-09-02,INSU Acquisition Corp. II,INAQU,Cantor,10,10.2,10.26,0.03,0.2,0.26,1,
2020-09-02,HighCape Capital Acquisition,CAPAU,Cantor,10,10.11,10.15,0.02,0.11,0.15,1,
2020-09-02,Tailwind Acquisition,TWND.U,Jefferies,10,10,10,0,0,0,1,
2020-09-01,PainReform,PRFX,Maxim Group/ Joseph Gunnar,8,7.75,6.74,-0.16,-0.25,-1.26,1,
2020-08-31,Applied UV,AUVI,"Network 1 Financial Securities,",5,5.75,11.6,1.32,0.75,6.6,N/C,
2020-08-28,Harbor Custom Development,HCDI,ThinkEquity (a division of Fordham Financial Management),6,5.5,7.5,0.25,-0.5,1.5,1,
2020-08-27,Burgundy Technology Acquisition,BTAQU,Mizuho Securities,10,10,9.98,0,0,-0.02,1,
2020-08-27,CF Finance Acquisition Corp II (CFIIU) (u),CFIIU,Cantor,10,10,9.94,-0.01,0,-0.06,1,
2020-08-27,XPeng,XPEV,Credit Suisse/ J.P. Morgan/ BofA Securities,15,23.1,21.22,0.41,8.1,6.22,3,
2020-08-26,FTAC Olympus Acquisition,FTOCU,Citigroup/ Cantor,10,9.93,9.93,-0.01,-0.07,-0.07,1,
2020-08-21,Colonnade Acquisition,CLA.U,BTIG,10,9.95,9.92,-0.01,-0.05,-0.08,1,
2020-08-21,FAST Acquisition,FST.U,Citigroup/ UBS Investment Bank,10,9.96,9.93,-0.01,-0.04,-0.07,1,
2020-08-21,Foley Trasimene Acquisition II,BFT.U,Credit Suisse/ BofA Securities,10,10.01,10,0,0.01,0,1,
2020-08-21,Forum Merger III .,FIII.U,Jefferies,10,10,10,0,0,0,1,
2020-08-21,Horizon Acquisition,HZAC.U,Credit Suisse,10,10,10,0,0,0,1,
2020-08-21,Kymera Therapeutics,KYMR,Morgan Stanley/ BofA Securities/ Cowen/ Guggenheim Securities,20,35,33.26,0.66,15,13.26,3,
2020-08-21,Nano-X Imaging,NNOX,Cantor/ Oppenheimer/ Berenberg/ CIBC Capital Markets,18,20.34,21.7,0.21,2.34,3.7,3,
2020-08-19,Harmony Biosciences Holdings,HRMY,Goldman Sachs/ Jefferies/ Piper Sandle,24,39.99,37.01,0.54,15.99,13.01,3,
2020-08-19,Inhibrx,IBNX,Jefferies/ Evercore ISI/ Credit Suisse,17,22.1,20.63,0.21,5.1,3.63,2,
2020-08-18,Northern Genesis Acquisition,NGA.U,Raymond James/ EarlyBirdCapita,10,10,10,0,0,0,1,
2020-08-18,one,AONE.U,Goldman Sachs,10,10.15,10.1,0.01,0.15,0.1,1,
2020-08-18,Star Peak Energy Transition,STPK.U,Credit Suisse/ Goldman Sachs,10,10.01,10,0,0.01,0,1,
2020-08-14,RedBall Acquisition,RBAC.U,Goldman Sachs,10,10.25,10.16,0.02,0.25,0.16,1,
2020-08-14,CureVac N.V.,CVAC,BofA Securities/ Jefferies/ Credit Suisse,16,44,55.9,2.49,28,39.9,2,Missed
2020-08-14,dMY Technology Group,DYM.U,UBS Investment Bank,10,10.05,10.1,0.01,0.05,0.1,1,
2020-08-14,Dragoneer Growth Opportunities,DGNR.U,Citigroup/ Goldman Sachs/ J.P. Morgan,10,10.6,10.68,0.07,0.6,0.68,1,
2020-08-14,Lionheart Acquisition Corp. II,LCAPU,Nomura/ Cantor,10,9.99,9.97,0,-0.01,-0.03,1,
2020-08-13,FS Development,FSDC,Jefferies,10,10.25,10.3,0.03,0.25,0.3,1,
2020-08-13,KE Holdings,BEKE,Goldman Sachs/ Morgan Stanley/ China Renaissance,20,35.06,37.44,0.87,15.06,17.44,3,
2020-08-13,NetSTREIT Corp.,NTST,Wells Fargo Securities/ BofA Securities/ Citigroup/ Stifel/ Jefferies,18,18,17.7,-0.02,0,-0.3,1,
2020-08-12,Fortress Value Acquisition Corp. II (FAII.U) (u),FAII.U,Deutsche Bank Securities/ Morgan Stanley/ BofA Securities,10,10.12,10.17,0.02,0.12,0.17,1,
2020-08-12,Kubient,KBNT/KBnth,Maxim Group/ Joseph Gunnar,5,5,5.07,0.01,0,0.07,1,
2020-08-07,ARYA Sciences Acquisition Corp III,ARYA,Jefferies/ Goldman Sachs,10,10.5,10.44,0.04,0.5,0.44,1,
2020-08-07,Checkmate Pharmaceuticals,CMPI,BofA Securities/ Jefferies/ BMO Capital Markets,15,14.5,14,-0.07,-0.5,-1,3,Missed
2020-08-07,Freeline Therapeutics Holdings plc,FRLN,J.P. Morgan/ Morgan Stanley/ Evercore ISI,18,18.5,18,0,0.5,0,2,
2020-08-07,IBEX Ltd.,IBEX,Citigroup/ RBC Capital Markets/ Baird,19,18,15.4,-0.19,-1,-3.6,1,
2020-08-07,Vistas Media Acquisition,VMACU, I-Bankers Securities,10,9.95,9.95,-0.01,-0.05,-0.05,1,
2020-08-06,Gores Holdings V,GRSVU,Deutsche Bank Securities/ Morgan Stanley,10,10.06,10.08,0.01,0.06,0.08,1,
2020-08-06,Kismet Acquisition One,KSMTU,Credit Suisse/ BofA Securities,10,10,9.98,0,0,-0.02,1,
2020-08-06,Acutus Medical,AFIB,J.P. Morgan/ BofA Securities/ William Blair,18,24.11,26.5,0.47,6.11,8.5,2,Missed
2020-08-06,Oak Street Health,OSH,J.P. Morgan/ Goldman Sachs/ Morgan Stanley,21,42.5,40,0.9,21.5,19,3,
2020-08-06,Rocket Companies,RKT,Goldman Sachs/ Morgan Stanley/ Credit Suisse/ J.P. Morgan RBC Capital Markets,18,18,21.51,0.2,0,3.51,1,
2020-08-05,BigCommerce Holdings,BIGC,Morgan Stanley/ Barclays/ Jefferies/ KeyBanc Capital Markets,24,68,72.27,2.01,44,48.27,3,
2020-08-05,Rackspace Technology,RXT,Goldman Sachs/ Citigroup/ JPMorgan,21,16.85,16.39,-0.22,-4.15,-4.61,2,Missed
2020-08-05,GO Acquisition,GOAC.U,Credit Suisse,10,10,10,0,0,0,1,
2020-08-05,BowX Acquisition,BOWXU,UBS Investment Bank,10,10.02,10.03,0,0.02,0.03,1,
2020-08-05,Holicity,HOLUU,Deutsche Bank Securities/ BofA Securities,10,10.01,10.01,0,0.01,0.01,1,
2020-08-04,Health Sciences Acquisitions Corp 2,HSAQ,Chardan/ Barclays,10,11.41,11.4,0.14,1.41,1.4,1,Missed
2020-08-04,Yucaipa Acquisition,"YAC,U",Citigroup,10,10.02,10.01,0,0.02,0.01,1,
2020-07-31,1847 Goedeker,GOED,ThinkEquity (a division of Fordham Financial Management),9,9.4,8.9,-0.01,0.4,-0.1,1,
2020-07-31,NewHold Investment,NHICU,Stifel,10,9.92,9.91,-0.01,-0.08,-0.09,1,
2020-07-31,E.Merge Technology Acquisition,ETACU,Cantor/ Mizuho Securities,10,10.05,10,0,0.05,0,1,
2020-07-31,Fathom Holdings,FTHM,Roth Capital Partners,10,11.5,10.03,0,1.5,0.03,2,
2020-07-31,CC Neuberger Principal Holdings II,PRPB.U,Credit Suisse. Citigroup/ Morgan Stanley,10,10.15,10.07,0.01,0.15,0.07,1,
2020-07-31,Vital Farms,VITL,Goldman Sachs/ Morgan Stanley/ Credit Suisse,22,35,35.26,0.6,13,13.26,3,
2020-07-30,AlloVir,ALVR,Morgan Stanley/ J.P. Morgan/ SVB Leerink/ Piper Sandler,17,20,25.39,0.49,3,8.39,2,
2020-07-30,Churchill Capital Corp IV,CCIV.U,Citigroup,10,10.06,10,0,0.06,0,1,
2020-07-30,Li Auto,LI,Goldman Sachs (Asia)/ Morgan Stanley/ UBS Investment Bank/ CICC,11.5,15.5,16.46,0.43,4,4.96,3,
2020-07-29,Vertex,VERX,Goldman Sachs/ Morgan Stanley,19,25.56,23.93,0.26,6.56,4.93,3,
2020-07-28,ACE Convergence Acquisition,ACEVU,Cantor,10,10.2,10.24,0.02,0.2,0.24,1,
2020-07-24,Annexon,ANNX,J.P. Morgan/ BofA Securities/ Cowen,17,17.4,17.76,0.04,0.4,0.76,3,Missed
2020-07-24,Ascendant Digital Acquisition,ACND.U,UBS Investment Bank,10,10.3,10.31,0.03,0.3,0.31,1,
2020-07-24,Greencity Acquisition,GRCYU,Ladenburg Thalmann,10,9.95,10,0,-0.05,0,1,
2020-07-24,Inozyme Pharma,INZY,BofA Securities/ Cowen/ Piper Sandler,18,20.8,17.54,-0.03,2.8,-0.46,3,
2020-07-24,iTeos Therapeutics,ITOS,J.P. Morgan/ SVB Leerink/ Piper Sandler,19,25.55,19.05,0,6.55,0.05,3,
2020-07-24,Nurix Therapeutics,NRIX,J.P. Morgan/ Piper Sandler/ Stifel,19,18.06,19.01,0,-0.94,0.01,3,Missed
2020-07-23,East Resources Acquisition,ERESU,Wells Fargo Securities,10,9.96,10,0,-0.04,0,1,
2020-07-23,Montrose Environmental Group,MEG,BofA Securities/ William Blair,15,16.5,22,0.47,1.5,7,1,Missed
2020-07-23,Skillful Craftsman Education Technology,EDTK,"The Benchmark Company/ Axiom Capital Management,",5,5.35,4.75,-0.05,0.35,-0.25,N/C,
2020-07-22,Jamf Holding,JAMF,Goldman Sachs/ J.P. Morgan/ BofA Securities/ Barclays,26,46,39.2,0.51,20,13.2,3,
2020-07-22,Pershing Square Tontine Holdings,PTH.U,Citigroup/ Jefferies/ UBS Investment Bank,20,21.15,21.3,0.07,1.15,1.3,2,
2020-07-22,Property Solutions Acquisition,PSACU,EarlyBirdCapital,10,10.04,10.03,0,0.04,0.03,1,
2020-07-17,ALX Oncology Holdings,ALXO,Jefferies/ Credit Suisse/ Piper Sandler/ Cantor,18,36.5,30,0.67,18.5,12,3,
2020-07-17,Berkeley Lights,BLI,J.P. Morgan/ Morgan Stanley/ Cowen,22,51.03,65.45,1.98,29.03,43.45,3,
2020-07-17,Deerfield Healthcare Technology Acquisitions,DFHTU,Deutsche Bank Securities/ UBS Investment Bank,10,10.51,10.63,0.06,0.51,0.63,1,
2020-07-17,Pandion Therapeutics Holdco,PAND,Goldman Sachs/ Morgan Stanley/ SVB Leerink/ BMO Capital Markets,18,27,18.1,0.01,9,0.1,3,
2020-07-16,HPX Corp.,HPX.U,Credit Suisse,10,10.2,10.17,0.02,0.2,0.17,1,
2020-07-16,Relay Therapeutics,RLAY,J.P. Morgan/ Goldman Sachs/ Cowen/ Guggenheim Securities,20,35,35.05,0.75,15,15.05,3,
2020-07-16,Trean Insurance Group,TIG,J.P. Morgan/ Evercore ISI/ William Blair,15,17.05,15.51,0.03,2.05,0.51,3,
2020-07-15,D8 Holdings,DEH.U,UBS Investment Bank,10,10.05,10.03,0,0.05,0.03,1,
2020-07-15,GoHealth,GOCO,Goldman Sachs/ BofA Securities/ Morgan Stanley,21,25,19.13,-0.09,4,-1.87,3,
2020-07-15,Malacca Straits Acquisition (MLACU ) (u),MLCU,BTIG,10,10.1,10.04,0,0.1,0.04,1,
2020-07-14,nCino,NCNO,BofA Securities/ Barclays Capital/ KeyBanc Capital Markets/ SunTrust Robinson Humphrey,31,71,91.59,1.95,40,60.59,3,
2020-07-13,PTK Acquisition,PTK.U,Chardan,10,10.03,10.11,0.01,0.03,0.11,1,
2020-07-10,Nkarta,NKTX,Cowen/ Evercore ISI/ Stifel/ Mizuho Securities,18,54.75,47.99,1.67,36.75,29.99,3,
2020-07-10,Poseida Therapeutics,PSTX,BofA Securities/ Piper Sandler/ William Blair,16,17,15.35,-0.04,1,-0.65,3,
2020-07-10,Quhuo Limited,QH,Roth Capital Partners/ VALUABLE CAPITAL LIMITED/ Tiger Brokers,10,15.31,12.77,0.28,5.31,2.77,2,Missed
2020-07-08,BlueCity Holdings,BLCT, AMTD/ Loop Capital Markets/ Tiger Brokers/ Prime Number Capital/ R. F. Lafferty,16,20.45,23.43,0.46,4.45,7.43,N/C,
2020-07-08,Therapeutics Acquisition,TXAC,Jefferies,10,11.25,12.02,0.2,1.25,2.02,1,Missed
2020-07-02,Capstar Special Purpose Acquisition,CPSR.U,Citigroup/ UBS Investment Bank/ BTIG,10,10.16,10.22,0.02,0.16,0.22,1,
2020-07-02,Lemonade,LMND,Goldman Sachs/ Morgan Stanley/ Allen & Company/ Barclays Capital ,29,50.06,69.41,1.39,21.06,40.41,3,
