trade_date,issuer,symbol,lead_jointlead_managers,offer_price,opening_price,firstday_close,firstday_percent_pxchng,dollar_change_opening,dollar_change_close,star_ratings,performed
2020-07-01,Dun & Bradstreet Holdings,DNB,Goldman Sachs/ BofA Securities,22,25,25.35,0.15,3,3.35,2,
2020-07-01,Panacea Acquisition,PANA.U,Cowen,10,10.85,11.3,0.13,0.85,1.3,1,
2020-06-30,GS Acquisition Holdings Corp II,GSAH.U,Goldman Sachs/ Citigroup,10,10.4,10.51,0.05,0.4,0.51,1,
2020-06-26,Agora,API,Morgan Stanley/ BofA Securities,20,45,50.5,1.53,25,30.5,2,
2020-06-26,Akouos,AKUS,BofA Securities/ Cowen/ Piper Sandler,17,22.26,22,0.29,5.26,5,3,
2020-06-26,Albertsons Companies,ACI,BofA Securities/ Goldman Sachs/J.P. Morgan/ Citigroup,16,15.5,15.45,-0.03,-0.5,-0.55,2,Missed
2020-06-26,Ebang International Holdings,EBON,AMTD/ Loop Capital Markets,5.23,4.6,5,-0.04,-0.63,-0.23,N/C,
2020-06-26,Fusion Acquisition,FUSE.U,Cantor,10,10.25,10.16,0.02,0.25,0.16,1,
2020-06-26,Fusion Pharmaceuticals,FUSN,Morgan Stanley/ Jefferies/ Cowen,17,18.5,17,0,1.5,0,3,
2020-06-26,Kensington Capital Acquisition,KCAC.U,UBS Investment Bank/ Stifel,10,10.05,10.05,0.01,0.05,0.05,1,
2020-06-26,PolyPid,PYPD,Barclays/ BMO Capital Markets,16,16,19,0.19,0,3,2,
2020-06-24,Brilliant Acquisition,BRLIU,EarlyBirdCapital,10,10.01,10.5,0.05,0.01,0.5,1,
2020-06-19,Forma Therapeutics Holdings,FMTX,Jefferies/ SVB Leerink/ Credit Suisse,20,40,39,0.95,20,19,3,
2020-06-19,Genetron Holdings,GTH,Credit Suisse/ CICC,16,16.15,16,0,0.15,0,3,Missed
2020-06-19,Progenity,PROG,Piper Sandler/ Wells Fargo Securities,15,15.11,13.12,-0.13,0.11,-1.88,3,Missed
2020-06-19,Repare Therapeutics,RPTX,Morgan Stanley/ Goldman Sachs/ Cowen/ Piper Sandler,20,32.05,30.8,0.54,12.05,10.8,3,
2020-06-17,Trebia Acquisition,TRE.U,Credit Suisse/ BofA Securities,10,10.46,10.34,0.03,0.46,0.34,1,
2020-06-16,Royalty Pharma plc,RPRX,J.P. Morgan/ Morgan Stanley/ BofA Securities/ Goldman Sachs/ Citigroup/ UBS Investment Bank,28,44,44.5,0.59,16,16.5,3,
2020-06-12,AZEK Company (The),AZEK,Barclays/ BofA Securities/ Goldman Sachs/ Jefferies,23,27.5,27.15,0.18,4.5,4.15,3,
2020-06-12,Burning Rock Biotech Ltd.,BNR,Morgan Stanley/ BofA Securities/ Cowen,16.5,22.8,24.63,0.49,6.3,8.13,3,
2020-06-12,Generation Bio,GBIO,J.P. Morgan/ Jefferies/ Cowen,19,22.15,24.69,0.3,3.15,5.69,3,
2020-06-12,Vaxcyte,PCVX,BofA Securities/ Jefferies/ Evercore ISI,16,20.8,26.15,0.63,4.8,10.15,3,
2020-06-11,Lantern Pharma,LTRN,ThinkEquity (a division of Fordham Financial Management) ,15,14.8,14.95,0,-0.2,-0.05,1,
2020-06-10,uCloudlink Group,UCL,I-Bankers Securities/ Valuable Capital Limited,18,22.5,17.24,-0.04,4.5,-0.76,1,
2020-06-09,Hudson Executive Investment,HECCU,Citigroup/ J.P. Morgan,10,10.19,10.25,0.03,0.19,0.25,3,
2020-06-09,Vroom,VRM,Goldman Sachs/ BofA Securities/ Allen & Company/ Wells Fargo Securities,22,40.25,47.9,1.18,18.25,25.9,4,
2020-06-05,Applied Molecular Transport (AMTI),AMTI,BofA Securities/Jefferies/ SVB Leerink,14,26,17.98,0.28,12,3.98,2,
2020-06-05,ARYA Sciences Acquisition Corp II,ARYBU,Jefferies/ Goldman Sachs,10,10.6,10.79,0.08,0.6,0.79,1,
2020-06-05,Dada Nexus Limited,DADA,Goldman Sachs (Asia)/ BofA Securities/ Jefferies,16,18.3,15.99,0,2.3,-0.01,2,
2020-06-05,Legend Biotech,LEGN,Morgan Stanley/ J.P. Morgan Securities/ Jefferies,23,37,37,0.61,14,14,2,
2020-06-05,Mountain Crest Acquisition,MCACU,Chardan,10,10.05,10.04,0,0.05,0.04,1,
2020-06-05,Shift4 Payments,FOUR,Citigroup/ Credit Suisse/ Goldman Sachs,23,33,33.54,0.46,10,10.54,3,
2020-06-04,ZoomInfo Technologies,ZI,J.P. Morgan/ Morgan Stanley/ Barclays/ Credit Suisse/ BofA Securities/ Deutsche Bank Securities/ RBC Capital Markets/ UBS Investment Ban/ Wells Fargo Securities,21,40,34,0.62,19,13,3,
2020-06-03,Pliant Therapeutics,PLRX,Citigroup/ Cowen/ Piper Sandler,16,25,21.3,0.33,9,5.3,3,
2020-05-27,Foley Trasimene Acquisition,WPF.U,Credit Suisse/ BofA Securities,10,10.15,10.18,0.02,0.15,0.18,1,
2020-05-22,Inari Medical,NRAI,BofA Securities/Morgan Stanley,19,41.3,42.51,1.24,22.3,23.51,3,
2020-05-21,Longview Acquisition,LGVW.U,Cowen/ UBS Investment Bank,10,10,10,0,0,0,1,
2020-05-21,SelectQuote,SLQT,Credit Suisse/ Morgan Stanley/ Evercore ISI/ RBC Capital Markets/ Barclays/ Citigroup/ Jefferies,20,26.2,27,0.35,6.2,7,3,
2020-05-20,B. Riley Principal Merger,BMRG.U,B. Riley FBR,10,10,10,0,0,0,1,
2020-05-15,ADC Therapeutics America SA,ADCI,Morgan Stanley/ BofA Securities/ Cowen and Company,19,30,29.65,0.56,11,10.65,1,
2020-05-15,Novus Capital,NOVSU,EarlyBirdCapital,10,9.97,9.95,-0.01,-0.03,-0.05,1,
2020-05-14,GigCapital3,GIK.U,Nomura/ Oppenheimer,10,9.9,9.91,-0.01,-0.1,-0.09,1,
2020-05-14,Jaws Acquisition,JWS.U,Credit Suisse,10,10,10.25,0.03,0,0.25,1,
2020-05-08,Ayala Pharmaceuticals,AYLA,Citigroup/ Jefferies,15,15.66,15.03,0,0.66,0.03,3,Missed
2020-05-08,China Liberal Education Holdings (CLEU),CLEU,Boustead Securities,6,5,4.85,-0.19,-1,-1.15,1,
2020-05-08,Kingsoft Cloud Holdings,KC,J.P. Morgan/ UBS Investment Bank/ Credit Suisse/ CICC ,17,20.37,23.84,0.4,3.37,6.84,2,
2020-05-06,Live Oak Acquisition,LOAK.U,Jefferies,10,10,9.88,-0.01,0,-0.12,1,
2020-05-06,Sustainable Opportunities Acquisition,SOAC.U,Citigroup,10,9.9,9.93,-0.01,-0.1,-0.07,1,
2020-05-05,Roth CH Acquisition,ROCHU,Roth Capital Partners/ Craig-Hallum Capital Group,10,9.95,9.94,-0.01,-0.05,-0.06,1,
2020-05-01,Collective Growth,CGROU,Cantor,10,10,9.96,0,0,-0.04,1,
2020-05-01,Lyra Therapeutics,LYRA,BofA Securities/ Jefferies/ William Blair,16,21,18.56,0.16,5,2.56,3,
2020-04-30,Fortress Value Acquisition (FVAC.U) (u),FVAC.U,Deutsche Bank Securities,10,10.05,10.06,0.01,0.05,0.06,1,
2020-04-28,Social Capital Hedosophia Holdings Corp. II,IPOB.U,Credit Suisse,10,10.15,10.12,0.01,0.15,0.12,1,
2020-04-24,CC Neuberger Principal Holdings I,PCPL.U,Goldman Sachs/ BofA Securities,10,10.05,10.06,0.01,0.05,0.06,1,
2020-04-24,Chardan Healthcare Acquisition 2,CHAQ.U,Chardan,10,10,9.98,0,0,-0.02,1,
2020-04-24,ORIC Pharmaceuticals,ORIC,J.P. Morgan/ Citigroup/ Jefferies/ Guggenheim Securities,16,26,25.77,0.61,10,9.77,3,
2020-04-22,Social Capital Hedosophia Holdings Corp. III,IPOC.U,Credit Suisse,10,10.08,10.07,0.01,0.08,0.07,1,
2020-04-08,Keros Therapeutics,KROS,Jefferies/ SVB Leerink/ Piper Sandler,16,20.85,20.08,0.26,4.85,4.08,2,
2020-04-03,Zentalis Pharmaceuticals,ZNTL,Morgan Stanley/ Jefferies/ SVB Leerink/ Guggenheim Securities ,18,25.2,23.2,0.29,7.2,5.2,1,Missed
2020-04-01,WiMi Hologram Cloud,WIMI,Benchmark Company/ Maxim Group/ China Merchants Securities (HK)/ AMTD Global Markets,5.5,6,5.5,0,0.5,0,N/C,
2020-03-12,IMARA,IMRA,Morgan Stanley/ Citigroup/ SVB Leerink,16,14,15,-0.06,-2,-1,1,
2020-03-11,DFP Healthcare Acquisitions,DFPHU,Deutsche Bank Securities,10,10.18,10.2,0.02,0.18,0.2,1,
2020-03-06,Flying Eagle Acquisition,FEAC.U,Goldman Sachs/ DNB Markets,10,10.45,10.4,0.04,0.45,0.4,1,
2020-03-06,LifeSci Acquisition,LSACU,Chardan,10,10.1,10.25,0.03,0.1,0.25,1,
2020-03-03,GFL Environmental Holdings,GFL,JPMorgan/ BMO Capital Markets/ Goldman Sachs/ RBC Capital Markets/ Scotiabank,19,17.5,16.8,-0.12,-1.5,-2.2,1,
2020-02-28,Passage BIO,PASG,J.P. Morgan/ Goldman Sachs/ Cowen,18,22.27,22.2,0.23,4.27,4.2,3,
2020-02-24,ZHONGCHAO,ZCMD,Network 1 Financial Securities,4,4.34,4,0,0.34,0,NC,
2020-02-21,dMY Technology Group,DMYT.U,Goldman Sachs/ UBS Investment Bank,10,10.31,10.34,0.03,0.31,0.34,1,
2020-02-20,East Stone Acquisition,ESSCU,I-Bankers Securities,10,10.05,10.01,0,0.05,0.01,1,
2020-02-14,Churchill Capital Corp. III,CCXX.U,Citigroup/ Goldman Sachs,10,10.58,10.51,0.05,0.58,0.51,1,
2020-02-14,Newborn Acquisition,NBACU,Chardan,10,10.02,10.05,0.01,0.02,0.05,1,
2020-02-13,Yunhong International,ZGYHU,Maxim Group LLC,10,10.01,10,0,0.01,0,1,
2020-02-13,Muscle Maker,GRIL,Alexander Capital,5,4.7,3.86,-0.23,-0.3,-1.14,1,
2020-02-13,Revolution Medicines,RVMD,J.P. Morgan/ Cowen/ SVB Leerink/ Guggenheim Securities,17,28.21,28.9,0.7,11.21,11.9,3,
2020-02-12,Huize Holding Ltd.,HUIZ,Citigroup/ CICC,10.5,10.62,10,-0.05,0.12,-0.5,1,
2020-02-11,CITIC Capital Acquisition (CCAC.U) (u),CCAC.U,Credit Suisse,10,10.26,10.2,0.02,0.26,0.2,1,
2020-02-11,Greenrose Acquisition,GNRSU,Imperial Capital,10,10.02,10.07,0.01,0.02,0.07,1,
2020-02-07,NexPoint Real Estate Finance,NREF,Raymond James,19,16,18.8,-0.01,-3,-0.2,1,
2020-02-07,OneWater Marine,ONEW,Raymond James/ Baird/ SunTrust Robinson Humphrey,12,15.02,15.14,0.26,3.02,3.14,1,Missed
2020-02-07,Professional Holding,PFHD,"Stephens/ Keefe, Bruyette & Woods (A Stifel Company​)",18.5,19.31,19.55,0.06,0.81,1.05,NC,
2020-02-06,Beam Therapeutics,BEAM,J.P. Morgan/ Jefferies/ Barclays,17,24,18.75,0.1,7,1.75,3,
2020-02-06,Casper Sleep,CSPR,Morgan Stanley/ Goldman Sachs/ Jefferies,12,14.5,13.5,0.13,2.5,1.5,1,
2020-02-06,PPD,PPD,Barclays/ J.P. Morgan/ Morgan Stanley/ Goldman Sachs/ BofA Securities/ Credit Suisse/ Jefferies/ UBS Investment Bank/ Citigroup/ Deutsche Bank Securities/ Evercore ISI/ HSBC/ Mizuho Securities/ Baird/ William Blair,27,31,30,0.11,4,3,3,
2020-02-06,Schrodinger,SDGR,Morgan Stanley/ BofA Securities/ Jefferies/ BMO Capital Markets,17,26,28.64,0.68,9,11.64,2,
2020-02-04,InterPrivate Acquisition,IPV.U,EarlyBirdCapital,10,10.09,10.1,0.01,0.09,0.1,1,
2020-01-31,1Life Healthcare,OWEM,J.P. Morgan/ Morgan Stanley,14,18,22.07,0.58,4,8.07,2,
2020-01-31,Arcutis Biotherapeutics,ARQT,Goldman Sachs/ Cowen/ Guggenheim Securities,17,23.05,21.8,0.28,6.05,4.8,2,
2020-01-31,Reynolds Consumer Products,REYN,Credit Suisse/ Goldman Sachs/ J.P. Morgan ,26,27.5,28.55,0.1,1.5,2.55,2,
2020-01-29,Annovis Bio,ANVS,ThinkEquity (a division of Fordham Financial Management ),6,6.63,9.59,0.6,0.63,3.59,1,Missed
2020-01-29,Black Diamond Therapeutics,BDTX,J.P. Morgan/ Jefferies/ Cowen,19,33,39.48,1.08,14,20.48,3,
2020-01-28,AnPac Bio-Medical Science,ANPC,WestPark Capital,12,12,11.25,-0.06,0,-0.75,1,
2020-01-24,Gores Holdings IV,GHIVU,Deutsche Bank Securities,10,10.52,10.45,0.05,0.52,0.45,1,
2020-01-24,SCVX Corp.,SCVXU,Credit Suisse,10,10.3,10.32,0.03,0.3,0.32,1,
2020-01-17,I-Mab,IMAB,Jefferies/ CICC,14,14.75,12.75,-0.09,0.75,-1.25,2,
2020-01-17,LIZHI,LIZI,Credit Suisse/ Citigroup,11,11.03,11.63,0.06,0.03,0.63,1,
2020-01-17,Phoenix Tree Holdings Ltd.,DNK,Citigroup/ Credit Suisse/ J.P. Morgan,13.5,13.5,13.5,0,0,0,1,
2020-01-17,Velocity Financial,VEL,Wells Fargo Securities/ Citigroup/ JMP Securities,13,13.85,13.51,0.04,0.85,0.51,1,
2019-12-30,Molecular Data,MKD,AMTD/ Fosun Hani/ Boustead Securities,5.38,6,5.46,0.01,0.62,0.08,N/C,
2019-12-19,Indonesia Energy,INDO,Maxim Group,11,11,10.5,-0.05,0,-0.5,1,
2019-12-19,Monopar Therapeutics,MNPR,JonesTrading,8,8.35,26.5,2.31,0.35,18.5,1,
2019-12-13,CIIG Merger,CIICU,UBS Investment Bank/ Barclays,10,10.02,10.18,0.02,0.02,0.18,1,
2019-12-13,Healthcare Merger,HCCOU,Cantor,10,10.16,10.3,0.03,0.16,0.3,1,
2019-12-13,OneConnect Financial Technology,OCFT,Morgan Stanley/ Goldman Sachs (Asia)/ J.P. Morgan/ Ping An of China Securities (Hong Kong),10,10.51,10,0,0.51,0,1,
2019-12-13,Sprout Social,SPT,Goldman Sachs/ Morgan Stanley,17,18.05,16.6,-0.02,1.05,-0.4,2,
