symbol,fiscaldate_end,reported_currency,gross_profit,total_revenue,costof_revenue,costof_goodservices_sold,operating_income,selling_gen_admin,research_dev,operating_expenses,investment_income_net,netInterestIncome,interest_income,interest_expense,noninterest_income,othernon_operatingincome,depreciation,dpr_and_amort,income_beforetax,incometax_expense,interest_debt_expense,netincome_cont_operations,comprehensive_income_netoftax,ebit,ebitda,netincome
ARDS,6/30/2018,USD,-3863000,22000,3885000,3885000,-4550000,687000,3885000,4550000,0,0,0,0,0,3126000,0,0,-1424000,0,0,-1424000,0,-7535000,0,-1424000
ARD,3/31/2017,USD,331270904.8,1970527576,1639256671,1639256671,149772000,120753587.9,0,1704000000,0,0,0,115538000,0,0,0,0,-68000000,-9000000,0,-59000000,0,305624125.1,0,-59000000
ARLO,6/30/2018,USD,28294000,110948000,82654000,82654000,-16165000,19386000,13804000,44459000,0,0,0,0,0,-1369000,700000,0,-17534000,288000,0,-17822000,-17822000,-16165000,0,-17822000
ARMO,12/31/2017,USD,0,0,0,0,-14661000,14665000,13277000,14661000,0,0,0,0,0,0,0,0,-14529000,0,0,-14529000,0,-14661000,0,-14529000
ARPI,3/31/2013,USD,0,5337000,9025000,9025000,0,0,0,0,0,0,0,371000,0,0,0,0,0,0,0,0,0,0,0,0
ARQT,12/31/2019,USD,0,0,0,0,-12994000,2237000,10757000,12994000,0,0,0,0,0,0,0,0,-12568000,0,0,-12568000,0,-12843000,0,-12568000
ART,9/30/2009,USD,0,84454000,381665000,381665000,-10556000,0,0,0,0,0,0,1000,0,0,0,0,-10352000,113980000,0,0,0,0,0,-5355000
ARVN,9/30/2018,USD,3375264,3375264,17242000,17242000,-14058846,4284231,13149879,17434110,0,0,0,12264,0,160100,0,191547,-13387672,0,0,-13387672,-13338281,-14058846,-13867299,-13387672
ARX,12/31/2010,USD,0,181579000,81933000,81933000,19075000,59923000,21656000,0,0,0,0,20713000,0,0,0,0,0,0,0,0,0,0,0,0
ARYA,6/30/2020,USD,0,0,0,0,-11717,11717,0,11717,0,0,0,0,0,0,0,0,-11717,0,0,-11717,0,-11717,0,-11717
ASNS,12/31/2017,USD,0,0,0,0,-22528000,11559000,9230000,22528000,0,0,0,273000,0,0,0,0,-23237000,0,0,-23237000,0,-22528000,0,-23237000
ASPX,12/31/2013,USD,0,0,0,0,0,4905000,3479000,0,0,0,0,174000,0,0,0,0,0,0,0,0,0,0,0,0
ASV,3/31/2017,USD,4360000,28010000,22429000,22429000,902000,3458000,537000,27100000,0,0,0,878000,0,0,0,0,232000,0,0,232000,0,910000,0,232000
ATACU,9/30/2017,USD,0,0,0,0,-30478,30478,0,30478,0,0,0,0,0,0,0,0,19984,21021,0,-1037,0,-30478,0,-1037
ATB,9/30/2004,USD,0,16618000,5890000,5890000,7671000,64000,0,0,0,0,0,1317000,0,0,0,0,6367000,0,0,0,0,0,0,6367000
ATHL,6/30/2013,USD,0,65165000,12087000,12087000,29409000,3149000,0,0,0,0,0,9313000,0,0,0,0,29372000,4844000,0,0,0,0,0,23697000
ATNX,6/30/2017,USD,458000,4595000,4137000,4137000,-30771000,13632000,17597000,31229000,0,-3281000,0,3281000,0,-4587000,0,0,-38596000,29000,0,-38668000,-38481000,-30771000,0,-38625000
