symbol,fiscaldate_end,reported_currency,gross_profit,total_revenue,costof_revenue,costof_goodservices_sold,operating_income,selling_gen_admin,research_dev,operating_expenses,investment_income_net,netInterestIncome,interest_income,interest_expense,noninterest_income,othernon_operatingincome,depreciation,dpr_and_amort,income_beforetax,incometax_expense,interest_debt_expense,netincome_cont_operations,comprehensive_income_netoftax,ebit,ebitda,netincome
CML,9/30/2007,USD,0,13404000,6400000,6400000,0,8772000,2177000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMPI,6/30/2020,USD,0,0,0,0,-8271000,1795000,6476000,8271000,0,6000,6000,0,0,0,0,0,-8348000,0,0,-8348000,0,-8271000,0,-8348000
CMSSU,9/30/2017,USD,0,0,0,0,-111785,0,0,0,0,0,0,0,0,0,0,0,-2571,0,0,-2571,0,0,0,-2571
CMTA,6/30/2017,USD,0,0,0,0,11449089,8601000,6332000,8655619,0,0,0,6000,0,0,0,0,141942576,97000,0,142022363,0,11125101,0,142022363
CNACU,6/30/2017,USD,0,0,0,0,-22525,22525,0,16363.97,0,0,0,0,0,0,0,0,-31716,0,0,-31716,0,-22525,0,-31716
CNF,9/30/2018,CNY,594650120,1116187550,521537430,521537430,6726036.69,164532700,-5676682.36,277303690,0,0,0,6070852082,0,0,0,0,6726036.69,1748423.21,0,4977613.48,0,0,0,4977613.48
CNSP,9/30/2019,USD,0,0,0,0,-699094,420191,278903,699094,0,-7561,-7560,7561,0,0,0,0,-706655,0,0,-706655,0,-698396,0,-706655
CNTG,9/30/2019,EUR,4997000,11638000,6641000,6641000,-3375000,6672000,2011000,7840000,0,-1433000,0,1433000,0,0,0,0,-4276000,0,0,-4276000,0,-4097000,0,-4276000
CNXR,12/31/2014,USD,13590000,27825000,14235000,12975000,5955000,6684000,4447000,7635000,0,0,0,1705000,0,0,0,0,4861000,77000,0,0,4784000,5955000,0,4784000
CODX,6/30/2017,USD,2164,2466,302,302,-700952,661205,184880,703116,0,0,0,154000,0,0,0,0,-855007,0,0,-855007,0,-700952,0,-855007
CORI,3/31/2014,USD,1808000,10717000,8289000,8289000,-794000,1236000,1267000,2602000,0,0,0,1780000,0,6108000,0,0,3534000,0,0,3534000,0,-794000,0,3534000
COTV,6/30/2016,USD,0,158291000,60514000,60514000,39591000,38121000,0,0,0,0,0,14660000,0,0,0,0,17569000,6676000,0,0,0,0,0,10893000
COVS,9/30/2013,USD,0,24525000,12015000,12015000,0,23111000,3244000,0,0,0,0,0,0,0,0,0,0,34000,0,0,0,0,0,0
CPPL,12/31/2014,USD,0,340400000,190000000,190000000,119500000,0,0,0,0,0,0,22900000,0,0,0,0,111100000,46700000,0,0,0,0,0,64400000
CQH,12/31/2013,USD,0,268191000,243391000,243391000,0,0,0,0,0,0,0,367100000,0,0,0,0,0,0,0,0,0,0,0,0
CRSAU,3/31/2019,USD,0,0,0,0,-85740,85740,0,85743,0,0,302660,0,0,0,0,0,216920,45550,0,171366,0,-388404,0,171370
CRSP,9/30/2016,USD,1549000,1549000,15923000,15923000,-14610000,4107000,12052000,16159000,0,0,0,1000,0,-75000,0,0,-14686000,8000,0,-14694000,0,-14685000,0,-14680000
CRVS,3/31/2016,USD,0,0,0,0,-6426000,1029000,5397000,6426000,0,0,0,0,0,79000,0,0,-6347000,0,0,-6347000,0,-6347000,0,-6347000
CTK,9/30/2018,USD,33379000,36787000,3408000,3408000,2715000,25508000,5169000,34072000,0,0,0,0,0,0,0,0,2798000,0,0,2798000,0,2715000,0,2798000
CUDA,11/30/2013,USD,45369000,59386000,14017000,11636000,-3012000,47794000,12083000,48381000,0,0,0,0,0,0,1100000,2381000,-2692000,-599000,0,0,-1610000,0,0,-2093000
CURO,12/31/2017,USD,92164000,167287000,75123000,70406000,42988000,99352000,0,0,0,0,0,21990000,0,0,0,0,18998000,12588000,0,0,4975000,40988000,0,6410000
CVP,12/31/2003,USD,0,131788000,108289000,108289000,2202000,14504000,0,0,0,0,0,5235000,0,0,0,0,0,0,0,0,0,0,0,0
