SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
ALXO,2020-12-31,USD,79000,79000,None,None,-17825000,5683000,12142000,17825000,None,-151000,None,151000,-621000,5000,None,0,-18592000,182000,-79000,-18774000,-18774000,-17825000,-17825000,-18774000
ALXO,2020-09-30,USD,-300000,-300000,None,None,-9809000,4481000,5328000,9809000,None,-300000,None,300000,None,-111000,None,0,-10146000,35000,300000,-10181000,-10181000,-9809000,-9809000,-10181000
