,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,OCFT,2020-12-31,CNY,368370000,1075726000,707356000,707356000,-350716000,402057000,349223000,1426442000,None,-15342000,17270000,32612000,None,None,None,None,-430501000,-43616000,None,-386885000,None,-397889000,None,-364922000
1,OCFT,2020-09-30,CNY,375968000,881447000,505479000,505479000,-237220000,354552000,295552000,-36916000,None,-15364000,17973000,33337000,None,None,None,None,-267089000,-18267000,None,-248822000,None,-220501000,None,-243025000
2,OCFT,2020-06-30,CNY,297275000,774318000,477043000,477043000,-323139000,359222000,288913000,-27721000,None,-24969000,14387000,39356000,None,None,None,None,-387120000,-41792000,None,-345328000,None,-310339000,None,-330934000
3,OCFT,2020-03-31,CNY,201843000,580799000,378956000,378956000,-424732000,348574000,239602000,38399000,None,-17451000,27607000,45058000,None,None,None,None,-466544000,-33456000,None,-433088000,None,-400764000,None,-414727000
4,OCFT,2019-12-31,CNY,259845000,772923000,513078000,513078000,-535910000,468022000,314597000,13136000,None,-3819000,37880000,42114000,None,0,None,None,-588654000,49884000,None,-638538000,None,-500304000,None,-619375000
5,OCFT,2019-09-30,CNY,225646000,584739000,359093000,359093000,-347252000,339783000,198504000,-16261000,None,10714000,52952000,39664000,None,0,None,None,-324919000,-33830000,None,-291089000,None,-273889000,None,-286308000
6,OCFT,2019-06-30,CNY,153676000,521912000,368236000,368236000,-352004000,319246000,174187000,873916000,None,-12098000,29167000,41265000,None,0,None,None,-369683000,-45489000,None,-341079000,None,-328418000,None,-339649000
7,OCFT,2019-03-31,CNY,221361000,448272000,226911000,226911000,-460365000,264684000,268807000,907386000,None,-16565000,-18083000,-30169000,None,0,None,None,-479180000,-62374000,None,-416806000,None,-429551000,None,-415234000
8,OCFT,2018-12-31,CNY,21548157.30,74287417.31,52739260.01,52739260.01,-78319255.65,65505270.04,0,0,None,None,None,-31879000,None,0,None,None,-79897942.87,8975067.24,None,0,None,0,None,-90274914.59
9,OCFT,2018-09-30,USD,-344887.83,52702033.80,53046921.63,53046921.63,-32943557.19,32246793.52,20173244.62,85645591,None,None,None,-7543129.18,None,0,None,None,-41495872.70,-9654821,None,-31841051.70,None,-32943557.19,None,-31227270.74
