,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,TW,2020-12-31,USD,None,232696000,None,None,None,109710000,None,None,None,-380000,-380000,None,None,None,None,None,82625000,16176000,None,66449000,None,None,None,55060000
1,TW,2020-09-30,USD,212870000,235305000,None,None,58521000,109178000,None,154349000,None,-349000,-349000,349000,None,None,None,None,58172000,11124000,None,47048000,None,58521000,None,36812000
2,TW,2020-06-30,USD,212107000,211821000,None,None,55639000,108431000,None,156468000,None,-286000,-286000,286000,None,None,None,None,55353000,12945000,None,42408000,None,55639000,None,30496000
3,TW,2020-03-31,USD,234606000,235305000,None,None,77615000,109178000,None,156991000,None,699000,699000,None,None,699000,None,None,78314000,15829000,None,62485000,None,78314000,None,43928000
4,TW,2019-12-31,USD,187109000,190660000,10199000,10199000,54329000,114879000,None,142979000,None,704000,704000,None,None,None,None,None,88167000,30889000,None,57278000,None,None,None,41329000
5,TW,2019-09-30,USD,191454000,201617000,9527000,9527000,58258000,96678000,None,142723000,None,636000,636000,None,None,None,None,None,58894000,10316000,None,48578000,None,None,None,29612000
6,TW,2019-06-30,USD,180966000,198012000,9519000,9519000,30955000,95743000,None,159530000,None,175000,175000,None,None,None,None,None,31130000,6314000,None,24816000,None,None,None,12828000
7,TW,2019-03-31,USD,176752000,201617000,10040000,10040000,46277000,96678000,None,140515000,None,858000,858000,None,None,None,None,None,47135000,4783000,None,42352000,None,None,None,42352000
8,TW,2018-12-31,USD,205235000,178637000,-26598000,-26598000,31935000,140280000,0,146702000,None,None,None,-2956000,None,None,None,None,32722000,3415000,None,29307000,None,0,None,29307000
9,TW,2018-06-30,USD,161992000,171015000,9023000,9023000,59459000,86355000,None,111556000,None,None,None,None,None,None,None,None,40744000,1847000,None,38897000,None,None,None,38897000
10,TW,2018-03-31,USD,161040000,169503000,8463000,8463000,57425000,87347000,None,112078000,None,None,None,None,None,None,None,None,47826000,2518000,None,45308000,None,None,None,45308000
11,TW,2017-12-31,USD,165789000,143399000,-22390000,-22390000,38805000,111014000,0,104594000,None,None,None,1843000,None,None,None,None,10077000,2970000,None,7107000,None,0,None,7107000
12,TW,2016-12-31,USD,3756399000,6040127000,3866523000,3866523000,997683000,831410000,0,399049000,None,None,None,11940000,None,None,None,None,809904000,237059000,None,93161000,None,0,None,571557000
13,TW,2015-09-30,USD,-2159556000,895621000,641329000,641329000,138730000,71370000,0,0,None,None,None,2072000,None,None,None,None,183941000,60558000,None,0,None,0,None,123382000
14,TW,2015-06-30,USD,1079778000,888210000,626234000,626234000,138100000,81750000,0,0,None,None,None,2082000,None,None,None,None,130992000,41603000,None,0,None,0,None,89102000
15,TW,2015-03-31,USD,0,920714000,642430000,642430000,164477000,72622000,0,0,None,None,None,2479000,None,None,None,None,163385000,59025000,None,0,None,0,None,104142000
16,TW,2014-12-31,USD,0,957922000,664705000,664705000,167010000,82100000,0,0,None,None,None,2186000,None,None,None,None,165752000,55372000,None,0,None,0,None,110176000
17,TW,2014-09-30,USD,0,878107000,631806000,631806000,125998000,75434000,0,0,None,None,None,2328000,None,None,None,None,125564000,44062000,None,0,None,0,None,81558000
18,TW,2014-06-30,USD,987823000,878985000,629063000,629063000,125238000,80797000,0,0,None,None,None,2478000,None,None,None,None,124199000,41927000,None,0,None,0,None,82392000
19,TW,2014-03-31,USD,0,904833000,639075000,639075000,138664000,82844000,0,0,None,None,None,2090000,None,None,None,None,141144000,39231000,None,0,None,0,None,102506000
20,TW,2013-12-31,USD,0,888155000,630587000,630587000,129234000,85038000,0,0,None,None,None,2027000,None,None,None,None,132611000,42283000,None,0,None,0,None,86188000
