,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,WMG,2020-12-31,USD,649000000,1335000000,686000000,686000000,196000000,401000000,None,453000000,None,-31000000,None,31000000,1290000000,-31000000,19000000,52000000,133000000,35000000,None,99000000,135000000,196000000,248000000,98000000
1,WMG,2020-09-30,USD,520000000,1126000000,606000000,606000000,88000000,383000000,None,422000000,None,-29000000,None,29000000,1052000000,-45000000,18000000,49000000,-22000000,-21000000,34000000,1000000,30000000,88000000,137000000,-1000000
2,WMG,2020-06-30,USD,483000000,1010000000,527000000,527000000,-433000000,869000000,None,916000000,None,-32000000,None,32000000,3316000000,-3000000,15000000,47000000,-469000000,51000000,0,-519000000,-505000000,-433000000,-386000000,-520000000
3,WMG,2020-03-31,USD,536000000,1071000000,535000000,535000000,-49000000,538000000,None,585000000,None,-33000000,-33000000,33000000,0,-4000000,14000000,47000000,-86000000,-12000000,0,-74000000,-112000000,-49000000,-2000000,-74000000
4,WMG,2019-12-31,USD,591000000,1256000000,665000000,665000000,165000000,379000000,None,436000000,None,-33000000,-33000000,33000000,-5000000,-5000000,24000000,47000000,125000000,5000000,0,122000000,130000000,165000000,212000000,120000000
5,WMG,2019-09-30,USD,485000000,1124000000,639000000,639000000,29000000,408000000,None,456000000,None,-34000000,-34000000,34000000,1146000000,19000000,18000000,48000000,13000000,-77000000,0,91000000,69000000,29000000,77000000,90000000
6,WMG,2019-06-30,USD,481000000,1058000000,577000000,577000000,58000000,372000000,None,423000000,None,-36000000,-36000000,36000000,3329000000,-16000000,15000000,51000000,1000000,-12000000,4000000,14000000,19000000,58000000,109000000,13000000
7,WMG,2019-03-31,USD,531000000,1090000000,559000000,559000000,122000000,354000000,None,409000000,None,-36000000,-36000000,36000000,0,29000000,14000000,55000000,115000000,48000000,0,67000000,54000000,122000000,177000000,67000000
8,WMG,2018-12-31,USD,577000000,1203000000,626000000,626000000,147000000,376000000,None,430000000,None,None,None,None,10000000,28000000,14000000,54000000,136000000,50000000,3000000,86000000,64000000,147000000,201000000,86000000
9,WMG,2018-09-30,USD,456000000,1039000000,583000000,583000000,16000000,398000000,None,440000000,None,None,None,None,-3000000,2000000,14000000,42000000,-16000000,-2000000,0,-13000000,-9000000,16000000,58000000,-14000000
10,WMG,2018-06-30,USD,427000000,958000000,531000000,531000000,28000000,343000000,None,399000000,None,None,None,None,10000000,394000000,15000000,56000000,381000000,61000000,7000000,321000000,286000000,28000000,84000000,320000000
11,WMG,2018-03-31,USD,475000000,963000000,488000000,488000000,83000000,337000000,None,392000000,None,None,None,None,-23000000,-6000000,14000000,55000000,16000000,19000000,23000000,-1000000,7000000,83000000,138000000,-3000000
12,WMG,2017-12-31,USD,476000000,1045000000,569000000,569000000,90000000,333000000,None,386000000,None,None,None,None,-6000000,4000000,12000000,53000000,56000000,52000000,1000000,5000000,14000000,90000000,143000000,4000000
13,WMG,2017-09-30,USD,416000000,917000000,501000000,501000000,-1000000,368000000,None,417000000,None,None,None,None,-5000000,-19000000,12000000,49000000,-58000000,-19000000,0,-38000000,-15000000,-1000000,48000000,-39000000
14,WMG,2017-06-30,USD,398000000,917000000,519000000,519000000,51000000,296000000,None,347000000,None,None,None,None,-23000000,-21000000,13000000,51000000,-11000000,-152000000,3000000,143000000,168000000,51000000,102000000,141000000
15,WMG,2017-03-31,USD,410000000,825000000,415000000,415000000,78000000,282000000,None,332000000,None,None,None,None,-16000000,-19000000,13000000,50000000,22000000,3000000,0,20000000,44000000,78000000,128000000,19000000
16,WMG,2016-12-31,USD,421000000,917000000,496000000,496000000,94000000,276000000,None,327000000,None,None,None,None,-15000000,19000000,12000000,51000000,39000000,17000000,32000000,24000000,-17000000,94000000,145000000,22000000
17,WMG,2016-09-30,USD,849000000,1845000000,436000000,None,124000000,295000000,None,319000000,None,None,None,None,-1000000,-7000000,13000000,55000000,-9000000,-5000000,14000000,107000000,-23000000,124000000,179000000,-4000000
18,WMG,2016-06-30,USD,232000000,501000000,269000000,None,32000000,255000000,None,364000000,None,None,None,None,2000000,-5000000,12000000,95000000,-2000000,7000000,None,-130000000,-3000000,32000000,127000000,-9000000
19,WMG,2016-03-31,USD,425000000,382000000,-43000000,None,52000000,256000000,None,267000000,None,None,None,None,19000000,-1000000,8000000,30000000,26000000,15000000,None,12000000,-2000000,52000000,82000000,11000000
