,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,HOTH,2020-12-31,USD,None,0,None,None,-802876,538536,170557,802876,None,None,None,None,None,None,None,None,-756787,None,None,-756787,None,-802752,None,-756787
1,HOTH,2020-09-30,USD,None,0,None,None,-2166831,1295839,517839,2166831,None,None,None,None,None,49908,None,None,-2116923,None,None,-2116923,None,-2166522,None,-2116923
2,HOTH,2020-06-30,USD,None,0,None,None,-2515817,1144319,1282379,2515817,None,None,None,None,None,18287,None,None,-2497530,None,None,-2497530,None,-2515512,None,-2497530
3,HOTH,2020-03-31,USD,None,0,None,None,-1816450,980148,687060,1816450,None,None,None,None,None,-10126,None,None,-1826576,None,None,-1826576,None,-1816145,None,-1826576
4,HOTH,2019-12-31,USD,None,0,None,None,-3917602,2759235,1036170,3917602,None,None,-280,None,None,None,None,None,-3911653,None,None,-3911653,None,-3917293,None,-3911653
5,HOTH,2019-09-30,USD,None,0,None,None,-1700444,988503,540266,1700444,None,None,None,None,None,4412,None,None,-1696032,None,None,-1696032,None,-1700136,None,-1696032
6,HOTH,2019-06-30,USD,None,0,None,None,-1267586,686569,398934,1267586,None,None,None,None,None,None,None,None,-1267586,None,None,-1267586,None,-1267280,None,-1267586
7,HOTH,2019-03-31,USD,None,0,None,None,-829370,621990,144750,829365,None,None,None,None,None,None,None,None,-829370,None,None,-829365,None,-829063,None,-829370
8,HOTH,2018-12-31,USD,0,0,0,0,-584326,254493,227882,584326,None,None,None,None,None,None,None,None,-584326,0,None,-584326,None,-584326,None,-584326
9,HOTH,2018-09-30,USD,0,0,0,0,-620233,212275,365986,620233,None,None,None,None,None,None,None,None,-620233,0,None,-620233,None,-620233,None,-620233
10,HOTH,2018-06-30,USD,0,0,0,0,-645483,377040,211050,645483,None,None,None,None,None,None,None,None,-645483,0,None,-645483,None,-645483,None,-645483
11,HOTH,2018-03-31,USD,0,0,0,0,-527546,307428,173404,527546,None,None,None,None,None,None,None,None,-527546,0,None,-527546,None,-527546,None,-527546
12,HOTH,2017-06-30,USD,0,0,0,0,-1338811,929173,409230,1338811,None,None,None,None,None,None,None,None,-1338811,0,None,-1338811,None,-1338811,None,-1338811
