,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,BSY,2020-12-31,USD,169004000,228892000,50563000,4981000,54275000,64416000,45945000,114729000,66000,-3092000,66000,3092000,231984000,18190000,1744000,6112000,68412000,16480000,3092000,51932000,54910000,54275000,60387000,51932000
1,BSY,2020-09-30,USD,160369000,202997000,42628000,42628000,5323000,74830000,50217000,155046000,None,-1934000,41000,1975000,None,13741000,None,None,16549000,10705000,None,5844000,5037000,5323000,None,5844000
