,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,RUHN,2020-09-30,CNY,100841000,248521000,147680000,147680000,-33710000,133030000,None,282231000,None,5126000,5126000,None,None,None,None,None,-28480000,3695000,None,-32175000,None,-29153000,None,-31165000
1,RUHN,2020-06-30,CNY,107394000,280420000,173026000,173026000,-11246000,113490000,None,291666000,None,6259000,6259000,None,None,None,None,None,-54293000,3381000,None,-57674000,None,47225000,None,-56584000
2,RUHN,2020-03-31,CNY,107394000,280420000,173026000,173026000,-34097000,113490000,None,262346000,None,7500000,7500000,None,None,None,None,None,-26004000,2316000,None,-28320000,None,47225000,None,-26380000
3,RUHN,2019-12-31,CNY,84263000,228249000,143986000,143986000,8919000,118360000,None,473171000,None,7056000,5229000,None,None,None,None,None,14397000,3867000,None,10530000,None,-6474000,None,10706000
4,RUHN,2019-09-30,CNY,119049000,272735000,153686000,153686000,-64961000,183852000,None,337696000,None,5890000,9886000,None,None,None,None,None,-52545000,-879000,None,-51666000,None,-68957000,None,-50104000
5,RUHN,2019-06-30,CNY,111520000,312776000,201256000,201256000,-27320000,139625000,0,340096000,None,2006000,2006000,0,None,0,None,None,-24917000,3420000,None,-28337000,None,-27717000,None,-26713000
6,RUHN,2019-03-31,CNY,84263000,228249000,143986000,143986000,-34082930,118360000,0,271339783,None,197190,7759450,0,None,0,None,None,-26323480,933470,None,-27419705,None,-6474000,None,-28095860
7,RUHN,2018-12-31,CNY,147641000,385289000,237648000,237648000,44857.29,133473000,0,1139015.96,None,None,None,0,None,0,None,None,43821.86,13014.93,None,30806.92,None,14575000,None,47721.02
8,RUHN,2018-09-30,CNY,147641000,385289000,237648000,237648000,-31029003,133473000,0,26852.06,None,None,None,-53750,None,0,None,None,-31143187,2621800,None,-33764986,None,14575000,None,-30340535
9,RUHN,2018-06-30,USD,57773000,232940000,175167000,175167000,-47095000,104989000,0,280035000,None,None,None,-9451.94,None,0,None,None,-46872000,2390000,None,-49262000,None,-47095000,None,-44585000
10,RUHN,2018-03-31,CNY,55746398,237256852,181510454,181510454,-73592562.43,90227078,0,315312225.37,None,None,None,-66121.29,None,None,None,None,-74351804.65,4158879.32,None,-78510683.97,None,-30030916,None,-77287313.32
11,RUHN,2017-06-30,USD,78260362,152598059,74337697,74337697,-2058741,79949303,None,154656799,None,None,None,None,None,None,None,None,-1060304,2127302,None,-3187606,None,-2058741,None,-7659530
12,RUHN,2017-03-31,USD,78260362,152598059,74337697,74337697,-2058741,79949303,None,154656799,None,None,None,None,None,None,None,None,-1060304,2127302,None,-3187606,None,-2058741,None,-7659530
13,RUHN,2016-12-31,USD,91213278,184063620,92850342,92850342,17705214,72178175,None,166358406,None,None,None,None,None,None,None,None,17898759,6017918,None,11880841,None,17705214,None,3293978
14,RUHN,2016-09-30,USD,91213278,184063620,92850342,92850342,17732362,72178175,None,166331259,None,None,None,-98859,None,None,None,None,17898759,6017918,None,11880841,None,17732362,None,3293978
15,RUHN,2016-06-30,USD,13065086.27,30005277.37,16940191.10,16940191.10,1353187.62,11411438.30,0,28652089.75,None,None,None,0,None,None,None,None,1400897.49,1234506.77,None,166390.72,None,1353187.62,None,-1528780.66
16,RUHN,2016-03-31,USD,12983718.28,29818408.43,16834690.14,16834690.14,1344760.11,11340369.83,0,28473648.32,None,None,None,0,None,None,None,None,1392173.61,1226818.39,None,165355.22,None,1344760.11,None,-1519260.34
