,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,INTZ,2020-12-31,USD,921000,1578000,659000,659000,-3929000,3794000,1056000,5049000,None,-2000,3000,2000,1580000,3000,None,199000,-3929000,None,2000,-3924000,-3924000,-3929000,-3730000,-3928000
1,INTZ,2020-09-30,USD,936000,1587000,652000,652000,-1407000,1265000,1081000,2357000,None,-2000,None,2000,1589000,None,None,11000,-1409000,None,2000,-1416000,-1416000,-1407000,-1396000,-1409000
2,INTZ,2020-06-30,USD,1004000,1653000,651000,651000,-714000,811000,907000,1729000,1000,-2000,1000,2000,1655000,1000,None,11000,-715000,None,2000,-713000,-713000,-714000,-703000,-715000
3,INTZ,2020-03-31,USD,1048000,1794000,747000,747000,-471000,766000,753000,1529000,7000,-1000,7000,1000,1795000,7000,None,10000,-465000,None,1000,-464000,-464000,-471000,-461000,-465000
4,INTZ,2019-12-31,USD,1569000,-11072000,1003000,1003000,293000,737000,539000,1287000,None,-1000,4000,1000,2572000,None,None,11000,296000,None,1000,251000,251000,293000,304000,296000
5,INTZ,2019-09-30,USD,2395000,3859000,1465000,1465000,1465000,633000,297000,947000,None,-1000,None,1000,3860000,None,None,16000,1464000,None,1000,1464000,1464000,1465000,1481000,1464000
6,INTZ,2019-06-30,USD,2430000,4011000,1590000,1590000,1767000,367000,296000,679000,None,-9000,None,9000,4020000,None,None,16000,1758000,None,9000,1767000,1767000,1767000,1783000,1758000
7,INTZ,2019-03-31,USD,1907000,3156000,1284000,1284000,982000,743000,182000,941000,None,-35000,None,35000,None,None,None,16000,947000,None,35000,982000,982000,982000,998000,947000
8,INTZ,2018-12-31,USD,1877000,-187000,1103000,1103000,895000,577000,405000,982000,None,-187000,None,187000,None,None,None,15000,850000,None,187000,706000,706000,895000,910000,850000
9,INTZ,2018-09-30,USD,1698000,-1000,966000,967000,660000,709000,329000,1038000,None,-1000,None,1000,None,None,None,17000,617000,None,1000,660000,660000,660000,677000,617000
10,INTZ,2018-06-30,USD,1443000,0,-1443000,926000,522000,721000,200000,921000,None,None,None,48000,None,None,None,16000,474000,None,None,522000,522000,522000,538000,474000
11,INTZ,2018-03-31,USD,1411000,-1000,852000,852000,399000,709000,303000,1012000,None,None,None,53000,None,None,None,None,346000,None,None,399000,399000,399000,None,346000
12,INTZ,2017-12-31,USD,1209000,2082000,873000,873000,243000,601000,365000,966000,None,None,None,52000,None,None,None,None,191000,None,None,34000,34000,243000,None,191000
13,INTZ,2017-09-30,USD,942000,1678000,736000,736000,-311000,635000,617000,1253000,None,None,None,49000,None,928000,None,None,568000,None,None,617000,617000,-311000,None,568000
14,INTZ,2017-06-30,USD,911000,1543000,632000,632000,-380000,697000,594000,1291000,None,None,None,58000,None,None,None,None,-438000,None,None,-380000,-380000,-380000,None,-438000
15,INTZ,2017-03-31,USD,976000,1559000,583000,583000,-301000,692000,585000,1277000,None,None,None,50000,None,None,None,None,-351000,None,None,-301000,-301000,-301000,None,-351000
16,INTZ,2016-12-31,USD,903000,1409000,506000,506000,-298000,610000,591000,1201000,None,None,None,43000,None,None,None,None,-341000,None,None,-443000,-443000,-298000,None,-341000
17,INTZ,2016-09-30,USD,985000,1595000,610000,610000,-244000,721000,508000,1229000,None,None,None,36000,None,None,None,None,-280000,None,None,-244000,-244000,-244000,None,-280000
18,INTZ,2016-06-30,USD,1059000,1587000,528000,528000,-352000,741000,670000,1411000,None,None,None,35000,None,None,None,None,-387000,None,None,-352000,-352000,-352000,None,-387000
19,INTZ,2016-03-31,USD,972000,1511000,539000,539000,-513000,755000,730000,1485000,None,None,None,31000,None,None,None,None,-544000,None,None,-513000,-513000,-513000,None,-544000
